Valence;stage;Label;Sublabel;Action;Action Type;Description;Description German (original);Description German;
change;motivieren;Reason;General Reason;Digging Deep;Question;"The term digging deep, sometimes referred to as unpacking, is necessary when a client makes a statement and you suspect there may ﻿be more to the story. In other words, ﻿you may need to spend some time ﻿probing to uncover pertinent
infor﻿mation about the client’s situation, feelings, and reactions. First, provide a reflection to the client’s statement to ensure that you understand the meaning of what was said. These reflections can be followed by open-ended questions to further explore the client’s meaning. ﻿Slow down and encourage the client to explore underlying issues.";"Der Begriff ""digging deep"", manchmal auch ""unpacking"" genannt, ist notwendig, wenn ein Klient eine Aussage macht und Sie vermuten, dass mehr dahinter steckt. Mit anderen Worten, Sie müssen möglicherweise einige Zeit damit verbringen, relevante Informationen über die Situation, Gefühle und Reaktionen der Klientin herauszufinden. Reflektieren Sie zunächst die Aussage des Klienten, um sicherzustellen, dass Sie die Bedeutung des Gesagten verstehen. An diese Überlegungen können sich offene Fragen anschließen, um die Bedeutung des Klienten weiter zu erforschen. ﻿Verlangsamen Sie das Gespräch und ermutigen Sie die Klientin, die zugrunde liegenden Themen zu erkunden.";„Digging Deep“ ist notwendig, wenn der Klient eine Aussage macht, bei der mehr dahinterstecken könnte. Damit können relevante Informationen über die Situation, Gefühle und Reaktionen des Gegenübers herausgefunden werden. Reflektiere zunächst die Aussage des Klienten um sicherzustellen, dass du die Bedeutung des Gesagten verstehst. Schließe daran eine offene Frage an, um die Bedeutung des Gesagten weiter zu erforschen. Ermutige den Klienten, die zugrunde liegenden Themen zu erkunden. ;
change;motivieren;Reason;General Reason;Looking Back;Question;Looking-back questions can also be effective in eliciting change talk. A looking-back question invites clients to consider a time when they were successful in making a change or life was generally better. In doing so, clients can compare these instances to the present to determine differences in attitudes and behaviors.;Rückblickende Fragen können ebenfalls wirksam sein, um Gespräche über Veränderungen anzuregen. Mit einer Rückblickfrage werden die Klienten aufgefordert, sich an eine Zeit zu erinnern, in der sie erfolgreich eine Veränderung vorgenommen haben oder in der das Leben allgemein besser war. Auf diese Weise können die Klienten diese Zeiten mit der Gegenwart vergleichen, um Unterschiede in ihren Einstellungen und Verhaltensweisen festzustellen.;Looking back kann ebenfalls wirksam sein, um Gespräche über Veränderungen anzuregen. Mit looking back wird der Klient aufgefordert, sich an eine Zeit zu erinnern, in der er erfolgreich eine Veränderung vorgenommen hat oder in der das Leben allgemein besser war. Auf diese Weise kann der Klient diese Zeiten mit der Gegenwart vergleichen, um Unterschiede in seinen Einstellungen und Verhaltensweisen festzustellen.;
change;motivieren;Reason;General Reason;Querying Extremes;Question;Another way to elicit change talk is to invite clients to explore the best consequences of making the change and/or the worse consequences of not making the change. Doing so invites the client to consider best and worst case scenarios.;Eine weitere Möglichkeit, über Veränderungen zu sprechen, besteht darin, den Klienten aufzufordern, die besten Folgen einer Veränderung und/oder die schlimmsten Folgen einer Nichtveränderung zu erkunden. Auf diese Weise wird der Klient aufgefordert, den besten und den schlimmsten Fall in Betracht zu ziehen.;Eine weitere Möglichkeit, über Veränderungen zu sprechen, besteht darin, den Klient aufzufordern, die besten Folgen einer Veränderung und/oder die schlimmsten Folgen einer Nichtveränderung zu erkunden. Auf diese Weise wird der Klient aufgefordert, den besten und den schlimmsten Fall in Betracht zu ziehen.;
change;motivieren;Reason;General Reason;Continuing the Paragraph;Reflection;Reflections that continue the paragraph take a guess at what is unstated but implied in the conversation. These reflections move the client forward, sometimes moving the conversation in a new direction.﻿ Continuing the paragraph can help bring up new pieces of the puzzle in exploring ambivalence about a change.;Überlegungen, die den Absatz fortsetzen, lassen erahnen, was in dem Gespräch nicht gesagt, aber angedeutet wurde. Diese Überlegungen bringen den Klienten weiter und lenken das Gespräch manchmal in eine neue Richtung.﻿ Die Fortsetzung des Absatzes kann dazu beitragen, neue Puzzleteile bei der Erkundung von Ambivalenzen gegenüber einer Veränderung zu finden.;Continuing the paragraph Reflexionen lassen erahnen, was in dem Gespräch nicht gesagt, aber angedeutet wurde. Diese Überlegungen bringen den Klienten weiter und lenken das Gespräch manchmal in eine neue Richtung.﻿ Continuing the Paragraph kann dazu beitragen, neue Puzzleteile bei der Erkundung von Ambivalenzen gegenüber einer Veränderung zu finden.;
ambivalence;motivieren;Reason;General Reason;double-sided;Reflection;Double-sided reflections are used when the client is expressing ambivalence. When the client is sharing both advantages and disadvantages of making a behavior change, it can be productive to reflect back the expressed ambiva- lence so the client better understands his conflicted feelings. Double-sided reflections often start with “On one hand . . . ,” and finish with “On the other hand. . . . ” When providing a double-sided reflection, connect both sides with “and” instead of “but” in order to give both choices equal weight;"Beidseitige Reflexionen werden eingesetzt, wenn der Klient Ambivalenzen äußert. Wenn der Klient sowohl Vorteile als auch Nachteile einer Verhaltensänderung mitteilt, kann es produktiv sein, die geäußerte Ambivalenz zu reflektieren, damit der Klient seine widersprüchlichen Gefühle besser versteht. Zweiseitige Reflexionen beginnen oft mit ""Einerseits ... "" und enden mit ""Andererseits. . . . ""Verbinden Sie bei einer doppelseitigen Reflexion beide Seiten mit ""und"" anstelle von ""aber"", um beiden Möglichkeiten gleiches Gewicht zu verleihen.";"Wenn der Klient sowohl Vorteile als auch Nachteile einer Verhaltensänderung mitteilt, kann es produktiv sein, die geäußerte Ambivalenz zu reflektieren, damit der Klient seine widersprüchlichen Gefühle besser versteht. Zweiseitige Reflexionen beginnen oft mit ""Einerseits ... "" und enden mit ""Andererseits. . . . „ Verbinde bei einer double-sided reflection beide Seiten mit ""und"" anstelle von ""aber"", um beiden Möglichkeiten gleiches Gewicht zu verleihen.";
change;motivieren;Reason;General Reason;Affirmation;Other;An affirmation is a positive statement regarding one’s character or values that acknowledges his or her strengths and efforts. ﻿The practitioner must interpret what the client has said and make a guess about what kind of positive efforts the client has demonstrated. In order to avoid mak- ing the client feel judged, focus an affirmation around specific behaviors or characteristics instead of attitudes, decisions, or goals. Pick a characteristic you are certain the person possesses. If the client disagrees with you and begins to focus on why she does not agree with the statement, the whole focus of the appointment can be sidetracked. ﻿When crafting affirmations avoid starting with “I.” You are not the focus, the client is.;"Eine Affirmation ist eine positive Aussage über den Charakter oder die Werte einer Person, die ihre Stärken und Bemühungen anerkennt. ﻿Der Praktiker muss interpretieren, was der Klient gesagt hat, und eine Vermutung darüber anstellen, welche Art von positiven Bemühungen der Klient gezeigt hat. Um zu vermeiden, dass sich der Klient verurteilt fühlt, sollten Sie sich bei der Bestätigung auf bestimmte Verhaltensweisen oder Eigenschaften konzentrieren und nicht auf Einstellungen, Entscheidungen oder Ziele. Wählen Sie eine Eigenschaft, von der Sie überzeugt sind, dass die Person sie besitzt. Wenn die Klientin nicht mit Ihnen übereinstimmt und sich darauf konzentriert, warum sie mit der Aussage nicht einverstanden ist, kann der gesamte Schwerpunkt des Gesprächs in die falsche Richtung gelenkt werden. ﻿ ﻿Wenn Sie Affirmationen formulieren, vermeiden Sie es, mit ""ich"" zu beginnen. Sie stehen nicht im Mittelpunkt, sondern die Klientin.";Eine Affirmation ist eine positive Aussage über den Charakter oder die Werte des Klienten, die seine Stärken und Bemühungen anerkennt. Du musst dabei interpretieren, was der Klient gesagt hat und eine Vermutung darüber anstellen, welche Art von positiven Bemühungen er gezeigt hat. Konzentriere dich dabei auf bestimmte Verhaltensweisen oder Eigenschaften und nicht auf Einstellungen, Entscheidungen oder Ziele. Vermeide es, die Affirmation mit „Ich“ zu beginnen. Der Klient steht im Mittelpunkt, nicht du.;
change;motivieren;Reason;General Reason;Elaboration;Question;"Once a reason for change has been named, it is often the counselor’s ten-
dency to move on and find others. It can be quite useful, however, to have the client elaborate on a topic before moving on. For one thing, it is a way of eliciting further change talk, and it helps reinforce the motivational theme.
There are several ways of eliciting elaboration once a reason for change has been raised. They include:
1. Asking for clarification: In what ways? How much? When? 2. Asking for a specific example. 3. Asking for a description of the last time this occurred. 4. Asking “What else?” within the change topic.";"Sobald ein Grund für eine Veränderung genannt wurde, neigt der Berater oft dazu, weiterzugehen und andere zu finden. Es kann jedoch sehr nützlich sein, den Klienten ein Thema weiter ausführen zu lassen, bevor er weitergeht. Zum einen ist dies eine Möglichkeit, weitere Veränderungsgespräche anzuregen, und es hilft, das motivierende Thema zu verstärken. Es gibt mehrere Möglichkeiten, um einen Grund für eine Veränderung zur Sprache zu bringen. Dazu gehören: 1. Nachfragen zur Klärung: Auf welche Weise? Wie sehr? Wann? 2. Bitte um ein konkretes Beispiel. 3. Bitte um eine Beschreibung, wann dies das letzte Mal geschehen ist. 4. Die Frage ""Was noch?"" im Rahmen des Themas der Veränderung.";"Es kann sehr nützlich sein, den Klienten ein Thema weiter ausführen zu lassen, bevor es zum nächsten Thema weitergeht. Zum einen ist dies eine Möglichkeit, weitere Veränderungsgespräche anzuregen, und es hilft, das Change Talk zu verstärken. Es gibt mehrere Möglichkeiten, um einen Grund für eine Veränderung zur Sprache zu bringen. Dazu gehören: 1. Nachfragen zur Klärung: Auf welche Weise? Wie sehr? Wann? 2. Bitte um ein konkretes Beispiel. 3. Bitte um eine Beschreibung, wann dies das letzte Mal geschehen ist. 4. Die Frage ""Was noch?"" im Rahmen des Themas der Veränderung.";
sustain;motivieren;Reason;General Reason;Digging Deep;Question;"The term digging deep, sometimes referred to as unpacking, is necessary when a client makes a statement and you suspect there may ﻿be more to the story. In other words, ﻿you may need to spend some time ﻿probing to uncover pertinent
infor﻿mation about the client’s situation, feelings, and reactions. First, provide a reflection to the client’s statement to ensure that you understand the meaning of what was said. These reflections can be followed by open-ended questions to further explore the client’s meaning. ﻿Slow down and encourage the client to explore underlying issues.";"Der Begriff ""digging deep"", manchmal auch ""unpacking"" genannt, ist notwendig, wenn ein Klient eine Aussage macht und Sie vermuten, dass mehr dahinter steckt. Mit anderen Worten, Sie müssen möglicherweise einige Zeit damit verbringen, relevante Informationen über die Situation, Gefühle und Reaktionen der Klientin herauszufinden. Reflektieren Sie zunächst die Aussage des Klienten, um sicherzustellen, dass Sie die Bedeutung des Gesagten verstehen. An diese Überlegungen können sich offene Fragen anschließen, um die Bedeutung des Klienten weiter zu erforschen. ﻿Verlangsamen Sie das Gespräch und ermutigen Sie die Klientin, die zugrunde liegenden Themen zu erkunden.";„Digging Deep“ ist notwendig, wenn der Klient eine Aussage macht, bei der mehr dahinterstecken könnte. Damit können relevante Informationen über die Situation, Gefühle und Reaktionen des Gegenübers herausgefunden werden. Reflektiere zunächst die Aussage des Klienten um sicherzustellen, dass du die Bedeutung des Gesagten verstehst. Schließe daran eine offene Frage an, um die Bedeutung des Gesagten weiter zu erforschen. Ermutige den Klienten, die zugrunde liegenden Themen zu erkunden. ;
sustain;motivieren;Reason;General Reason;Looking Back;Question;Looking-back questions can also be effective in eliciting change talk. A looking-back question invites clients to consider a time when they were successful in making a change or life was generally better. In doing so, clients can compare these instances to the present to determine differences in attitudes and behaviors.;Rückblickende Fragen können ebenfalls wirksam sein, um Gespräche über Veränderungen anzuregen. Mit einer Rückblickfrage werden die Klienten aufgefordert, sich an eine Zeit zu erinnern, in der sie erfolgreich eine Veränderung vorgenommen haben oder in der das Leben allgemein besser war. Auf diese Weise können die Klienten diese Zeiten mit der Gegenwart vergleichen, um Unterschiede in ihren Einstellungen und Verhaltensweisen festzustellen.;Looking back kann ebenfalls wirksam sein, um Gespräche über Veränderungen anzuregen. Mit looking back wird der Klient aufgefordert, sich an eine Zeit zu erinnern, in der er erfolgreich eine Veränderung vorgenommen hat oder in der das Leben allgemein besser war. Auf diese Weise kann der Klient diese Zeiten mit der Gegenwart vergleichen, um Unterschiede in seinen Einstellungen und Verhaltensweisen festzustellen.;
sustain;motivieren;Reason;General Reason;Querying Extremes;Question;Another way to elicit change talk is to invite clients to explore the best consequences of making the change and/or the worse consequences of not making the change. Doing so invites the client to consider best and worst case scenarios.;Eine weitere Möglichkeit, über Veränderungen zu sprechen, besteht darin, den Klienten aufzufordern, die besten Folgen einer Veränderung und/oder die schlimmsten Folgen einer Nichtveränderung zu erkunden. Auf diese Weise wird der Klient aufgefordert, den besten und den schlimmsten Fall in Betracht zu ziehen.;Eine weitere Möglichkeit, über Veränderungen zu sprechen, besteht darin, den Klient aufzufordern, die besten Folgen einer Veränderung und/oder die schlimmsten Folgen einer Nichtveränderung zu erkunden. Auf diese Weise wird der Klient aufgefordert, den besten und den schlimmsten Fall in Betracht zu ziehen.;
