id,user_utterance,bot_utterance,,Giving Facts,Feeling,Share Personal Information
728,Ich könnte versuchen kleine rituale zu den Zeiten einzubauen. Die Heißhunger attacken könnte ich durch gesunde Snacks bekämpfen,"Das klingt nach einem guten Plan! Etwas Struktur und Routine kann definitiv dabei helfen, regelmäßige Mahlzeiten zu etablieren. Und gesunde Snacks sind eine hervorragende Möglichkeit, Heißhunger zu bekämpfen. Hast du Ideen für gesunde Snacks, die du gerne isst","Nutzer: Ich könnte versuchen kleine rituale zu den Zeiten einzubauen. Die Heißhunger attacken könnte ich durch gesunde Snacks bekämpfen
Chatbot: Das klingt nach einem guten Plan! Etwas Struktur und Routine kann definitiv dabei helfen, regelmäßige Mahlzeiten zu etablieren. Und gesunde Snacks sind eine hervorragende Möglichkeit, Heißhunger zu bekämpfen. Hast du Ideen für gesunde Snacks, die du gerne isst",1,0,0
870,eine gute idee,Das freut mich zu hören! Welche Methode möchtest du als Erstes ausprobieren,"Nutzer: eine gute idee
Chatbot: Das freut mich zu hören! Welche Methode möchtest du als Erstes ausprobieren",0,1,0
235,tschüss,"Tschüss! Ich wünsche dir viel Erfolg auf deinem Weg. Zögere nicht, zurückzukommen, wenn du weitere Unterstützung benötigst. Mach's gut!","Nutzer: tschüss
Chatbot: Tschüss! Ich wünsche dir viel Erfolg auf deinem Weg. Zögere nicht, zurückzukommen, wenn du weitere Unterstützung benötigst. Mach's gut!",0,1,0
233,weiß ich nicht,"Das ist völlig in Ordnung, Veränderungen erfordern Zeit und Geduld. Hier sind ein paar Vorschläge: 
1. Setze feste Zeiten fest zu denen du das Handy beiseite legst. Es kann hilfreich sein  diese Zeiten mit produktiver Arbeit oder Entspannung zu verbinden.
2. Versuche visualisierte Ziele zu verwenden. Du könntest ein Bild von deinem Ziel auf dein""","Nutzer: weiß ich nicht
Chatbot: Das ist völlig in Ordnung, Veränderungen erfordern Zeit und Geduld. Hier sind ein paar Vorschläge: 
1. Setze feste Zeiten fest zu denen du das Handy beiseite legst. Es kann hilfreich sein  diese Zeiten mit produktiver Arbeit oder Entspannung zu verbinden.
2. Versuche visualisierte Ziele zu verwenden. Du könntest ein Bild von deinem Ziel auf dein""",0,0,0
161,"Ja, aber bisher habe ich noch keine effektive Lösung gefunden.","Das ist okay. Manchmal kann es eine Weile dauern, bis wir herausfinden, was für uns am besten funktioniert. Es könnte hilfreich sein, klein anzufangen und konkrete Ziele zu setzen. Zum Beispiel könntest du versuchen  eine Aufgabe die du normalerweise aufschieben würdest  sofort zu erledigen. Oder du könntest dir eine bestimmte Zeit am Tag festlegen in der""","Nutzer: Ja, aber bisher habe ich noch keine effektive Lösung gefunden.
Chatbot: Das ist okay. Manchmal kann es eine Weile dauern, bis wir herausfinden, was für uns am besten funktioniert. Es könnte hilfreich sein, klein anzufangen und konkrete Ziele zu setzen. Zum Beispiel könntest du versuchen  eine Aufgabe die du normalerweise aufschieben würdest  sofort zu erledigen. Oder du könntest dir eine bestimmte Zeit am Tag festlegen in der""",0,0,1
561,10,"Lass mich unser bisheriges Gespräch zusammenfassen. Du möchtest weniger prokrastinieren, um mehr zu erreichen und weniger Ängste vor Versagen zu haben. Du siehst in der Zukunft weniger Sorgen, wenn du diese Änderung vornimmst. Du hast die Intention und das Interesse, diese Veränderung durchzuführen, mit einer Bewertung von 8 auf einer Skala von 0 bis 10. Du siehst Vorteile darin, wie die effektivere Nutzung deiner Zeit, das Erreichen von mehr und weniger Sorgen. Du erkennst jedoch auch Herausforderungen wie Langeweile, Überforderung durch die Masse, schlechte Vorbereitung und Kreativlosigkeit. Als ersten Schritt zur Veränderung hast du vorgeschlagen, früher aufzustehen, eine To-Do-Liste zu erstellen und die Pomodoro-Technik zu lernen. Du Habe ich noch etwas vergessen?","Nutzer: 10
Chatbot: Lass mich unser bisheriges Gespräch zusammenfassen. Du möchtest weniger prokrastinieren, um mehr zu erreichen und weniger Ängste vor Versagen zu haben. Du siehst in der Zukunft weniger Sorgen, wenn du diese Änderung vornimmst. Du hast die Intention und das Interesse, diese Veränderung durchzuführen, mit einer Bewertung von 8 auf einer Skala von 0 bis 10. Du siehst Vorteile darin, wie die effektivere Nutzung deiner Zeit, das Erreichen von mehr und weniger Sorgen. Du erkennst jedoch auch Herausforderungen wie Langeweile, Überforderung durch die Masse, schlechte Vorbereitung und Kreativlosigkeit. Als ersten Schritt zur Veränderung hast du vorgeschlagen, früher aufzustehen, eine To-Do-Liste zu erstellen und die Pomodoro-Technik zu lernen. Du Habe ich noch etwas vergessen?",0,0,0
1155,"Weil ich skeptisch eingestellt bin, dass ich mein Verhalten langfristig ändern kann. Oft verfalle ich in alte Muster.","Das ist sehr verständlich. Gewohnheiten zu ändern kann eine Herausforderung sein, aber es ist nicht unmöglich. Du hast bereits den ersten Schritt getan, indem du erkannt hast, dass du etwas ändern möchtest. Um den Weg etwas klarer zu machen  lass uns überlegen was du bereits in der Vergangenheit unternommen hast um mit dem Prokrastinieren aufzuhören. Was hat funktion""","Nutzer: Weil ich skeptisch eingestellt bin, dass ich mein Verhalten langfristig ändern kann. Oft verfalle ich in alte Muster.
Chatbot: Das ist sehr verständlich. Gewohnheiten zu ändern kann eine Herausforderung sein, aber es ist nicht unmöglich. Du hast bereits den ersten Schritt getan, indem du erkannt hast, dass du etwas ändern möchtest. Um den Weg etwas klarer zu machen  lass uns überlegen was du bereits in der Vergangenheit unternommen hast um mit dem Prokrastinieren aufzuhören. Was hat funktion""",0,0,0
991,Trinken oder Ablenken,"Das sind gute Ideen. Trinken, insbesondere Wasser, kann tatsächlich helfen, das Hungergefühl zu unterdrücken. Und Ablenkung kann auch sehr effektiv sein, um den Fokus von dem Verlangen nach Essen wegzubringen. Wie denkst du, kannst du diese Strategien in deinen Alltag integrieren","Nutzer: Trinken oder Ablenken
Chatbot: Das sind gute Ideen. Trinken, insbesondere Wasser, kann tatsächlich helfen, das Hungergefühl zu unterdrücken. Und Ablenkung kann auch sehr effektiv sein, um den Fokus von dem Verlangen nach Essen wegzubringen. Wie denkst du, kannst du diese Strategien in deinen Alltag integrieren",1,0,0
631,"Mein Umfeld, welches so weiterlebt wie bisher","Es ist oft schwer, Verhaltensänderungen durchzuführen, wenn unser Umfeld nicht mitzieht. Gibt es Möglichkeiten, wie du trotzdem die gewünschten Veränderungen einleiten kannst","Nutzer: Mein Umfeld, welches so weiterlebt wie bisher
Chatbot: Es ist oft schwer, Verhaltensänderungen durchzuführen, wenn unser Umfeld nicht mitzieht. Gibt es Möglichkeiten, wie du trotzdem die gewünschten Veränderungen einleiten kannst",0,0,1
1299,"Es ist keine Eigenschaft, die mich sehr beeinträchtigt, aber ich möchte etwas daran ändern","Ich verstehe, dass es dich nicht allzu sehr stört, aber du siehst Raum für Verbesserung. Das ist ein guter Startpunkt. Nun, um zu verstehen wie wir diese Situation verbessern können,  wäre es hilfreich zu wissen, was genau dich dazu bringt, Aufgaben hinauszuzögern. Gibt es bestimmte Auslöser oder Situationen, die dazu führen, dass du prokrastinier""","Nutzer: Es ist keine Eigenschaft, die mich sehr beeinträchtigt, aber ich möchte etwas daran ändern
Chatbot: Ich verstehe, dass es dich nicht allzu sehr stört, aber du siehst Raum für Verbesserung. Das ist ein guter Startpunkt. Nun, um zu verstehen wie wir diese Situation verbessern können,  wäre es hilfreich zu wissen, was genau dich dazu bringt, Aufgaben hinauszuzögern. Gibt es bestimmte Auslöser oder Situationen, die dazu führen, dass du prokrastinier""",0,0,1
267,"Weil ich in anderen Lebensbereichen sehr motiviert und strukturiert bin und nichts aufschieben, aber in der Arbeit gelingt mir das nicht immer.","Du hast also schon Erfahrungen damit, motiviert und strukturiert zu sein. Das ist eine gute Basis. Was könnte dir helfen, diese Eigenschaften auch auf deine Arbeit zu übertragen","Nutzer: Weil ich in anderen Lebensbereichen sehr motiviert und strukturiert bin und nichts aufschieben, aber in der Arbeit gelingt mir das nicht immer.
Chatbot: Du hast also schon Erfahrungen damit, motiviert und strukturiert zu sein. Das ist eine gute Basis. Was könnte dir helfen, diese Eigenschaften auch auf deine Arbeit zu übertragen",0,0,0
1745,"Beim Einkaufen achte ich darauf gesunde Nahrungsmittel zu kaufen, zusätzlich kaufe ich auch nur vegetarische bzw. vegane alternative Lebensmittel. Außerdem habe ich auch schon eine Liste rausgesucht an Lebensmitteln die ich benötige, damit ich meinen Grundbedarf mindestens abdecken kann.","Es scheint, als hättest du schon einige durchdachte und effektive Maßnahmen ergriffen, um deine Ernährung zu verbessern. Kannst du mir ein Beispiel geben, wie eine typische Mahlzeit für dich aussieht","Nutzer: Beim Einkaufen achte ich darauf gesunde Nahrungsmittel zu kaufen, zusätzlich kaufe ich auch nur vegetarische bzw. vegane alternative Lebensmittel. Außerdem habe ich auch schon eine Liste rausgesucht an Lebensmitteln die ich benötige, damit ich meinen Grundbedarf mindestens abdecken kann.
Chatbot: Es scheint, als hättest du schon einige durchdachte und effektive Maßnahmen ergriffen, um deine Ernährung zu verbessern. Kannst du mir ein Beispiel geben, wie eine typische Mahlzeit für dich aussieht",0,0,0
1625,Wo ist meine vorherige Antwort hin?,"Tut mir leid, es scheint ein Problem mit dem System gegeben zu haben. Du hast gesagt, dass es oft schneller und einfacher ist, nicht komplett selbst zu kochen. Wäre es eine Option für dich, gesunde Alternativen zu finden, die auch schnell und einfach zuzubereiten sind","Nutzer: Wo ist meine vorherige Antwort hin?
Chatbot: Tut mir leid, es scheint ein Problem mit dem System gegeben zu haben. Du hast gesagt, dass es oft schneller und einfacher ist, nicht komplett selbst zu kochen. Wäre es eine Option für dich, gesunde Alternativen zu finden, die auch schnell und einfach zuzubereiten sind",0,0,0
496,"Ich bin eigentlich schon dabei Maßnahmen umzusetzen, also nicht mehr ganz am Anfang. Jedoch klappt es nicht immer ganz so gut und manchmal fehlen mir auch die Ideen","Das ist völlig normal und ein Teil des Prozesses. Es freut mich zu hören, dass du bereits erste Schritte unternommen hast. Es ist wichtig, dass du dir bewusst bist, dass nicht jeder Tag perfekt sein wird, aber das ist in Ordnung. Jeder kleine Schritt ist ein Fortschritt. Könntest du mir mehr darüber erzählen, welche Maßnahmen du bereits umsetzt und wo genau du""","Nutzer: Ich bin eigentlich schon dabei Maßnahmen umzusetzen, also nicht mehr ganz am Anfang. Jedoch klappt es nicht immer ganz so gut und manchmal fehlen mir auch die Ideen
Chatbot: Das ist völlig normal und ein Teil des Prozesses. Es freut mich zu hören, dass du bereits erste Schritte unternommen hast. Es ist wichtig, dass du dir bewusst bist, dass nicht jeder Tag perfekt sein wird, aber das ist in Ordnung. Jeder kleine Schritt ist ein Fortschritt. Könntest du mir mehr darüber erzählen, welche Maßnahmen du bereits umsetzt und wo genau du""",0,1,0
1612,Wahrscheinlich meine Depressionen und mein ADHS.,"Das klingt nach einer großen Herausforderung, und ich respektiere den Mut, den du aufbringst, um diese Veränderung anzugehen. Es kann hilfreich sein, kleine und spezifische Ziele zu setzen, die dir helfen, das größere Ziel zu erreichen. Was wäre ein kleines, spezifisches und realistisches Ziel, das du in den nächsten Tagen erreichen könntest, um weniger zu prokrast""","Nutzer: Wahrscheinlich meine Depressionen und mein ADHS.
Chatbot: Das klingt nach einer großen Herausforderung, und ich respektiere den Mut, den du aufbringst, um diese Veränderung anzugehen. Es kann hilfreich sein, kleine und spezifische Ziele zu setzen, die dir helfen, das größere Ziel zu erreichen. Was wäre ein kleines, spezifisches und realistisches Ziel, das du in den nächsten Tagen erreichen könntest, um weniger zu prokrast""",0,0,1
163,Es klingt sinnvoll die Leistung progressiv zu steigern.,"Genau, eine progressive Herangehensweise kann sehr effektiv sein. Es ermöglicht dir, dein Vertrauen und deine Fähigkeiten schrittweise aufzubauen, anstatt dich überfordert zu fühlen. Erinnere dich daran, dass es in Ordnung ist, wenn du nicht jeden Tag perfekt bist. Es geht darum, einen allgemeinen Trend der Verbesserung zu sehen. Und vergiss nicht, dich selbst für""","Nutzer: Es klingt sinnvoll die Leistung progressiv zu steigern.
Chatbot: Genau, eine progressive Herangehensweise kann sehr effektiv sein. Es ermöglicht dir, dein Vertrauen und deine Fähigkeiten schrittweise aufzubauen, anstatt dich überfordert zu fühlen. Erinnere dich daran, dass es in Ordnung ist, wenn du nicht jeden Tag perfekt bist. Es geht darum, einen allgemeinen Trend der Verbesserung zu sehen. Und vergiss nicht, dich selbst für""",1,0,0
448,"Weil es mir zwar schon wichtig ist, aber auch nicht extrem","Das ist verständlich. Es ist wichtig, dass wir realistische Erwartungen an uns selbst haben. Es ist auch hilfreich, sich über die konkreten Schritte im Klaren zu sein, die zur Veränderung führen. Hast du eine Vorstellung davon, wie du das Prokrastinieren reduzieren kannst""","Nutzer: Weil es mir zwar schon wichtig ist, aber auch nicht extrem
Chatbot: Das ist verständlich. Es ist wichtig, dass wir realistische Erwartungen an uns selbst haben. Es ist auch hilfreich, sich über die konkreten Schritte im Klaren zu sein, die zur Veränderung führen. Hast du eine Vorstellung davon, wie du das Prokrastinieren reduzieren kannst""",0,0,1
1217,"Ich weiß, dass ich manchmal Fehler mache oder mich ablenken lasse. Aber ich versuche, aus meinen Erfahrungen zu lernen und mich zu verbessern. Ich setze mir realistische Ziele, plane meinen Zeitplan und priorisiere meine Aufgaben.","Das klingt nach einer sehr bewussten und reflektierten Herangehensweise! Es ist wichtig, aus Erfahrungen zu lernen und sich ständig verbessern zu wollen. Wir alle prokrastinieren von Zeit zu Zeit. Es ist völlig normal und menschlich, aber es kann auch zu Stress und Versäumnissen führen, wenn es zu häufig passiert. Wie gehst du vor, um das Risiko von neg""","Nutzer: Ich weiß, dass ich manchmal Fehler mache oder mich ablenken lasse. Aber ich versuche, aus meinen Erfahrungen zu lernen und mich zu verbessern. Ich setze mir realistische Ziele, plane meinen Zeitplan und priorisiere meine Aufgaben.
Chatbot: Das klingt nach einer sehr bewussten und reflektierten Herangehensweise! Es ist wichtig, aus Erfahrungen zu lernen und sich ständig verbessern zu wollen. Wir alle prokrastinieren von Zeit zu Zeit. Es ist völlig normal und menschlich, aber es kann auch zu Stress und Versäumnissen führen, wenn es zu häufig passiert. Wie gehst du vor, um das Risiko von neg""",0,0,1
159,"Ich habe schon häufig versucht dieses Problem in den Griff zu bekommen, habe es bisher aber immer nur sporadisch geschafft","Ich verstehe, dass du bereits Anstrengungen unternommen hast, um das Prokrastinieren zu reduzieren, aber du hast Schwierigkeiten, diese Veränderungen beizubehalten. Was glaubst du, könnte dir helfen, diesmal erfolgreich zu sein""","Nutzer: Ich habe schon häufig versucht dieses Problem in den Griff zu bekommen, habe es bisher aber immer nur sporadisch geschafft
Chatbot: Ich verstehe, dass du bereits Anstrengungen unternommen hast, um das Prokrastinieren zu reduzieren, aber du hast Schwierigkeiten, diese Veränderungen beizubehalten. Was glaubst du, könnte dir helfen, diesmal erfolgreich zu sein""",0,0,1
497,Ich versuche weniger Fleisch zu essen und mir gesündere Bio-Produkte zu kaufen,"Das sind bereits tolle Schritte in Richtung einer gesünderen Ernährung. Weniger Fleisch zu essen und auf Bio-Produkte zu setzen, kann sich positiv auf deine Gesundheit auswirken. Wie könntest du dir vorstellen, diese Maßnahmen noch weiter zu verstärken oder auszubauen""","Nutzer: Ich versuche weniger Fleisch zu essen und mir gesündere Bio-Produkte zu kaufen
Chatbot: Das sind bereits tolle Schritte in Richtung einer gesünderen Ernährung. Weniger Fleisch zu essen und auf Bio-Produkte zu setzen, kann sich positiv auf deine Gesundheit auswirken. Wie könntest du dir vorstellen, diese Maßnahmen noch weiter zu verstärken oder auszubauen""",1,0,0
1639,"Ich bin schon in Therapie, keine Sorge :)","Das ist gut zu hören. Therapie kann eine große Hilfe sein und ich hoffe, dass du dort Unterstützung findest. Es ist toll, dass du bereits diesen wichtigen Schritt gemacht hast. Aber zurück zu deinem Wunsch, weniger zu prokrastinieren: Hast du schon mal überlegt, kleine Schritte in Richtung deines Ziels zu machen","Nutzer: Ich bin schon in Therapie, keine Sorge :)
Chatbot: Das ist gut zu hören. Therapie kann eine große Hilfe sein und ich hoffe, dass du dort Unterstützung findest. Es ist toll, dass du bereits diesen wichtigen Schritt gemacht hast. Aber zurück zu deinem Wunsch, weniger zu prokrastinieren: Hast du schon mal überlegt, kleine Schritte in Richtung deines Ziels zu machen",0,1,0
