,chat_id,date,user_id,target_behaviour,change_talk_ratio,top_utterance_type,Cooperative,Reflective,Pre-informed/finds own solution,Next Step developed in chat,Chat Succesfull,Contained technical issue,Own Perspective,Summary Succesfull,Unnamed: 14,harmful,condition
0,1,2023-08-07 15:42:32.949765,6107ab75c50cfb94fb523279,weniger prokrastinieren,0,0.0,0,0,0,0,0,1,0,0,0,0.0,framework
1,2,2023-08-07 15:45:25.377744,5b0d0f0ebd9c3100015655d9,weniger prokrastinieren,0,0.0,0,0,0,1,0,0,0,0,0,6.0,no_system
2,3,2023-08-07 15:48:26.322523,5f8051b402daee04b8108440,weniger prokrastinieren,0,0.0,1,1,1,1,1,0,0,0,0,2.0,no_system
3,4,2023-08-07 15:50:31.310838,62fb7c36ec0d09ab67d5ccb2,gesünder essen,0,0.0,0,0,0,0,0,0,No,No,0,0.0,framework
4,5,2023-08-07 15:51:36.336602,5e6a3e3d265930022e81c70b,gesünder essen,0,0.0,1,1,1,1,1,0,0,0,0,2.0,no_system
5,6,2023-08-07 15:57:13.845562,63c0157fbc63b6511d336764,weniger prokrastinieren,0,0.0,1,1,0,0,0,0,0,0,0,0.0,framework
6,7,2023-08-07 15:57:29.188695,5b648251bd56550001bf31fd,gesünder essen,0,0.0,1,1,0,0,0,0,0,0,0,0.0,framework
7,8,2023-08-07 15:58:12.865972,5fb42f807e81960acbfdb22e,gesünder essen,0,0.0,1,1,0,1,1,0,0,0,0,2.0,no_system
8,9,2023-08-07 16:18:58.782544,5d43c606773d8b00016eaa8a,weniger prokrastinieren,0,0.0,1,1,0,0,1,0,0,No,0,0.0,framework
9,10,2023-08-07 16:19:07.536716,63dfd4fb58435f30c7e5b04b,weniger prokrastinieren,0,0.0,1,1,1,1,1,0,0,0,0,0.0,framework
10,11,2023-08-07 16:19:18.65898,5f5494aa76d6147f7ca89533,weniger prokrastinieren,0,0.0,1,1,0,1,1,0,0,0,0,6.0,no_system
11,12,2023-08-07 16:23:14.170885,63b87d2c9edd47ad702413a1,weniger prokrastinieren,0,0.0,0,0,0,1,0,0,0,0,0,6.0,no_system
12,13,2023-08-07 16:26:33.371206,593ed931d7edb800015241ce,gesünder essen,0,0.0,1,1,1,1,1,0,0,No,0,0.0,framework
13,14,2023-08-07 16:36:32.301486,6123b1880281694d300a4689,weniger prokrastinieren,0,0.0,1,0,0,1,1,0,0,0,0,9.0,no_system
14,15,2023-08-07 16:41:00.21723,5c9fd46cfd19090012b4ac8b,gesünder essen,0,0.0,1,1,1,0,1,0,0,0,0,2.0,framework
15,16,2023-08-07 16:42:45.81319,5c8ab4225b8132001749d125,weniger prokrastinieren,0,0.0,1,1,1,0,0,0,0,0,0,5.0,no_system
16,17,2023-08-07 17:08:03.705749,603ccbf3849f5c2f8a965848,gesünder essen,0,0.0,0,0,0,1,1,0,0,0,0,8.0,no_system
17,19,2023-08-07 17:10:42.492915,5f56506b2a8fb805ac024015,weniger prokrastinieren,0,0.0,1,1,1,1,1,0,0,0,0,0.0,framework
