Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64d0f4445d3b281a56b5c587,5b0d0f0ebd9c3100015655d9,APPROVED,2023-08-07T13:43:17.232000Z,2023-08-07T14:02:58.455000Z,2023-08-07T14:03:44.413000,2023-08-07T14:02:59.122905Z,1182,C16Y0TGC,1383,53,Male,White,Germany,Germany,Germany,German,No,Part-Time
64d0f45ff35be85c5e647ccc,6107ab75c50cfb94fb523279,APPROVED,2023-08-07T13:40:51.227000Z,2023-08-07T13:57:30.678000Z,2023-08-07T13:58:30.561000,2023-08-07T13:57:31.206107Z,1000,C16Y0TGC,401,44,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
64d0f52585cb3bcd7d6c1fda,5f8051b402daee04b8108440,APPROVED,2023-08-07T13:44:30.858000Z,2023-08-07T14:14:48.778000Z,2023-08-07T14:16:09.317000,2023-08-07T14:14:49.794243Z,1818,C16Y0TGC,1200,60,Female,White,Germany,Germany,Germany,German,No,Part-Time
64d0f5b705ae5f9e613aaf8d,5e6a3e3d265930022e81c70b,APPROVED,2023-08-07T13:49:22.024000Z,2023-08-07T14:10:52.622000Z,2023-08-07T14:13:16.917000,2023-08-07T14:11:13.935406Z,1291,C16Y0TGC,1568,29,Male,White,Kazakhstan,Germany,Germany,German,No,Unemployed (and job seeking)
64d0f64da0e90161ca22b4c4,62fb7c36ec0d09ab67d5ccb2,APPROVED,2023-08-07T13:49:14.428000Z,2023-08-07T14:02:44.952000Z,2023-08-07T14:03:44.572000,2023-08-07T14:02:45.489696Z,811,C16Y0TGC,513,35,Male,White,Germany,Germany,Germany,German,No,Full-Time
64d0f6e1fe838539a722b4a7,63c0157fbc63b6511d336764,APPROVED,2023-08-07T13:53:50.861000Z,2023-08-07T14:15:21.308000Z,2023-08-07T14:16:09.458000,2023-08-07T14:15:21.788581Z,1291,C16Y0TGC,433,44,Female,White,Germany,Germany,Germany,German,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64d0f7a71a75a315e5560c45,5b648251bd56550001bf31fd,APPROVED,2023-08-07T13:55:05.474000Z,2023-08-07T14:14:45.391000Z,2023-08-07T14:16:09.587000,2023-08-07T14:14:45.954519Z,1180,C16Y0TGC,1730,51,Female,White,Germany,Germany,Germany,German,No,Part-Time
64d0f7a9ad5d064dec6a21bc,5fb42f807e81960acbfdb22e,APPROVED,2023-08-07T13:55:09.479000Z,2023-08-07T14:23:10.491000Z,2023-08-07T14:23:36.901000,2023-08-07T14:23:10.979762Z,1682,C16Y0TGC,497,40,Male,White,Germany,Germany,Germany,German,No,DATA_EXPIRED
64d0fca1d25cc067efc53214,5f5494aa76d6147f7ca89533,APPROVED,2023-08-07T14:16:24.300000Z,2023-08-07T14:36:00.770000Z,2023-08-07T14:41:30.824000,2023-08-07T14:36:01.737100Z,1177,C16Y0TGC,1524,33,Male,White,Germany,Germany,Germany,German,No,Full-Time
64d0fcab9f04a54a8b373a07,5d43c606773d8b00016eaa8a,APPROVED,2023-08-07T14:16:26.527000Z,2023-08-07T14:44:41.445000Z,2023-08-07T14:47:06.677000,2023-08-07T14:44:41.900059Z,1695,C16Y0TGC,1453,51,Female,White,Germany,Germany,Germany,German,No,Part-Time
64d0fccdcf516cbd79a20152,63dfd4fb58435f30c7e5b04b,APPROVED,2023-08-07T14:16:58.925000Z,2023-08-07T14:35:59.447000Z,2023-08-07T14:41:30.971000,2023-08-07T14:35:59.922420Z,1141,C16Y0TGC,413,31,Male,White,Germany,Germany,Germany,German,Yes,Part-Time
64d0fccf4df445abde45b557,63b87d2c9edd47ad702413a1,APPROVED,2023-08-07T14:20:47.042000Z,2023-08-07T14:39:51.854000Z,2023-08-07T14:41:31.094000,2023-08-07T14:39:52.727470Z,1145,C16Y0TGC,387,24,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
64d0fe9256704afa0ffb99b9,593ed931d7edb800015241ce,APPROVED,2023-08-07T14:24:41.115000Z,2023-08-07T14:41:54.725000Z,2023-08-07T14:47:11.727000,2023-08-07T14:41:55.918049Z,1034,C16Y0TGC,533,34,Male,White,Germany,Germany,Germany,German,No,Full-Time
64d100f98eb922d0436b0476,6123b1880281694d300a4689,APPROVED,2023-08-07T14:34:39.184000Z,2023-08-07T14:51:31.139000Z,2023-08-07T15:02:09.143000,2023-08-07T14:51:31.772187Z,1012,C16Y0TGC,177,26,Female,White,Germany,Germany,Germany,German,Yes,Part-Time
