Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64d210f3edc213bda533ed52,61541f26e1de27ffb8e0739d,APPROVED,2023-08-08T09:55:03.632000Z,2023-08-08T10:10:54.492000Z,2023-08-08T12:36:08.044000Z,2023-08-08T10:10:55.083000Z,951,NOCODE,258,40,Male,White,Germany,Germany,Germany,German,No,Full-Time
64d21167286f5411fc64e5a9,616529cd79b29b3850c420cb,APPROVED,2023-08-08T09:56:59.455000Z,2023-08-08T10:13:30.245000Z,2023-08-08T10:14:50.234000,2023-08-08T10:13:31.142455Z,991,C16Y0TGC,728,72,Male,White,Germany,Germany,Germany,German,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64d212ba7b32eefc10173fb3,60fe7985ba99343ad0b893b7,APPROVED,2023-08-08T10:02:39.198000Z,2023-08-08T10:24:04.691000Z,2023-08-08T10:29:25.416000,2023-08-08T10:24:05.122242Z,1286,C16Y0TGC,738,23,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,Part-Time
64d2132c25eedaabcf34bfea,63456ccb7a78c1c4821b23ca,APPROVED,2023-08-08T10:04:39.095000Z,2023-08-08T10:25:19.778000Z,2023-08-08T10:29:30.436000,2023-08-08T10:25:20.327744Z,1241,C16Y0TGC,511,34,Male,White,Germany,Germany,Germany,German,Yes,Part-Time
64d2132f3b3487c99e64e5db,61123681461c3abe26ab1bd3,APPROVED,2023-08-08T10:04:37.254000Z,2023-08-08T10:25:34.553000Z,2023-08-08T10:29:30.575000,2023-08-08T10:25:35.095542Z,1258,C16Y0TGC,957,36,Male,Asian,China,Germany,Germany,German,Yes,Part-Time
64d2133844562967e33569ab,5be95af71ca46b0001862746,APPROVED,2023-08-08T10:04:49.312000Z,2023-08-08T10:24:25.336000Z,2023-08-08T10:29:30.698000,2023-08-08T10:24:26.054772Z,1177,C16Y0TGC,1563,48,Male,White,Germany,Germany,Germany,German,No,Full-Time
64d213a431394162bccabc98,61642079e97a8b33e926d76f,APPROVED,2023-08-08T10:07:08.444000Z,2023-08-08T10:58:39.167000Z,2023-08-08T11:10:43.261000,2023-08-08T10:58:39.868634Z,3091,C16Y0TGC,391,29,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
64d216afea5c6ccfb443f941,62837113d02e5a491c699e3e,APPROVED,2023-08-08T10:19:32.906000Z,2023-08-08T10:36:45.691000Z,2023-08-08T10:47:33.152000,2023-08-08T10:36:46.169463Z,1033,C16Y0TGC,166,33,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
64d218ba19d4a1754ca58673,5ed0f0bb34177d0009582f38,APPROVED,2023-08-08T10:34:41.177000Z,2023-08-08T11:05:43.606000Z,2023-08-08T11:10:43.431000,2023-08-08T11:05:44.686233Z,1863,C16Y0TGC,781,DATA_EXPIRED,Female,White,Germany,Germany,Germany,German,No,Part-Time
64d21a7c747a2537c8e97211,6027eac2f4090f09439ee8e4,APPROVED,2023-08-08T10:36:25.055000Z,2023-08-08T11:02:36.350000Z,2023-08-08T11:10:43.584000,2023-08-08T11:02:37.076960Z,1572,C16Y0TGC,1140,23,Female,White,Germany,Germany,Germany,German,Yes,Part-Time
64d21c0804b6766727171ce7,6128b9759625adfaead84216,APPROVED,2023-08-08T10:42:20.362000Z,2023-08-08T10:57:30.475000Z,2023-08-08T11:10:43.737000,2023-08-08T10:57:31.408476Z,911,C16Y0TGC,244,21,Female,White,Germany,Germany,Germany,German,No,DATA_EXPIRED
64d21c178cd4af2f91af1182,63f3a8e08f5324e0846faa59,APPROVED,2023-08-08T10:42:31.779000Z,2023-08-08T11:01:51.338000Z,2023-08-08T11:10:43.898000,2023-08-08T11:01:51.858911Z,1160,C16Y0TGC,248,27,Female,Mixed,Germany,Germany,Germany,German,Yes,DATA_EXPIRED
64d22263f27eb3d7005fe341,63b6bfc861dd62d55125a428,APPROVED,2023-08-08T11:13:35.287000Z,2023-08-08T11:59:47.207000Z,2023-08-08T12:01:09.341000,2023-08-08T11:59:49.142059Z,2772,C16Y0TGC,327,41,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
64d2247398ecfe97b1a58686,60fd5d982789160769f1ba94,APPROVED,2023-08-08T11:19:10.370000Z,2023-08-08T11:42:06.129000Z,2023-08-08T12:01:09.560000,2023-08-08T11:42:06.767198Z,1376,C16Y0TGC,766,46,Male,White,Germany,Germany,Germany,German,No,Full-Time
64d2251c8cb5291d038b1be5,63d2c20ec51e93a7c7a44ffe,APPROVED,2023-08-08T11:21:14.981000Z,2023-08-08T11:40:43.848000Z,2023-08-08T12:01:09.770000,2023-08-08T11:40:44.324054Z,1169,C16Y0TGC,326,30,Male,White,Germany,Germany,Germany,German,Yes,Unemployed (and job seeking)
64d225650565d69d2a3b547d,63fd0b137e38c72ea19176aa,APPROVED,2023-08-08T11:22:37.089000Z,2023-08-08T11:43:36.137000Z,2023-08-08T12:01:09.984000,2023-08-08T11:43:36.636076Z,1260,C16Y0TGC,286,22,Male,White,Romania,Germany,Germany,German,Yes,Unemployed (and job seeking)
64d22676c6296addde698ca4,63c05b6dd1912a1996bb07a8,APPROVED,2023-08-08T11:26:46.461000Z,2023-08-08T11:48:22.577000Z,2023-08-08T12:15:16.380000,2023-08-08T11:48:23.159607Z,1297,C16Y0TGC,290,25,Male,White,Germany,Germany,Germany,German,Yes,Full-Time
64d2267ac022ff5cac588642,5d0a33b56dd417001ae19535,APPROVED,2023-08-08T11:33:26.025000Z,2023-08-08T11:56:59.564000Z,2023-08-08T12:15:16.513000,2023-08-08T11:57:02.606858Z,1414,C16Y0TGC,995,26,Male,White,Germany,Germany,Germany,German,No,Full-Time
64d22cd07cd19bef063d46ee,6155869bc689974635969b8a,APPROVED,2023-08-08T11:53:55.492000Z,2023-08-08T12:10:58.314000Z,2023-08-08T12:37:21.107000,2023-08-08T12:10:58.923567Z,1023,C16Y0TGC,272,30,Female,White,Germany,Germany,Germany,German,Yes,Part-Time
64d230073535fbf4fa619d8e,6156c03beb47b00976ab809f,APPROVED,2023-08-08T12:07:58.172000Z,2023-08-08T12:30:33.242000Z,2023-08-08T12:38:24.700000,2023-08-08T12:30:33.747543Z,1356,C16Y0TGC,869,42,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
64d2314fc39c1fe585176c4f,6318a9b82babc6f278a69007,APPROVED,2023-08-08T12:13:09.321000Z,2023-08-08T12:44:43.849000Z,2023-08-08T12:47:25.570000,2023-08-08T12:44:44.458418Z,1895,C16Y0TGC,126,51,Female,White,Germany,Germany,Germany,German,No,Part-Time
64d234ceea80170192eec81b,5dbc177f0e1ec31c8af5492e,APPROVED,2023-08-08T12:28:06.177000Z,2023-08-08T12:49:38.604000Z,2023-08-08T12:54:22.607000,2023-08-08T12:49:39.194789Z,1293,C16Y0TGC,235,25,Female,White,Germany,Germany,Germany,German,Yes,DATA_EXPIRED
64d2391e98369b36e1619d69,60c373c27f986fcf789fa817,APPROVED,2023-08-08T12:46:22.172000Z,2023-08-08T13:03:05.513000Z,2023-08-08T13:10:21.251000,2023-08-08T13:03:06.000961Z,1004,C16Y0TGC,148,22,Female,Mixed,Germany,Germany,Germany,German,Yes,DATA_EXPIRED
64d23b9bdbe02e50104ff54f,5f1715072b20d0020b0e383c,APPROVED,2023-08-08T12:57:02.181000Z,2023-08-08T13:11:06.356000Z,2023-08-08T13:12:28.805000,2023-08-08T13:11:07.242745Z,845,C16Y0TGC,498,22,Male,White,Germany,Germany,Germany,German,No,Full-Time
64d23be3d1a600041a3d46ae,627bccc58bb8898efd763beb,APPROVED,2023-08-08T12:58:15.972000Z,2023-08-08T13:44:54.102000Z,2023-08-08T13:46:14.208000,2023-08-08T13:44:55.059012Z,2799,C16Y0TGC,594,23,Male,White,Germany,Germany,Germany,German,Yes,Part-Time
64d23c118b9d14b04645b779,5592a7f2fdf99b3a9e651fd9,APPROVED,2023-08-08T12:59:01.952000Z,2023-08-08T13:24:43.667000Z,2023-08-08T13:26:23.358000,2023-08-08T13:24:44.377401Z,1542,C16Y0TGC,649,57,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
64d23c86c737aaf9c1601952,63b6be80193b85aa1323f8db,APPROVED,2023-08-08T13:01:01.268000Z,2023-08-08T13:25:11.846000Z,2023-08-08T13:26:28.408000,2023-08-08T13:25:14.214073Z,1451,C16Y0TGC,267,33,Female,White,Germany,Germany,Germany,German,No,Part-Time
64d23de393ca4a6b6ced16cb,627e030cc712893d578971f5,APPROVED,2023-08-08T13:06:55.300000Z,2023-08-08T13:20:20.176000Z,2023-08-08T13:29:07.486000,2023-08-08T13:20:20.754803Z,805,C16Y0TGC,226,29,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
