Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64d250bc2e1b20f7b6525b99,62c42b020ddc9564f77e2e24,APPROVED,2023-08-08T14:27:13.984000Z,2023-08-08T14:52:43.508000Z,2023-08-08T15:04:09.026000,2023-08-08T14:52:44.156538Z,1530,C16Y0TGC,445,28,Female,White,Germany,Germany,Germany,German,Yes,Other
64d252f78e65feea3deec857,591aac50ef20c600015d8c5d,APPROVED,2023-08-08T14:36:46.597000Z,2023-08-08T15:03:16.316000Z,2023-08-08T15:04:09.221000,2023-08-08T15:03:17.011002Z,1590,C16Y0TGC,1047,28,Female,White,Germany,Germany,Germany,German,No,Full-Time
64d25494fe126612fabaff1b,5b21646bdf28a7000166f4dc,APPROVED,2023-08-08T14:44:22.289000Z,2023-08-08T15:06:51.872000Z,2023-08-08T15:33:41.595000,2023-08-08T15:06:52.537392Z,1350,C16Y0TGC,1221,32,Male,White,Germany,Germany,Germany,German,No,Part-Time
64d25670062bd3d29011bceb,633be00805d21dbb64ab889a,APPROVED,2023-08-08T14:53:09.905000Z,2023-08-08T15:22:27.221000Z,2023-08-08T15:33:41.781000,2023-08-08T15:22:27.883419Z,1758,C16Y0TGC,489,36,Male,White,Germany,Germany,Germany,German,No,Full-Time
64d256d77fdd492218574adb,63eb7c1abdbdf911ec1201ab,APPROVED,2023-08-08T14:53:15.101000Z,2023-08-08T15:11:18.897000Z,2023-08-08T15:33:41.932000,2023-08-08T15:11:19.605149Z,1084,C16Y0TGC,131,24,Male,White,Germany,Germany,Germany,German,Yes,Full-Time
64d256ee3f36a0548683bf7e,615452aaabb932ada88ef3ca,APPROVED,2023-08-08T14:53:54.905000Z,2023-08-08T15:10:37.539000Z,2023-08-08T15:33:42.093000,2023-08-08T15:10:38.595832Z,1003,C16Y0TGC,557,33,Male,White,Germany,Germany,Germany,German,No,Full-Time
64d25890cd9ad863e8c88b8c,60928a250d3bfcb9a26fe8ef,APPROVED,2023-08-08T15:00:42.768000Z,2023-08-08T15:19:25.912000Z,2023-08-08T15:33:46.633000,2023-08-08T15:19:26.423684Z,1124,C16Y0TGC,655,25,Female,White,Germany,Germany,Germany,German,Yes,DATA_EXPIRED
64d258cb1388a3b8f86018fe,613ba1090afacfa15f8af1a5,APPROVED,2023-08-08T15:01:35.836000Z,2023-08-08T15:17:17.068000Z,2023-08-08T15:33:46.785000,2023-08-08T15:17:17.579532Z,942,C16Y0TGC,585,26,Female,White,Germany,Germany,Germany,German,No,Part-Time
64d2599881b3e01bcd2d8973,60beb1657520f1e69477a90f,APPROVED,2023-08-08T15:05:07.684000Z,2023-08-08T15:32:17.872000Z,2023-08-08T15:33:46.928000,2023-08-08T15:32:19.787942Z,1631,C16Y0TGC,384,26,Female,White,Germany,Germany,Germany,German,Yes,Unemployed (and job seeking)
64d259a50c167d47d59ad005,5efcc8d1669e920c46e9daf9,APPROVED,2023-08-08T15:05:14.636000Z,2023-08-08T15:30:15.139000Z,2023-08-08T15:33:42.283000,2023-08-08T15:30:17.987260Z,1501,C16Y0TGC,225,25,Male,Other,Pakistan,Germany,Germany,German,Yes,Unemployed (and job seeking)
