Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64d48ce79ecbb8009fb2afa9,627bfe5b0f4965a1e102a350,APPROVED,2023-08-10T07:08:26.327000Z,2023-08-10T07:26:57.335000Z,2023-08-10T07:40:47.570000,2023-08-10T07:26:58.032712Z,1112,C16Y0TGC,403,39,Female,White,Germany,Germany,Germany,German,No,Part-Time
64d4905a74ab6f068d01d579,5dc12924d362410a4ad6d8dd,APPROVED,2023-08-10T07:23:08.814000Z,2023-08-10T09:07:49.101000Z,2023-08-10T09:14:11.711000,2023-08-10T09:07:49.715030Z,6281,C16Y0TGC,424,34,Male,White,Germany,Germany,Germany,German,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64d490e92d176f3efe256ebc,5be454621effe60001cbf290,APPROVED,2023-08-10T07:25:44.492000Z,2023-08-10T07:39:40.591000Z,2023-08-10T07:40:48.150000,2023-08-10T07:39:41.183173Z,837,C16Y0TGC,463,26,Male,White,Germany,Germany,Germany,German,No,Full-Time
64d493fb6d04d639c301d57a,63c658437791ac7be49f06e9,APPROVED,2023-08-10T07:38:38.285000Z,2023-08-10T07:58:47.184000Z,2023-08-10T08:02:09.594000,2023-08-10T07:58:47.714698Z,1209,C16Y0TGC,313,26,Male,Mixed,Germany,Germany,Germany,German,No,Unemployed (and job seeking)
64d494bc51350ad348650bff,6154ba8467f9bfa97682c022,APPROVED,2023-08-10T07:41:53.087000Z,2023-08-10T08:00:45.168000Z,2023-08-10T08:02:09.732000,2023-08-10T08:00:45.636791Z,1133,C16Y0TGC,254,50,Male,White,Germany,Germany,Germany,German,No,Full-Time
64d4958bbd96e1d434650bf1,60fd20116e9cad4c06dbb98c,APPROVED,2023-08-10T07:45:21.817000Z,2023-08-10T08:02:59.562000Z,2023-08-10T08:09:04.230000,2023-08-10T08:03:00.664797Z,1058,C16Y0TGC,342,23,Female,White,Germany,Germany,Germany,German,Yes,Unemployed (and job seeking)
64d497570284e6d80aba83da,6102da1fe0817a1cd60ff566,APPROVED,2023-08-10T07:53:02.369000Z,2023-08-10T08:13:57.203000Z,2023-08-10T08:28:13.625000,2023-08-10T08:13:57.737525Z,1255,C16Y0TGC,409,21,Female,White,Germany,Germany,Germany,German,No,Full-Time
64d4986962e3d9ceac408e08,5a7fab56f49c9a0001f3549e,APPROVED,2023-08-10T08:00:15.731000Z,2023-08-10T08:31:39.017000Z,2023-08-10T08:33:03.674000,2023-08-10T08:31:56.890228Z,1884,C16Y0TGC,2402,30,Male,White,Germany,Germany,Germany,German,No,Full-Time
64d498f5e1827839c6b8ce42,610905a730569ffea2fbdd0b,APPROVED,2023-08-10T07:59:59.701000Z,2023-08-10T08:22:55.403000Z,2023-08-10T08:28:13.787000,2023-08-10T08:22:56.892213Z,1376,C16Y0TGC,978,26,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,Part-Time
64d49c33efdc55de1aebad7e,627bbf69ab2788507bc421a2,APPROVED,2023-08-10T08:13:42.742000Z,2023-08-10T09:00:13.442000Z,2023-08-10T09:05:19.058000,2023-08-10T09:00:13.981025Z,2791,C16Y0TGC,922,36,Male,White,Germany,Germany,Germany,German,No,DATA_EXPIRED
64d49c685ef0d9a1d237f087,60be1ebd38d04cdbd9f58121,APPROVED,2023-08-10T08:14:37.235000Z,2023-08-10T08:35:32.912000Z,2023-08-10T08:39:24.371000,2023-08-10T08:35:33.469270Z,1256,C16Y0TGC,1033,31,Male,White,Germany,Germany,Germany,German,No,Full-Time
64d49ca47a88a19766408e14,634693f87e70324e7a523b6d,APPROVED,2023-08-10T08:15:47.750000Z,2023-08-10T08:44:56.559000Z,2023-08-10T08:53:14.572000,2023-08-10T08:44:57.157886Z,1749,C16Y0TGC,448,26,Male,Mixed,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
64d4a3c84cf7b4062ebc0da6,63eb38339e72d01818aeb71b,APPROVED,2023-08-10T08:46:03.272000Z,2023-08-10T08:59:03.977000Z,2023-08-10T09:05:19.202000,2023-08-10T08:59:04.633207Z,781,C16Y0TGC,321,35,Male,White,Germany,Germany,Germany,German,No,Full-Time
64d4a89db9ccc26c9a0bd240,60513ec07ee46769ed029be4,APPROVED,2023-08-10T09:06:39.600000Z,2023-08-10T09:33:21.635000Z,2023-08-10T09:34:23.767000,2023-08-10T09:33:23.012216Z,1603,C16Y0TGC,1483,34,Male,White,United States,Germany,Germany,German,No,Full-Time
64d4ac360001de7ce52f2908,6123c4f8e486767a57db9afe,APPROVED,2023-08-10T09:22:01.955000Z,2023-08-10T09:36:54.531000Z,2023-08-10T09:41:38.072000,2023-08-10T09:36:55.737974Z,893,C16Y0TGC,585,30,Female,White,Germany,Germany,Germany,German,No,Unemployed (and job seeking)
64d4b4edee5855fe8a680ae8,61066122f34a6dcb4e56ee1e,APPROVED,2023-08-10T09:59:13.673000Z,2023-08-10T10:23:44.142000Z,2023-08-10T11:28:56.139000,2023-08-10T10:23:44.685282Z,1471,C16Y0TGC,145,21,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
64d4b6c50682f1b9b21641e8,6122091a0404dbaa1029d297,APPROVED,2023-08-10T10:07:04.687000Z,2023-08-10T10:24:14.800000Z,2023-08-10T11:28:56.276000,2023-08-10T10:24:15.295646Z,1031,C16Y0TGC,491,32,Female,White,Germany,Germany,Germany,German,No,Full-Time
64d4bfc24231c1b762a8880c,5bbbdca68f3bd70001e713ef,APPROVED,2023-08-10T10:45:26.542000Z,2023-08-10T11:03:16.887000Z,2023-08-10T11:29:01.168000,2023-08-10T11:03:17.458676Z,1071,C16Y0TGC,1374,35,Male,White,Germany,Germany,Germany,German,No,Part-Time
64d4bfc734fdfd660aa1d5da,63fce1d62af707fa9a407725,APPROVED,2023-08-10T10:46:34.042000Z,2023-08-10T11:05:24.186000Z,2023-08-10T11:29:01.328000,2023-08-10T11:05:25.273215Z,1131,C16Y0TGC,266,23,Male,White,Germany,Germany,Germany,German,Yes,Other
64d4bfd5ee3e404276cdf742,627c9adcf5e3579f7b45be06,APPROVED,2023-08-10T10:45:44.762000Z,2023-08-10T11:03:00.592000Z,2023-08-10T11:29:01.466000,2023-08-10T11:03:01.119466Z,1036,C16Y0TGC,29,32,Male,White,Germany,Germany,Germany,German,No,Full-Time
64d4c3a249ce119da54eae55,62d975b271ef86567275de5d,APPROVED,2023-08-10T11:02:08.531000Z,2023-08-10T11:20:23.302000Z,2023-08-10T11:29:01.605000,2023-08-10T11:20:24.073269Z,1095,C16Y0TGC,636,40,Male,Asian,Vietnam,Germany,Germany,German,No,Part-Time
64d4cd0f8d46d35491391288,60b3d1ccaa70940b72334feb,APPROVED,2023-08-10T11:42:12.400000Z,2023-08-10T11:58:19.186000Z,2023-08-10T12:26:43.025000,2023-08-10T11:58:19.678337Z,967,C16Y0TGC,229,45,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
64d4d1fa262645c19754ed27,63f96a371bb85d609a6a9c2c,APPROVED,2023-08-10T12:03:19.068000Z,2023-08-10T12:18:55.547000Z,2023-08-10T12:26:43.196000,2023-08-10T12:18:56.950095Z,937,C16Y0TGC,274,21,Female,White,Germany,Germany,Germany,German,Yes,Other
