Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64d5d7dc38ef16aee1e7194f,5d6c50a41609c7000185eacd,APPROVED,2023-08-11T06:45:08.987000Z,2023-08-11T07:45:07.975000Z,2023-08-11T07:50:26.367000,2023-08-11T07:46:16.533063Z,3599,C16Y0TGC,426,34,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
64d5d8df29541d8f46e71941,5fc2baec78f48840a7b90aa5,APPROVED,2023-08-11T06:44:50.293000Z,2023-08-11T07:06:11.102000Z,2023-08-11T07:50:26.495000,2023-08-11T07:06:11.550028Z,1281,C16Y0TGC,105,34,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
64d5db620ad9270d9557592c,637e1da154dddf50b9d82c82,APPROVED,2023-08-11T06:55:53.469000Z,2023-08-11T07:15:40.707000Z,2023-08-11T07:50:26.609000,2023-08-11T07:15:41.144186Z,1188,C16Y0TGC,419,32,Male,White,Germany,Germany,Germany,German,Yes,Full-Time
64d5dc62c3c85d2ec14ef338,63408fcd2af6d768d5901d79,APPROVED,2023-08-11T07:03:44Z,2023-08-11T07:55:51.212000Z,2023-08-11T08:10:44.244000,2023-08-11T07:55:51.717608Z,3128,C16Y0TGC,555,34,Male,White,Germany,Germany,Germany,German,No,Full-Time
64d5dd779bec7ce53e607cf8,627bfd52e3e0bfd01cd0cad5,APPROVED,2023-08-11T07:04:26.815000Z,2023-08-11T07:20:02.609000Z,2023-08-11T07:50:26.727000,2023-08-11T07:20:03.193370Z,936,C16Y0TGC,56,24,Female,White,Germany,Germany,Germany,German,Yes,Full-Time
64d5de75439d20628c86d335,6138ca54d0f9f2234e722285,APPROVED,2023-08-11T07:08:40.812000Z,2023-08-11T07:26:31.108000Z,2023-08-11T07:50:26.848000,2023-08-11T07:26:31.583146Z,1071,C16Y0TGC,958,29,Male,White,Germany,Germany,Germany,German,No,Full-Time
64d5dfeac05b75738205ee40,63eb52907a3f28213aebbc35,APPROVED,2023-08-11T07:14:53.778000Z,2023-08-11T08:05:33.345000Z,2023-08-11T08:10:44.390000,2023-08-11T08:05:34.193967Z,3040,NOCODE,141,53,Male,White,Germany,Germany,Germany,German,No,Full-Time
64d5e03fbd6b4bdfdaed8c2c,63c23f21142a12bcbe0c9ebe,APPROVED,2023-08-11T07:16:18.842000Z,2023-08-11T07:40:15.691000Z,2023-08-11T07:50:26.972000,2023-08-11T07:42:56.105285Z,1437,C16Y0TGC,115,34,Male,White,Russian Federation,Germany,Germany,German,No,Full-Time
64d5e05935d603be80305010,63321c0e98492be122f5073a,APPROVED,2023-08-11T07:16:59.102000Z,2023-08-11T07:32:36.532000Z,2023-08-11T07:51:37.979000,2023-08-11T07:32:37.025558Z,938,C16Y0TGC,115,39,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
64d5e29d4f267cd837ed8c46,5a1542e20fff620001a6d2dc,APPROVED,2023-08-11T07:26:31.797000Z,2023-08-11T08:06:12.288000Z,2023-08-11T08:10:44.511000,2023-08-11T08:06:12.735985Z,2381,C16Y0TGC,1046,44,Male,White,"Venezuela, Bolivarian Republic of",Germany,Germany,German,No,Full-Time
