Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64dca976d6e2bf89b74411eb,5ed8d4613fa4f50463cf7d50,APPROVED,2023-08-16T10:48:24.857000Z,2023-08-16T11:06:36.905000Z,2023-08-16T11:25:07.540000,2023-08-16T11:06:37.445597Z,1093,C16Y0TGC,202,43,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
64dcac184d04be20b78bcdef,62c549c43265b47996b6fda8,APPROVED,2023-08-16T10:59:40.733000Z,2023-08-16T11:26:21.272000Z,2023-08-16T11:28:02.753000,2023-08-16T11:26:21.980457Z,1601,C16Y0TGC,248,27,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
64dcae9197ca525eb8c86d01,5c9295ebec114b0015418738,APPROVED,2023-08-16T11:10:11.891000Z,2023-08-16T11:21:10.879000Z,2023-08-16T11:25:07.684000,2023-08-16T11:21:11.363579Z,659,C16Y0TGC,502,25,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
64dcafe0c540a0eb551250ca,5dea808cce8d8d19f5424b21,APPROVED,2023-08-16T11:15:44.625000Z,2023-08-16T11:30:06.988000Z,2023-08-16T11:32:59.829000,2023-08-16T11:30:30.717135Z,863,C16Y0TGC,1398,34,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
64dcb28b890d247039b42512,5c0f8d00367ee9000125404a,APPROVED,2023-08-16T11:27:07.237000Z,2023-08-16T11:57:13.755000Z,2023-08-16T12:25:43.952000,2023-08-16T11:57:14.220403Z,1807,C16Y0TGC,1251,32,Male,White,Germany,Germany,Germany,German,Yes,Due to start a new job within the next month
64dcbe573059a70a9ee178a5,5fef28c2feba31d456459420,APPROVED,2023-08-16T12:17:33.198000Z,2023-08-16T12:39:09.632000Z,2023-08-16T12:39:40.009000,2023-08-16T12:39:10.326760Z,1297,C16Y0TGC,854,22,Female,White,Germany,Germany,Germany,German,Yes,Other
64dcc0455913f0ebc12eb10e,6153d9d6f7dc5d0934da7885,APPROVED,2023-08-16T12:29:14.426000Z,2023-08-16T12:49:50.463000Z,2023-08-16T12:52:07.444000,2023-08-16T12:49:50.965893Z,1237,C16Y0TGC,272,21,Male,White,Germany,Germany,Germany,German,Yes,Unemployed (and job seeking)
64dcc1d6ef8aa02ac3c54749,606b94352e103bc54d43321b,APPROVED,2023-08-16T12:32:38.745000Z,2023-08-16T13:19:03.281000Z,2023-08-16T13:22:00.077000,2023-08-16T13:19:03.775923Z,2785,C16Y0TGC,294,27,Male,Asian,United States,Germany,United States,German,Yes,Part-Time
64dcc24d2cd2a7dc72c86d39,5ca5d69682ff890012be8b11,APPROVED,2023-08-16T12:35:39.915000Z,2023-08-16T12:49:47.885000Z,2023-08-16T12:52:07.585000,2023-08-16T12:49:48.448014Z,848,C16Y0TGC,653,30,Male,White,Germany,Germany,Germany,German,Yes,Full-Time
64dccf52ecbd27288dd3ce09,604b169fe4b7991ec08da3a6,AWAITING REVIEW,2023-08-16T13:29:54.756000Z,2023-08-16T14:18:47.914000Z,,2023-08-16T14:18:49.455580Z,2934,C16Y0TGC,1991,32,Male,White,Russian Federation,Germany,Germany,German,No,Full-Time
