user_id;start_time;end_time;condition;education;job;identification_with_goal;current_pursuit_of_target;readiness_to_change_start;readiness_to_change_end;wai_sr_1;wai_sr_2;wai_sr_3;wai_sr_4;wai_sr_5;wai_sr_6;wai_sr_7;wai_sr_8;wai_sr_9;wai_sr_10;wai_sr_11;wai_sr_12;fa_s1;fa_s2;fa_s3;pu_s1;pu_s2;pu_s3;rw_s1;rw_s2;rw_s3;pm_1;pm_2;pm_3;pm_4;pm_5;pm_6;pm_7;pm_8;pm_9;pm_10;pm_11;cc_1;cc_2;cc_3;cc_4;pe_1;pe_2;pe_3;general_remarks;attention_check
5592a7f2fdf99b3a9e651fd9;2023-08-08 14:59:49.246355;2023-08-08 15:24:33.913124;framework;Master-Abschluss;Musiker;8;8;7;7;öfters;manchmal;selten;öfters;öfters;öfters;sehr oft;sehr oft;öfters;öfters;sehr oft;sehr oft;Stimme weder zu noch ab;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme überhaupt nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher zu;sehr viel;ein wenig;sehr viel;sehr viel;sehr viel;sehr viel;manchmal;sehr viel;manchmal;sehr viel;manchmal;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher zu;Stimme eher zu;Stimme voll und ganz zu;;Stimme überhaupt nicht zu
591aac50ef20c600015d8c5d;2023-08-08 16:37:15.342634;2023-08-08 17:02:59.270676;framework;Master-Abschluss;Computerlinguistik;10;10;9;10;selten;manchmal;selten;manchmal;immer;selten;öfters;manchmal;öfters;manchmal;selten;sehr oft;Stimme überhaupt nicht zu;Stimme eher nicht zu;Stimme eher zu;Stimme weder zu noch ab;Stimme überhaupt nicht zu;Stimme überhaupt nicht zu;Stimme eher zu;Stimme eher zu;Stimme voll und ganz zu;immer;überhaupt nicht;immer;immer;überhaupt nicht;immer;sehr viel;sehr viel;überhaupt nicht;sehr viel;überhaupt nicht;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher zu;Stimme eher zu;;Stimme überhaupt nicht zu
593ed931d7edb800015241ce;2023-08-07 16:25:00.744608;2023-08-07 16:41:43.949226;framework;Abitur;Berufstätig;10;9;8;10;sehr oft;manchmal;öfters;öfters;manchmal;sehr oft;manchmal;öfters;selten;öfters;immer;immer;Stimme überhaupt nicht zu;Stimme weder zu noch ab;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme überhaupt nicht zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;sehr viel;ein wenig;manchmal;ein wenig;überhaupt nicht;sehr viel;manchmal;ein wenig;überhaupt nicht;manchmal;ein wenig;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher zu;Stimme eher zu;Stimme eher nicht zu;Stimme weder zu noch ab;Stimme weder zu noch ab;;Stimme überhaupt nicht zu
599b3cedd0bcd10001dd939a;2023-08-09 12:52:59.707858;2023-08-09 13:04:05.192081;no_system;Bachelor-Abschluss;arbeitssuchend;10;9;7;9;manchmal;öfters;sehr oft;sehr oft;sehr oft;sehr oft;sehr oft;öfters;öfters;immer;sehr oft;sehr oft;Stimme überhaupt nicht zu;Stimme eher zu;Stimme eher zu;Stimme überhaupt nicht zu;Stimme überhaupt nicht zu;Stimme überhaupt nicht zu;Stimme voll und ganz zu;Stimme eher zu;Stimme voll und ganz zu;sehr viel;manchmal;manchmal;manchmal;sehr viel;manchmal;ein wenig;ein wenig;manchmal;sehr viel;ein wenig;Stimme eher zu;Stimme eher zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;nein;Stimme überhaupt nicht zu
5a06ebf2c259f300017656ee;2023-08-09 12:54:12.839555;2023-08-09 13:13:46.172634;framework;Bachelor-Abschluss;Student Informatik M.Sc.;6;5;8;6;selten;selten;selten;selten;selten;selten;selten;selten;öfters;manchmal;immer;selten;Stimme überhaupt nicht zu;Stimme weder zu noch ab;Stimme weder zu noch ab;Stimme eher nicht zu;Stimme überhaupt nicht zu;Stimme überhaupt nicht zu;Stimme weder zu noch ab;Stimme eher nicht zu;Stimme eher zu;ein wenig;ein wenig;ein wenig;ein wenig;überhaupt nicht;überhaupt nicht;überhaupt nicht;ein wenig;überhaupt nicht;ein wenig;überhaupt nicht;Stimme eher zu;Stimme eher zu;Stimme weder zu noch ab;Stimme eher zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;;Stimme überhaupt nicht zu
5a1542e20fff620001a6d2dc;2023-08-11 09:27:16.853184;2023-08-11 10:06:00.440405;no_system;Bachelor-Abschluss;Angestellter, Luftfrachtdokumentarist;7;7;6;7;manchmal;selten;manchmal;manchmal;sehr oft;öfters;öfters;öfters;sehr oft;öfters;sehr oft;öfters;Stimme eher nicht zu;Stimme eher nicht zu;Stimme weder zu noch ab;Stimme eher nicht zu;Stimme überhaupt nicht zu;Stimme eher nicht zu;Stimme weder zu noch ab;Stimme weder zu noch ab;Stimme weder zu noch ab;ein wenig;überhaupt nicht;überhaupt nicht;ein wenig;ein wenig;ein wenig;manchmal;ein wenig;ein wenig;ein wenig;überhaupt nicht;Stimme voll und ganz zu;Stimme eher zu;Stimme weder zu noch ab;Stimme eher zu;Stimme eher zu;Stimme weder zu noch ab;Stimme weder zu noch ab;;Stimme überhaupt nicht zu
5a71c8ccb7fcdc0001e40726;2023-08-14 15:22:59.472128;2023-08-16 12:04:35.726276;framework;Abitur;selbstständig;9;9;9;9;manchmal;manchmal;manchmal;sehr oft;sehr oft;sehr oft;öfters;öfters;manchmal;öfters;öfters;öfters;Stimme eher nicht zu;Stimme weder zu noch ab;Stimme weder zu noch ab;Stimme überhaupt nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme weder zu noch ab;Stimme eher zu;Stimme eher zu;sehr viel;ein wenig;manchmal;manchmal;ein wenig;sehr viel;manchmal;ein wenig;manchmal;sehr viel;manchmal;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme weder zu noch ab;Stimme eher zu;Stimme eher zu;;Stimme überhaupt nicht zu
5a74e93feea3d300016dd8ca;2023-08-09 09:09:08.108599;2023-08-09 09:22:51.410589;no_system;Abitur;Informatiker;7;5;2;6;öfters;öfters;manchmal;sehr oft;öfters;öfters;öfters;öfters;öfters;öfters;öfters;öfters;Stimme überhaupt nicht zu;Stimme eher nicht zu;Stimme eher nicht zu;Stimme überhaupt nicht zu;Stimme überhaupt nicht zu;Stimme überhaupt nicht zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;sehr viel;manchmal;manchmal;sehr viel;manchmal;manchmal;manchmal;manchmal;überhaupt nicht;ein wenig;überhaupt nicht;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme weder zu noch ab;Stimme weder zu noch ab;Ich hoffe alles zu Ihrer Zufriedenheit beantwortet zu haben;Stimme überhaupt nicht zu
5a7fab56f49c9a0001f3549e;2023-08-10 10:01:11.045583;2023-08-10 10:31:25.904833;no_system;Bachelor-Abschluss;Personalberater ;7;7;5;7;sehr oft;immer;öfters;sehr oft;immer;immer;öfters;immer;öfters;sehr oft;immer;sehr oft;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher nicht zu;Stimme überhaupt nicht zu;Stimme eher nicht zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme voll und ganz zu;sehr viel;immer;sehr viel;immer;sehr viel;sehr viel;manchmal;sehr viel;manchmal;sehr viel;immer;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher zu;Stimme voll und ganz zu;Stimme voll und ganz zu;Stimme eher zu;Stimme voll und ganz zu;Nein;Stimme überhaupt nicht zu
5aad4225811b2000016f6ed1;2023-08-14 15:07:15.462176;2023-08-14 15:21:02.189837;no_system;Bachelor-Abschluss;Qualitätsmanager in der Altenpflege in Vollzeit;0;8;7;7;öfters;manchmal;sehr oft;öfters;öfters;manchmal;manchmal;öfters;öfters;manchmal;manchmal;manchmal;Stimme eher nicht zu;Stimme weder zu noch ab;Stimme eher nicht zu;Stimme überhaupt nicht zu;Stimme überhaupt nicht zu;Stimme überhaupt nicht zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;manchmal;ein wenig;ein wenig;ein wenig;manchmal;manchmal;manchmal;sehr viel;ein wenig;ein wenig;überhaupt nicht;Stimme voll und ganz zu;Stimme eher zu;Stimme eher zu;Stimme eher zu;Stimme weder zu noch ab;Stimme eher zu;Stimme eher zu;nein danke;Stimme überhaupt nicht zu
