Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64c2592047006a3f3e2806dd,616354dc61efc8568688957e,APPROVED,2023-07-27T11:46:57.714000Z,2023-07-27T12:07:18.265000Z,2023-07-27T12:14:10.631000,2023-07-27T12:07:19.233779Z,1221,C16TDAYN,31,26,Female,White,Germany,Germany,Germany,German,No,DATA_EXPIRED
64c25f47b8b073f9f2126d89,6154d06b17c275e888a310a4,APPROVED,2023-07-27T12:12:59.588000Z,2023-07-27T12:30:56.009000Z,2023-07-27T12:51:40.605000,2023-07-27T12:30:56.783604Z,1077,C16TDAYN,629,26,Female,White,Germany,Germany,Germany,German,Yes,Part-Time
64c260286e22f12b955b0277,5e9dd9917fca8614c3ff4df0,APPROVED,2023-07-27T12:16:45.018000Z,2023-07-27T12:42:55.866000Z,2023-07-27T12:51:40.715000,2023-07-27T12:42:56.313389Z,1571,C16TDAYN,268,26,Female,White,Germany,Germany,Germany,German,No,Full-Time
64c26342fcd45bff690c4286,6328833c10cc013235926005,APPROVED,2023-07-27T12:29:59.261000Z,2023-07-27T12:42:28.783000Z,2023-07-27T12:51:40.818000,2023-07-27T12:42:29.269874Z,750,C16TDAYN,102,33,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
64c2635073fc0df984654f62,614595c2f02b81d11457a399,APPROVED,2023-07-27T12:30:08.153000Z,2023-07-27T12:55:30.584000Z,2023-07-27T13:00:45.158000,2023-07-27T12:55:55.978223Z,1523,C16TDAYN,739,58,Male,White,Germany,Germany,Germany,German,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64c263ad5157fadf4a72f3db,603c1168208b758f82345284,APPROVED,2023-07-27T12:31:50.732000Z,2023-07-27T12:32:08.080000Z,2023-07-27T13:00:45.295000,2023-07-27T12:32:12.495971Z,18,C2NA4KIB,1084,26,Male,Mixed,Germany,Germany,Germany,German,No,DATA_EXPIRED
64c2642adac480b9260ee018,63eb30cc5ebc556dccd45265,APPROVED,2023-07-27T12:41:06.259000Z,2023-07-27T13:01:03.792000Z,2023-07-27T13:01:49.880000,2023-07-27T13:01:04.499455Z,1198,C16TDAYN,142,35,Male,White,Germany,Germany,Germany,German,No,Full-Time
64c2644198b2538034f988c1,6153963f97c84ce267a3d5fc,APPROVED,2023-07-27T12:35:14.617000Z,2023-07-27T12:59:18.009000Z,2023-07-27T13:00:45.422000,2023-07-27T12:59:18.484758Z,1444,C16TDAYN,722,42,Female,White,Germany,Germany,Germany,German,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64c26452f8847e408e158ff7,565248ccfea9c60012c5cc62,APPROVED,2023-07-27T12:34:38.076000Z,2023-07-27T12:49:34.853000Z,2023-07-27T12:51:40.939000,2023-07-27T12:49:35.894187Z,897,C16TDAYN,1451,36,Male,White,Germany,Germany,Germany,German,No,Full-Time
64c2660de057c495ee2567b8,61159963b4e799b07923808b,APPROVED,2023-07-27T12:41:54.048000Z,2023-07-27T12:53:07.601000Z,2023-07-27T13:00:45.553000,2023-07-27T12:53:09.075925Z,674,C16TDAYN,347,25,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
