"utterance_id","turn_id","chat_id","datetime","user_utterance","valence","valence_score","label","label_score","sublabel","sublabel_score","bot_action","bot_datetime","bot_utterance","user_rating","user_rating_explanation"
1,1,1,"2023-07-27 13:48:37.440911","start",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 13:48:39.038798","Hallo! Ich bin MIcha, dein Motivations-Chatbot. 
                            Mein Ziel ist es, dir dabei zu helfen, dein Verhalten zu reflektieren und dich dabei zu unterstützen dir einen Plan für deine Verhaltensänderung zu erarbeiten. 
                            Bitte denke über meine Fragen genau nach und sieh sie vorwiegend als Gedankenanstöße, die dich mental näher an dein Ziel bringen. 
                            Ich bin nicht dafür da, dir Tipps oder Handlungsempfehlungen zu geben, sondern dafür, dir über deine Beweggründe und Werte klar zu werden. 
                                
                            Über welche Verhaltensänderung möchtest du heute sprechen?",NULL,NULL
2,2,1,"2023-07-27 13:49:10.611202","Ich möchte weniger prokrastinieren",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 13:49:12.193502","Du möchtest also weniger prokrastinieren. Kannst du mir etwas darüber erzählen, warum dir diese Veränderung wichtig ist?",NULL,NULL
3,3,1,"2023-07-27 13:50:29.271684","Ich habe das Gefühl, nicht ganz bei der Sache zu sein wenn ich meine Arbeit erledige. Vor allem im Homeoffice lasse ich mich schnell ablenken. Ich habe gerade eine neue Stelle angefangen und möchte mich beweisen. Außerdem habe ich Schuldgefühle wenn ich mich so häufig ablenken lasse.",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 13:50:32.959824","Auf einer Skala von 0 (überhaupt nicht) bis 10 (sehr), wie interessiert bist du jetzt gerade daran, diese Veränderung durchzuführen?",NULL,NULL
4,4,1,"2023-07-27 13:50:58.112075","8",NULL,0,NULL,0,NULL,0,NULL,"2023-07-27 13:51:00.203526","Eine 8. Du stehst dieser Veränderung also insgesamt positiv gegenüber. Kannst du mir etwas mehr über diese Einschätzung sagen? Warum hast du keinen höheren oder niedrigeren Wert angegeben?",NULL,NULL
5,5,1,"2023-07-27 13:51:58.252337","Ich habe das Problem, dass ich häufig wenig zu tun habe an der Arbeit. Und dann ist Ablenkung auch mal ganz angenehm. Ich möchte es nicht komplett ändern, nur verbessern.","change",0.9931941032409668,"Reason",0.9991583824157715,"desire",0.9926322102546692,"Elaboration","2023-07-27 13:52:05.847383","Du möchtest also nicht jede Form der Ablenkung loswerden, sondern nur weniger prokrastinieren. Was sind die Momente, in denen du merkst, dass du prokrastinierst","gut/hilfreich","Wenn ich eine große, langwierige Aufgabe vor mir habe oder etwas, auf das ich gerade keine Lust habe. Und wenn ich allgemein müde oder schlapp bin."
6,6,1,"2023-07-27 13:54:09.219363","Wenn ich eine sehr große, langwierige Aufgabe vor mir habe oder etwas, das ich nicht gerne mache. Und wenn ich mich allgemein schlapp und müde fühle.","change",0.9961686730384827,"Reason",0.9964839220046997,"General Reason",0.9902167320251465,"Affirmation","2023-07-27 13:54:15.483602","Du erkennst also, wann du am meisten zum Prokrastinieren neigst. Es ist eine Stärke, solche Muster zu erkennen. Was könntest du tun, um in diesen Momenten weniger zu prokrastinieren","gut/hilfreich",NULL
7,7,1,"2023-07-27 13:55:29.716844","Ich könnte mir die Arbeit aufteilen, vielleicht in kleineren Etappen arbeiten mit Pausen. Aber das fällt mir sehr schwer.","change",0.9986326098442078,"Reason",0.9969674944877625,"ability",0.9848176836967468,"Digging Deep","2023-07-27 13:55:36.183095","Es ist nachvollziehbar, dass es schwierig sein kann, sich große Aufgaben in kleinere Teile zu unterteilen. Was denkst du, könnte dir dabei helfen, diesen Ansatz effektiver zu nutzen","gut/hilfreich",NULL
8,8,1,"2023-07-27 13:56:30.614602","Vielleicht hilft es, mir Wecker zu stellen für Zeiten, in denen ich ungestört arbeite und für Pausen.","change",0.9991008043289185,"Reason",0.9858307242393494,"General Reason",0.9927095174789429,"Affirmation","2023-07-27 13:56:37.754848","Deine Fähigkeit, Lösungen zu finden, ist bemerkenswert. Es zeigt, dass du trotz der Herausforderung, die das Prokrastinieren darstellt, in der Lage bist, proaktiv zu sein. Du bist auf dem richtigen Weg.","gut/hilfreich","Die posititve Bestärkung hilft mir, selbst Antworten auf meine Fragen zu finden."
9,9,1,"2023-07-27 13:57:38.061668","Danke das hat mir sehr geholfen.","change",0.998370349407196,"Taking Steps",0.6792768836021423,NULL,NULL,"Hypothetical","2023-07-27 13:57:47.123313","Es freut mich zu hören, dass unser Gespräch hilfreich für dich war. Du hast bereits viele tolle Ideen und Lösungsansätze entwickelt. Denke daran, dass es vollkommen in Ordnung ist, klein anzufangen und sich schrittweise an seine Ziele heranzuarbeiten. Du machst das großartig.","gut/hilfreich","Weiterhin positive Bestärkung, ich würde mir nur mehr Lösungsansätze vom Bot selbst wünschen."
10,10,1,"2023-07-27 13:59:00.703487","Kannst du mir noch allgemeine Lösungsansätze geben, um das Prokrastinieren an der Arbeit zu verringern?","change",0.9933983087539673,"Reason",0.9882616400718689,"ability",0.9810911417007446,"Summary","2023-07-27 13:59:18.181725","Lass mich unser bisheriges Gespräch zusammenfassen. Natürlich, hier sind ein paar allgemeine Strategien, die dir helfen könnten, die Prokrastination zu verringern:

1. Prioritäten setzen: Beginne jeden Tag damit, deine Aufgaben nach Priorität zu ordnen. Dies hilft dir, dich auf das zu konzentrieren, was wirklich wichtig ist.

2. Zeitmanagement: Nutze Techniken wie die Pomodoro-Technik, bei der du in Blocks arbeitest und regelmäßige Pausen einlegst.

3. Ablenkungen minimieren: Versuche, Ablenkungen in deiner Arbeitsumgebung so gut wie möglich zu reduzieren.

4. Selbstfürsorge: Sorge dafür, dass du ausreichend schlafst, dich gesund ernährst und regelmäßig bewegst. Dies kann dir helfen, deine Energie und Konzentration zu erhöhen.

5. Positive Visualisierung: Habe ich noch etwas vergessen?","gut/hilfreich","Das sind sehr hilfreiche Ansätze, die ich wahrscheinlich in meinen Alltag integrieren werde."
