"user_id","start_time","end_time","condition","age","sex","education","job","identification_with_goal","current_pursuit_of_target","wai_sr_1","wai_sr_2","wai_sr_3","wai_sr_4","wai_sr_5","wai_sr_6","wai_sr_7","wai_sr_8","wai_sr_9","wai_sr_10","wai_sr_11","wai_sr_12","fa_s1","fa_s2","fa_s3","pu_s1","pu_s2","pu_s3","rw_s1","rw_s2","rw_s3","pm_1","pm_2","pm_3","pm_4","pm_5","pm_6","pm_7","pm_8","cc_1","cc_2","cc_3","cc_4","pe_1","pe_2","pe_3","length","wants_choices","suggested_choices","general_remarks","attention_check"
"565248ccfea9c60012c5cc62","2023-07-27 14:35:26.065216","2023-07-27 14:49:25.852978","vanilla",36,"m","Doktor-Grad","wissenschaftliche Forschung",5,3,"öfters","manchmal","selten","selten","manchmal","öfters","selten","manchmal","öfters","öfters","sehr oft","öfters","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme weder zu noch ab","Stimme weder zu noch ab","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme weder zu noch ab","Stimme weder zu noch ab","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme weder zu noch ab","Stimme eher zu","Stimme weder zu noch ab","Das Gespräch war zu lang.","Nein","","","Stimme überhaupt nicht zu"
"5e9dd9917fca8614c3ff4df0","2023-07-27 14:18:29.531285","2023-07-27 14:42:41.741788","framework",26,"w","Master-Abschluss","Beraterin",10,4,"öfters","manchmal","selten","selten","selten","selten","selten","manchmal","selten","öfters","manchmal","manchmal","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme weder zu noch ab","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme weder zu noch ab","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme weder zu noch ab","Stimme eher zu","Stimme weder zu noch ab","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Das Gespräch hatte die richtige Länge.","Eine Kombination aus Auswahlmöglichkeiten und Freitext","Evtl. mögliche Wege zum Ziel, die man sich vorstellen kann (falls man etwas ideenlos ist)","","Stimme überhaupt nicht zu"
"603c1168208b758f82345284","2023-07-27 14:34:09.467662","2023-07-27 14:51:09.187698","framework",26,"m","Abitur","Prolific Worker",5,5,"selten","selten","selten","selten","selten","selten","selten","selten","selten","selten","selten","selten","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Das Gespräch war zu lang.","Nein","","","Stimme überhaupt nicht zu"
"61159963b4e799b07923808b","2023-07-27 14:42:32.193473","2023-07-27 14:53:02.890277","vanilla",25,"w","Bachelor-Abschluss","Studentin/Teilzeitkraft",10,10,"selten","selten","manchmal","selten","öfters","selten","öfters","selten","selten","selten","selten","selten","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Stimme weder zu noch ab","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme weder zu noch ab","Stimme weder zu noch ab","Stimme weder zu noch ab","Das Gespräch war zu kurz.","Eine Kombination aus Auswahlmöglichkeiten und Freitext","","","Stimme überhaupt nicht zu"
"614595c2f02b81d11457a399","2023-07-27 14:31:23.046259","2023-07-27 14:55:19.897466","vanilla",58,"m","Master-Abschluss","Pensionär",10,0,"selten","selten","selten","selten","selten","selten","öfters","selten","öfters","manchmal","selten","manchmal","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme weder zu noch ab","Stimme eher nicht zu","Stimme weder zu noch ab","Stimme weder zu noch ab","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme weder zu noch ab","Stimme weder zu noch ab","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Das Gespräch hatte die richtige Länge.","Ja","","","Stimme überhaupt nicht zu"
"6153963f97c84ce267a3d5fc","2023-07-27 14:36:31.137288","2023-07-27 14:59:06.978245","framework",42,"w","mittlere Reife","Hausfrau",10,9,"selten","selten","selten","selten","selten","manchmal","selten","manchmal","selten","selten","manchmal","selten","Stimme eher nicht zu","Stimme eher nicht zu","Stimme weder zu noch ab","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Das Gespräch hatte die richtige Länge.","Nein","","","Stimme überhaupt nicht zu"
"6154d06b17c275e888a310a4","2023-07-27 14:13:36.451113","2023-07-27 14:26:39.77019","vanilla",26,"w","Bachelor-Abschluss","Studentin",7,6,"selten","selten","selten","selten","manchmal","selten","manchmal","manchmal","manchmal","selten","manchmal","selten","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme weder zu noch ab","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme weder zu noch ab","Stimme eher nicht zu","Stimme weder zu noch ab","Stimme weder zu noch ab","Stimme weder zu noch ab","Stimme eher nicht zu","Das Gespräch war zu lang.","Nein","","","Stimme überhaupt nicht zu"
"616354dc61efc8568688957e","2023-07-27 13:47:45.680372","2023-07-27 14:07:13.0512","framework",26,"w","Bachelor-Abschluss","Videoproduktion",10,4,"sehr oft","sehr oft","immer","sehr oft","sehr oft","sehr oft","immer","immer","öfters","immer","immer","immer","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme eher zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme weder zu noch ab","Stimme voll und ganz zu","Stimme weder zu noch ab","Stimme eher zu","Stimme eher zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme weder zu noch ab","Stimme eher zu","Stimme eher zu","Das Gespräch hatte die richtige Länge.","Nein","","Die Bewertung von Antwortmöglichkeiten war im ersten Moment verwirrend, später habe ich es aber verstanden.","Stimme überhaupt nicht zu"
"6328833c10cc013235926005","2023-07-27 14:30:52.736143","2023-07-27 14:42:17.256067","vanilla",30,"w","Master-Abschluss","Doktorantin",9,9,"manchmal","selten","manchmal","öfters","öfters","sehr oft","sehr oft","manchmal","selten","öfters","öfters","öfters","Stimme eher nicht zu","Stimme weder zu noch ab","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme weder zu noch ab","Stimme weder zu noch ab","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme voll und ganz zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher nicht zu","Stimme weder zu noch ab","Stimme eher zu","Das Gespräch hatte die richtige Länge.","Eine Kombination aus Auswahlmöglichkeiten und Freitext","","","Stimme überhaupt nicht zu"
"63eb30cc5ebc556dccd45265","2023-07-27 14:41:38.810427","2023-07-27 15:00:56.859519","framework",35,"m","Abitur","IT Consultant",8,8,"manchmal","manchmal","manchmal","manchmal","manchmal","selten","manchmal","manchmal","manchmal","selten","selten","manchmal","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher zu","Stimme weder zu noch ab","Stimme weder zu noch ab","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher zu","Stimme weder zu noch ab","Stimme eher zu","Stimme weder zu noch ab","Stimme überhaupt nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme weder zu noch ab","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Stimme eher nicht zu","Das Gespräch hatte die richtige Länge.","Ja","","","Stimme überhaupt nicht zu"
