,user_id,start_time,end_time,condition,education,job,identification_with_goal,current_pursuit_of_target,readiness_to_change_start,readiness_to_change_end,wai_sr_1,wai_sr_2,wai_sr_3,wai_sr_4,wai_sr_5,wai_sr_6,wai_sr_7,wai_sr_8,wai_sr_9,wai_sr_10,wai_sr_11,wai_sr_12,fa_s1,fa_s2,fa_s3,pu_s1,pu_s2,pu_s3,rw_s1,rw_s2,rw_s3,pm_1,pm_2,pm_3,pm_4,pm_5,pm_6,pm_7,pm_8,pm_9,pm_10,pm_11,cc_1,cc_2,cc_3,cc_4,pe_1,pe_2,pe_3,attention_check,Submission id,Time taken,Total approvals,Age,Sex,Therapeutic Alliance,User Engagement,Perception of MI,Perception MI Inadherent,Perceived Empathy,Communication Competence,Readiness to Change (Delta),stage,target_behaviour,Cooperative,Reflective,Pre-informed/finds own solution,Next Step developed in chat,Chat Succesfull,Contained technical issue,Own Perspective,Summary Succesfull,harmful,gut/hilfreich,schlecht/unpassend,change,Follow/Neutral,sustain,Reason,Commitment,Taking Steps,desire,General Reason,ability,need,Rd+,FN,R_+,C+,Ra+,R_-,TS-,TS+,Rd-,Ra-,Rn+,Rn-,C-
0,5592a7f2fdf99b3a9e651fd9,2023-08-08 14:59:49.246355,2023-08-08 15:24:33.913124,framework,Master-Abschluss,Musiker,8.0,8.0,7.0,7.0,3,2,1,3,3,3,4,4,3,3,4,4,3,5,5,4,4,5,5,5,4,4,4,4,4.0,2,4,3,4,3,4,3,5,5,5,5,4,4,5,Stimme überhaupt nicht zu,64d23c118b9d14b04645b779,25.7,649,57,Male,3.0833333333333335,4.444444444444445,39.0,6,4.333333333333333,5.0,0.0,preparation,gesünder essen,0.5,0,0,0,0,0,0,0,0.0,7.0,0.0,4.0,5.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,591aac50ef20c600015d8c5d,2023-08-08 16:37:15.342634,2023-08-08 17:02:59.270676,framework,Master-Abschluss,Computerlinguistik,10.0,10.0,9.0,10.0,1,2,1,2,5,1,3,2,3,2,1,4,1,2,4,3,5,5,4,4,5,5,5,5,5.0,5,5,4,4,5,4,1,5,5,5,5,5,4,4,Stimme überhaupt nicht zu,64d252f78e65feea3deec857,26.5,1047,28,Female,2.25,3.6666666666666665,48.0,0,4.333333333333333,5.0,1.0,action,weniger prokrastinieren,1,1,1,1,1,0,0,No,1.0,7.0,0.0,4.0,2.0,3.0,5.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,593ed931d7edb800015241ce,2023-08-07 16:25:00.744608,2023-08-07 16:41:43.949226,framework,Abitur,Berufstätig,10.0,9.0,8.0,10.0,4,2,3,3,2,4,2,3,1,3,5,5,1,3,4,4,4,5,4,4,4,4,4,3,2.0,5,4,3,2,5,3,2,5,5,4,4,2,3,3,Stimme überhaupt nicht zu,64d0fe9256704afa0ffb99b9,17.233333333333334,533,34,Male,3.0833333333333335,3.6666666666666665,37.0,1,2.6666666666666665,4.5,2.0,preparation,gesünder essen,1,1,1,1,1,0,0,No,0.0,6.0,1.0,6.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
3,599b3cedd0bcd10001dd939a,2023-08-09 12:52:59.707858,2023-08-09 13:04:05.192081,no_system,Bachelor-Abschluss,arbeitssuchend,10.0,9.0,7.0,9.0,2,3,4,4,4,4,4,3,3,5,4,4,1,4,4,5,5,5,5,4,5,4,3,3,3.0,2,3,2,2,3,4,2,4,4,5,5,4,4,4,Stimme überhaupt nicht zu,64d36fedffb7901c74b18f75,11.566666666666666,377,30,Male,3.6666666666666665,4.222222222222222,31.0,7,4.0,4.5,2.0,preparation,weniger prokrastinieren,1,0,1,1,1,0,0,0,2.0,7.0,0.0,3.0,6.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5a06ebf2c259f300017656ee,2023-08-09 12:54:12.839555,2023-08-09 13:13:46.172634,framework,Bachelor-Abschluss,Student Informatik M.Sc.,6.0,5.0,8.0,6.0,1,1,1,1,1,1,1,1,3,2,5,1,1,3,3,4,5,5,3,2,4,2,4,2,2.0,5,1,1,2,5,2,1,4,4,3,4,2,2,2,Stimme überhaupt nicht zu,64d370310153ff2a4844e7a8,20.166666666666668,640,26,Male,1.5833333333333333,3.3333333333333335,27.0,1,2.0,3.75,-2.0,preparation,gesünder essen,1,1,1,0,1,0,0,0,0.0,4.0,3.0,4.0,2.0,3.0,6.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
5,5a1542e20fff620001a6d2dc,2023-08-11 09:27:16.853184,2023-08-11 10:06:00.440405,no_system,Bachelor-Abschluss,"Angestellter, Luftfrachtdokumentarist",7.0,7.0,6.0,7.0,2,1,2,2,4,3,3,3,4,3,4,3,2,2,3,4,5,4,3,3,3,2,5,1,2.0,4,2,3,2,4,2,1,5,4,3,4,4,3,3,Stimme überhaupt nicht zu,64d5e29d4f267cd837ed8c46,39.68333333333333,1046,44,Male,2.8333333333333335,3.2222222222222223,28.0,2,3.3333333333333335,4.0,1.0,contemplation,gesünder essen,1,1,1,1,1,0,0,0,4.0,5.0,2.0,6.0,1.0,2.0,7.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5a71c8ccb7fcdc0001e40726,2023-08-14 15:22:59.472128,2023-08-16 12:04:35.726276,framework,Abitur,selbstständig,9.0,9.0,9.0,9.0,2,2,2,4,4,4,3,3,2,3,3,3,2,3,3,5,4,4,3,4,4,4,4,3,3.0,4,4,3,2,3,4,3,4,4,4,4,3,4,4,Stimme überhaupt nicht zu,64dc992a8728d05e89c86d12,25.216666666666665,173,28,Male,2.9166666666666665,3.5555555555555554,37.0,4,3.6666666666666665,4.0,0.0,action,gesünder essen,1,1,1,1,1,0,0,0,0.0,7.0,0.0,7.0,2.0,0.0,3.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
7,5a74e93feea3d300016dd8ca,2023-08-09 09:09:08.108599,2023-08-09 09:22:51.410589,no_system,Abitur,Informatiker,7.0,5.0,2.0,6.0,3,3,2,4,3,3,3,3,3,3,3,3,1,2,2,5,5,5,4,4,4,4,3,3,4.0,3,3,3,3,5,2,1,5,5,5,5,2,3,3,Stimme überhaupt nicht zu,64d33b7655221e26b9c2b15e,14.133333333333333,1534,33,Male,3.0,3.5555555555555554,34.0,4,2.6666666666666665,5.0,4.0,precontemplation,gesünder essen,0.5,0,0,1,0,0,0,No,6.0,5.0,2.0,1.0,5.0,3.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5a7fab56f49c9a0001f3549e,2023-08-10 10:01:11.045583,2023-08-10 10:31:25.904833,no_system,Bachelor-Abschluss,Personalberater ,7.0,7.0,5.0,7.0,4,5,3,4,5,5,3,5,3,4,5,4,2,5,5,4,5,4,5,5,5,4,1,4,5.0,2,4,3,4,3,4,5,5,5,4,5,5,4,5,Stimme überhaupt nicht zu,64d4986962e3d9ceac408e08,31.4,2402,30,Male,4.166666666666667,4.444444444444445,39.0,9,4.666666666666667,4.75,2.0,contemplation,weniger prokrastinieren,0.5,1,1,1,1,1,0,0,4.0,6.0,1.0,4.0,4.0,1.0,5.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
9,5aad4225811b2000016f6ed1,2023-08-14 15:07:15.462176,2023-08-14 15:21:02.189837,no_system,Bachelor-Abschluss,Qualitätsmanager in der Altenpflege in Vollzeit,0.0,8.0,7.0,7.0,3,2,4,3,3,2,2,3,3,2,2,2,2,3,2,5,5,5,4,4,4,3,4,2,2.0,3,3,3,4,4,2,1,5,4,4,4,3,4,4,Stimme überhaupt nicht zu,64da26e9ed2f9b7eb0990620,14.216666666666667,677,34,Male,2.5833333333333335,3.7777777777777777,31.0,4,3.6666666666666665,4.25,0.0,preparation,nachhaltiger leben,1,1,1,1,1,0,0,0,3.0,7.0,0.0,6.0,2.0,1.0,4.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
