Rater_2_topic,Rater_2_reason_type,Rater_2_valence,Rater_1_topic,Rater_1_reason_type,Rater_1_valence
TS,,+,TS,,+
C,,+,R,,+
R,,+,R,,+
TS,,+,R,a,-
R,n,+,R,n,+
TS,,+,TS,,+
TS,,-,TS,,-
TS,,+,TS,,+
TS,,+,C,,+
R,,+,R,,+
R,,+,R,,+
R,n,+,R,,+
R,,-,R,a,-
R,,-,R,,-
TS,,+,TS,,-
R,,+,R,,+
R,,+,TS,,+
C,,+,C,,+
TS,,-,TS,,-
R,,+,TS,,+
R,d,+,R,,+
R,,-,R,,-
TS,,+,TS,,+
TS,,+,TS,,+
R,a,+,R,a,+
R,,+,R,,+
C,,+,C,,+
R,,-,R,,-
R,,+,R,,+
R,,+,R,a,-
TS,,+,C,,+
R,,-,R,,-
TS,,+,TS,,+
R,,+,R,d,+
R,,+,R,,+
TS,,+,R,,+
C,,+,C,,+
R,,+,R,,-
R,a,+,R,d,+
R,,-,R,,-
TS,,+,TS,,+
TS,,+,R,,-
R,a,-,R,a,-
R,,+,R,,+
R,n,+,R,n,+
R,a,-,R,a,-
R,,+,R,,+
TS,,+,TS,,+
R,d,+,TS,,+
R,a,-,R,a,+
R,a,-,R,a,-
R,,+,R,,+
R,,+,TS,,+
TS,,+,R,,+
TS,,+,TS,,+
R,,+,R,,+
R,,+,R,,+
R,,-,R,,+
TS,,+,TS,,+
TS,,+,TS,,+
C,,+,R,d,+
R,,+,R,,+
R,,-,R,,-
R,n,+,R,n,+
R,,-,R,,-
R,a,+,R,a,+
C,,+,R,,+
R,,+,TS,,+
TS,,-,R,,-
TS,,-,R,,-
R,,+,R,,+
R,d,+,R,d,+
TS,,-,TS,,-
R,n,+,C,,+
C,,-,R,,-
R,,-,TS,,+
R,,-,R,,-
R,,+,TS,,+
R,,+,R,d,-
R,,+,R,,+
R,,+,R,,+
R,,+,TS,,+
R,d,+,R,d,+
R,a,-,R,,-
TS,,+,TS,,+
C,,+,C,,+
R,a,-,R,a,-
R,d,+,R,,+
R,a,+,R,,+
R,,-,R,,-
R,a,-,R,a,-
R,n,+,R,n,+
C,,+,C,,+
R,,+,R,,+
R,,+,R,,+
R,,+,R,,+
R,,+,R,,-
TS,,+,R,,+
TS,,+,TS,,+
TS,,-,TS,,-
C,,+,C,,+
TS,,-,TS,_,-
R,,+,TS,_,+
TS,,+,C,_,+
R,n,+,R,n,+
R,n,+,R,n,+
TS,,+,C,_,+
R,n,+,R,n,+
TS,,+,C,_,+
C,,+,C,_,+
TS,,+,C,_,+
C,,+,C,_,+
C,,+,C,_,+
TS,,-,R,n,-
R,,-,R,n,+
C,,+,C,_,+
R,a,-,R,a,-
C,,+,C,_,+
C,,-,C,_,-
R,,+,TS,_,+
R,n,-,R,n,+
R,d,+,R,d,+
R,d,+,R,d,+
C,,+,C,_,+
R,,-,R,a,+
R,a,-,R,a,-
C,,+,C,_,+
R,n,+,R,n,+
R,n,+,R,n,+
R,a,-,R,a,-
R,,-,R,d,+
R,,-,R,a,-
R,d,+,R,d,+
R,,-,R,d,-
C,,+,C,_,+
TS,,+,TS,_,+
C,,+,R,n,+
R,,+,TS,_,+
R,,+,R,n,+
R,d,+,R,d,+
R,d,-,R,d,-
R,d,+,R,d,+
R,d,+,R,d,+
R,d,+,R,d,+
R,,+,C,_,+
TS,,+,C,_,+
