,statistic,pvalue
"('GLoHBCD', 'All Features_NNA')",7.967139659563451,2.59854449479268e-07
"('GLoHBCD', 'All Features_NN')",10.000180352502968,8.928468460134819e-09
"('GLoHBCD', 'All Features_NV')",17.307010687306764,1.1508223654118822e-12
"('GLoHBCD', 'All Features_NFW')",20.26473989511127,7.675062578879966e-14
"('GLoHBCD', 'All Features_NNAV')",26.787435734649808,5.901544214265182e-16
"('GLoHBCD', 'All Features_NVA')",28.690185649681112,1.7627804460214208e-16
"('GLoHBCD', 'All Features_FW')",46.976172435039786,2.765443415293744e-20
"('GLoHBCD', 'NNA_NN')",-0.46158448498651067,0.6499087336878346
"('GLoHBCD', 'NNA_NV')",6.338232301820048,5.679784481620667e-06
"('GLoHBCD', 'NNA_NFW')",8.321906791782409,1.391025611021419e-07
"('GLoHBCD', 'NNA_NNAV')",14.60435649631169,2.0143756775649313e-11
"('GLoHBCD', 'NNA_NVA')",17.022142234491167,1.5263361866935534e-12
"('GLoHBCD', 'NNA_FW')",29.296823004267296,1.2186742925627295e-16
"('GLoHBCD', 'NN_NV')",8.911690420029576,5.099445020647665e-08
"('GLoHBCD', 'NN_NFW')",11.78254754915849,6.770205810983135e-10
"('GLoHBCD', 'NN_NNAV')",19.409544418032237,1.6148238870316406e-13
"('GLoHBCD', 'NN_NVA')",21.853386524889206,2.0749015018336066e-14
"('GLoHBCD', 'NN_FW')",40.76128887163323,3.4773845770219156e-19
"('GLoHBCD', 'NV_NFW')",2.191177820982603,0.04183715690733908
"('GLoHBCD', 'NV_NNAV')",9.981601294981918,9.187607926214715e-09
"('GLoHBCD', 'NV_NVA')",12.949256734063717,1.467610632016192e-10
"('GLoHBCD', 'NV_FW')",27.72699120882275,3.217631019912927e-16
"('GLoHBCD', 'NFW_NNAV')",8.249627897257199,1.5778126271166046e-07
"('GLoHBCD', 'NFW_NVA')",11.408130581744048,1.1342382342199452e-09
"('GLoHBCD', 'NFW_FW')",26.660955123768634,6.413563048178853e-16
"('GLoHBCD', 'NNAV_NVA')",3.490699338659586,0.0026100693839396175
"('GLoHBCD', 'NNAV_FW')",15.863789820044088,5.033169253224403e-12
"('GLoHBCD', 'NVA_FW')",10.90851661161238,2.305265802584372e-09
"('Instagram Data', 'All Features_NNA')",10.010229125899787,8.791506471479481e-09
"('Instagram Data', 'All Features_NN')",10.41260458038303,4.776671317557808e-09
"('Instagram Data', 'All Features_NV')",9.2650498402651,2.8529091258675e-08
"('Instagram Data', 'All Features_NFW')",11.158161678041873,1.612500688516206e-09
"('Instagram Data', 'All Features_NNAV')",17.652551026938053,8.215649065469701e-13
"('Instagram Data', 'All Features_NVA')",24.962525915579,2.0360347849970595e-15
"('Instagram Data', 'All Features_FW')",27.772340608423516,3.1263543209306435e-16
"('Instagram Data', 'NNA_NN')",0.5748851437326153,0.5724852209571091
"('Instagram Data', 'NNA_NV')",2.666850275521686,0.01571856418761534
"('Instagram Data', 'NNA_NFW')",3.546835254270581,0.0023040897273989124
"('Instagram Data', 'NNA_NNAV')",11.332105338391862,1.2615413224524628e-09
"('Instagram Data', 'NNA_NVA')",16.037540556489287,4.188262081990866e-12
"('Instagram Data', 'NNA_FW')",20.994252770955494,4.1617702333636736e-14
"('Instagram Data', 'NN_NV')",2.2682901848890307,0.03585163221562281
"('Instagram Data', 'NN_NFW')",3.0736728488973264,0.006545347738809792
"('Instagram Data', 'NN_NNAV')",10.887321081770693,2.3769647234464484e-09
"('Instagram Data', 'NN_NVA')",15.281206958816272,9.443064770392329e-12
"('Instagram Data', 'NN_FW')",20.42307328458085,6.708884767895756e-14
"('Instagram Data', 'NV_NFW')",0.34112679909269406,0.7369577353220622
"('Instagram Data', 'NV_NNAV')",7.053436893403466,1.4027615915972292e-06
"('Instagram Data', 'NV_NVA')",8.416554488287762,1.1806425823031681e-07
"('Instagram Data', 'NV_FW')",14.180800966495745,3.286428947318732e-11
"('Instagram Data', 'NFW_NNAV')",7.347423387889591,8.055014977226936e-07
"('Instagram Data', 'NFW_NVA')",9.208177338271273,3.1293008089398706e-08
"('Instagram Data', 'NFW_FW')",15.256776970033018,9.699928481363613e-12
"('Instagram Data', 'NNAV_NVA')",-0.2648209609655241,0.7941561067594872
"('Instagram Data', 'NNAV_FW')",6.580137371574333,3.5119283829342155e-06
"('Instagram Data', 'NVA_FW')",8.544835538944861,9.470705064104855e-08
"('Smoke Stop Forum', 'All Features_NN')",3.276976984835259,0.004188774272485368
"('Smoke Stop Forum', 'All Features_NNA')",4.925679442948799,0.00010907188082476256
"('Smoke Stop Forum', 'All Features_NFW')",10.410659015811724,4.790583040528848e-09
"('Smoke Stop Forum', 'All Features_NV')",11.082575797050895,1.7956294512977212e-09
"('Smoke Stop Forum', 'All Features_NNAV')",16.132738618607437,3.789899899457197e-12
"('Smoke Stop Forum', 'All Features_FW')",19.794279009861167,1.1513631320355956e-13
"('Smoke Stop Forum', 'All Features_NVA')",22.193822518394793,1.585863585743098e-14
"('Smoke Stop Forum', 'NN_NNA')",1.3677363424934303,0.1882298866024084
"('Smoke Stop Forum', 'NN_NFW')",7.7366518198075935,3.934399610168179e-07
"('Smoke Stop Forum', 'NN_NV')",8.112611171596432,2.0071902459313984e-07
"('Smoke Stop Forum', 'NN_NNAV')",13.576902834903645,6.749550703591816e-11
"('Smoke Stop Forum', 'NN_FW')",17.74507063404112,7.51428004489051e-13
"('Smoke Stop Forum', 'NN_NVA')",20.110991974384195,8.7543678840423e-14
"('Smoke Stop Forum', 'NNA_NFW')",7.391628069546873,7.417887511694219e-07
"('Smoke Stop Forum', 'NNA_NV')",7.9814731953128195,2.532954445836793e-07
"('Smoke Stop Forum', 'NNA_NNAV')",14.374311719006975,2.623865075740542e-11
"('Smoke Stop Forum', 'NNA_FW')",18.368593645075393,4.162436190531828e-13
"('Smoke Stop Forum', 'NNA_NVA')",22.062052811274445,1.758931249233725e-14
"('Smoke Stop Forum', 'NFW_NV')",-0.8996823670858565,0.38016825075547356
"('Smoke Stop Forum', 'NFW_NNAV')",4.247542885269808,0.0004842966159905608
"('Smoke Stop Forum', 'NFW_FW')",10.049089197298706,8.282199902985224e-09
"('Smoke Stop Forum', 'NFW_NVA')",10.276728629065962,5.858003283485688e-09
"('Smoke Stop Forum', 'NV_NNAV')",6.2374186974116625,6.9557943937762e-06
"('Smoke Stop Forum', 'NV_FW')",12.173671176088599,4.002931487143276e-10
"('Smoke Stop Forum', 'NV_NVA')",13.580195167125684,6.722637013150398e-11
"('Smoke Stop Forum', 'NNAV_FW')",7.368136779268749,7.749674854202101e-07
"('Smoke Stop Forum', 'NNAV_NVA')",7.231057343733076,1.0018872887451136e-06
"('Smoke Stop Forum', 'FW_NVA')",-1.8605441845530564,0.07922655408877981
"('Synthetic GPT3 Data', 'All Features_NNA')",3.3020747591630397,0.003963114633122024
"('Synthetic GPT3 Data', 'All Features_NN')",5.441338243775293,3.608510816882455e-05
"('Synthetic GPT3 Data', 'All Features_NV')",6.138101853987657,8.504059088732464e-06
"('Synthetic GPT3 Data', 'All Features_NFW')",8.485710735834028,1.0480813873062527e-07
"('Synthetic GPT3 Data', 'All Features_FW')",11.576266614556104,8.981993867347404e-10
"('Synthetic GPT3 Data', 'All Features_NNAV')",13.286826175960057,9.628218271935181e-11
"('Synthetic GPT3 Data', 'All Features_NVA')",18.436268132436766,3.908213843020746e-13
"('Synthetic GPT3 Data', 'NNA_NN')",0.781078682509721,0.44490829431225865
"('Synthetic GPT3 Data', 'NNA_NV')",1.6046813298685274,0.12596530830429642
"('Synthetic GPT3 Data', 'NNA_NFW')",5.358278558556207,4.3038920558765796e-05
"('Synthetic GPT3 Data', 'NNA_FW')",4.798499007732858,0.00014386833963349457
"('Synthetic GPT3 Data', 'NNA_NNAV')",6.4608164103166805,4.447376363842807e-06
"('Synthetic GPT3 Data', 'NNA_NVA')",12.740605697559953,1.9130371684918266e-10
"('Synthetic GPT3 Data', 'NN_NV')",1.0743560588436958,0.29685468600531767
"('Synthetic GPT3 Data', 'NN_NFW')",5.338598042651315,4.4879232870588584e-05
"('Synthetic GPT3 Data', 'NN_FW')",5.271650558993848,5.1765804965348037e-05
"('Synthetic GPT3 Data', 'NN_NNAV')",7.314336739207339,8.568932525815162e-07
"('Synthetic GPT3 Data', 'NN_NVA')",14.076089343886789,3.7162682109065975e-11
"('Synthetic GPT3 Data', 'NV_NFW')",4.541781697052682,0.00025262865345849973
"('Synthetic GPT3 Data', 'NV_FW')",3.7067762997528644,0.0016141138495108297
"('Synthetic GPT3 Data', 'NV_NNAV')",5.707793658954721,2.061522078569087e-05
"('Synthetic GPT3 Data', 'NV_NVA')",12.690796129022683,2.0390580473243085e-10
"('Synthetic GPT3 Data', 'NFW_FW')",-2.5213276427893683,0.021339454383543614
"('Synthetic GPT3 Data', 'NFW_NNAV')",-1.0926987514450601,0.2889353782719133
"('Synthetic GPT3 Data', 'NFW_NVA')",5.147709623133935,6.75117775060788e-05
"('Synthetic GPT3 Data', 'FW_NNAV')",2.5346100673196643,0.020756451702891664
"('Synthetic GPT3 Data', 'FW_NVA')",10.836329064236367,2.5591971164407605e-09
"('Synthetic GPT3 Data', 'NNAV_NVA')",8.749735112408766,6.688440058268206e-08
"('DARN-CT-based Wizard of Oz Dialogues', 'All Features_NNA')",5.554932860805928,2.8393708806669e-05
"('DARN-CT-based Wizard of Oz Dialogues', 'All Features_NN')",6.544344685902342,3.76896866102715e-06
"('DARN-CT-based Wizard of Oz Dialogues', 'All Features_NFW')",8.241476353395978,1.60046065202118e-07
"('DARN-CT-based Wizard of Oz Dialogues', 'All Features_NV')",11.965230907267998,5.28776712585188e-10
"('DARN-CT-based Wizard of Oz Dialogues', 'All Features_NNAV')",15.549782058950461,7.047385122985197e-12
"('DARN-CT-based Wizard of Oz Dialogues', 'All Features_FW')",12.864025558850525,1.6347413910218627e-10
"('DARN-CT-based Wizard of Oz Dialogues', 'All Features_NVA')",16.53165646645983,2.5069875578679875e-12
"('DARN-CT-based Wizard of Oz Dialogues', 'NNA_NN')",1.043072227207998,0.3107222509539375
"('DARN-CT-based Wizard of Oz Dialogues', 'NNA_NFW')",1.578042323192861,0.13196809865794018
"('DARN-CT-based Wizard of Oz Dialogues', 'NNA_NV')",4.309993078939966,0.0004216522139361264
"('DARN-CT-based Wizard of Oz Dialogues', 'NNA_NNAV')",9.683749175505007,1.4610734505360412e-08
"('DARN-CT-based Wizard of Oz Dialogues', 'NNA_FW')",9.24744890256958,2.9356126129572177e-08
"('DARN-CT-based Wizard of Oz Dialogues', 'NNA_NVA')",10.321198991005872,5.478361564577001e-09
"('DARN-CT-based Wizard of Oz Dialogues', 'NN_NFW')",0.39878836411800594,0.6947403282004525
"('DARN-CT-based Wizard of Oz Dialogues', 'NN_NV')",3.0019122515973327,0.007653517847927365
"('DARN-CT-based Wizard of Oz Dialogues', 'NN_NNAV')",8.551960338663713,9.356027433659468e-08
"('DARN-CT-based Wizard of Oz Dialogues', 'NN_FW')",8.477732929839624,1.0625475423537692e-07
"('DARN-CT-based Wizard of Oz Dialogues', 'NN_NVA')",9.139037954788996,3.503427088075348e-08
"('DARN-CT-based Wizard of Oz Dialogues', 'NFW_NV')",2.9688675439338525,0.008223174995306169
"('DARN-CT-based Wizard of Oz Dialogues', 'NFW_NNAV')",8.910663190994056,5.108174193061932e-08
"('DARN-CT-based Wizard of Oz Dialogues', 'NFW_FW')",8.583538311804793,8.864928128696119e-08
"('DARN-CT-based Wizard of Oz Dialogues', 'NFW_NVA')",9.5792556655987,1.7233720586087918e-08
"('DARN-CT-based Wizard of Oz Dialogues', 'NV_NNAV')",6.787912107336926,2.3385924851962174e-06
"('DARN-CT-based Wizard of Oz Dialogues', 'NV_FW')",7.0831112119942095,1.325669842242824e-06
"('DARN-CT-based Wizard of Oz Dialogues', 'NV_NVA')",7.405888363271298,7.223707554540945e-07
"('DARN-CT-based Wizard of Oz Dialogues', 'NNAV_FW')",2.152802186373648,0.045146166965512366
"('DARN-CT-based Wizard of Oz Dialogues', 'NNAV_NVA')",0.33826803755326745,0.7390747499262271
"('DARN-CT-based Wizard of Oz Dialogues', 'FW_NVA')",-1.9238500050822505,0.07033382108811913
"('Optifast Mock-Chatbot', 'All Features_NFW')",1.1362082613553977,0.2707711111856966
"('Optifast Mock-Chatbot', 'All Features_NN')",3.6974341320563187,0.0016480502535275358
"('Optifast Mock-Chatbot', 'All Features_NVA')",5.4259963030396765,3.727679810654427e-05
"('Optifast Mock-Chatbot', 'All Features_NV')",5.093823447425405,7.58131142611504e-05
"('Optifast Mock-Chatbot', 'All Features_NNA')",7.156581590383769,1.1531326732158764e-06
"('Optifast Mock-Chatbot', 'All Features_NNAV')",9.68708061216081,1.4534321530842173e-08
