,Unnamed: 0,statistic,pvalue
7,"('GLoHBCD', 'NNA_NN')",-0.4615844849865106,0.6499087336878346
35,"('Instagram Data', 'NNA_NN')",0.5748851437326153,0.5724852209571091
46,"('Instagram Data', 'NV_NFW')",0.341126799092694,0.7369577353220622
53,"('Instagram Data', 'NNAV_NVA')",-0.2648209609655241,0.7941561067594872
63,"('Smoke Stop Forum', 'NN_NNA')",1.3677363424934303,0.1882298866024084
74,"('Smoke Stop Forum', 'NFW_NV')",-0.8996823670858565,0.3801682507554735
83,"('Smoke Stop Forum', 'FW_NVA')",-1.8605441845530564,0.0792265540887798
91,"('Synthetic GPT3 Data', 'NNA_NN')",0.781078682509721,0.4449082943122586
92,"('Synthetic GPT3 Data', 'NNA_NV')",1.6046813298685274,0.1259653083042964
97,"('Synthetic GPT3 Data', 'NN_NV')",1.0743560588436958,0.2968546860053176
107,"('Synthetic GPT3 Data', 'NFW_NNAV')",-1.09269875144506,0.2889353782719133
119,"('DARN-CT-based Wizard of Oz Dialogues', 'NNA_NN')",1.043072227207998,0.3107222509539375
120,"('DARN-CT-based Wizard of Oz Dialogues', 'NNA_NFW')",1.578042323192861,0.1319680986579401
125,"('DARN-CT-based Wizard of Oz Dialogues', 'NN_NFW')",0.3987883641180059,0.6947403282004525
138,"('DARN-CT-based Wizard of Oz Dialogues', 'NNAV_NVA')",0.3382680375532674,0.7390747499262271
139,"('DARN-CT-based Wizard of Oz Dialogues', 'FW_NVA')",-1.9238500050822505,0.0703338210881191
140,"('Optifast Mock-Chatbot', 'All Features_NFW')",1.1362082613553977,0.2707711111856966
153,"('Optifast Mock-Chatbot', 'NN_NVA')",1.960069124545898,0.0656552977374733
154,"('Optifast Mock-Chatbot', 'NN_NV')",1.7730527081297132,0.0931418170521031
158,"('Optifast Mock-Chatbot', 'NVA_NV')",-0.0576845891914169,0.9546354164130376
159,"('Optifast Mock-Chatbot', 'NVA_NNA')",1.896820327398778,0.0740162844225824
162,"('Optifast Mock-Chatbot', 'NV_NNA')",1.8242473779107464,0.0847608518985242
