data 1;data 2;similarity
User TS;User TS;0.2525
User TS;User C;0.2484
User TS;User R;0.2325
User TS;Synthetic TS;0.2627
User TS;Synthetic C;0.2593
User TS;Synthetic R;0.2398
User C;User C;0.2869
User R;User C;0.2454
User C;Synthetic TS;0.2639
User C;Synthetic C;0.2873
User C;Synthetic R;0.2549
User R;User R;0.251
User R;Synthetic TS;0.2440
User R;Synthetic C;0.2488
User R;Synthetic R;0.2502
Synthetic TS;Synthetic TS;0.3376
Synthetic TS;Synthetic C;0.3427
Synthetic TS;Synthetic R;0.3043
Synthetic C;Synthetic C;0.3894
Synthetic R;Synthetic C;0.3294
Synthetic R;Synthetic R;0.3171
