,,accuracy,f1,precision,recall
0,GLoHBCD,0.2973856209150327,0.276473771693156,0.3079886815312495,0.40853728310295045
0,Instagram Data,0.2948717948717949,0.28504891688262113,0.3216870947628959,0.3658264453049987
0,Smoke Stop Forum,0.24943820224719102,0.21865711982037137,0.2544947716602646,0.34808420261172424
0,Synthetic GPT3 Data,0.3888888888888889,0.3700757575757576,0.4023809523809524,0.4519230769230769
0,Health Coach Dialogue Corpus,0.38235294117647056,0.37076156474757854,0.39570968484011965,0.44757173139526085
0,DARN-CT-based Wizard of Oz Dialogues,0.3333333333333333,0.28743961352657005,0.33506493506493507,0.3202380952380952
0,Optifast Mock-Chatbot,0.12698412698412698,0.08016194331983806,0.20915032679738563,0.15625
1,GLoHBCD,0.29901960784313725,0.28554190810076174,0.31579763260945065,0.402849014539925
1,Instagram Data,0.23333333333333334,0.21632002564805686,0.2773044559985555,0.2847611807872531
1,Smoke Stop Forum,0.251685393258427,0.22413249468294846,0.261026966454598,0.33041412076847954
1,Synthetic GPT3 Data,0.3888888888888889,0.3969561369000787,0.4167200854700855,0.5272435897435898
1,Health Coach Dialogue Corpus,0.3588235294117647,0.3548305737328309,0.37064073250113294,0.41203251570898636
1,DARN-CT-based Wizard of Oz Dialogues,0.3888888888888889,0.39736024844720497,0.40694444444444444,0.5845238095238094
1,Optifast Mock-Chatbot,0.19047619047619047,0.09756728778467909,0.22115384615384615,0.17410714285714285
2,GLoHBCD,0.3415032679738562,0.30249608553542945,0.3209042343183969,0.41682961428720566
2,Instagram Data,0.25384615384615383,0.23461877235132336,0.26107897153351695,0.2791001226135793
2,Smoke Stop Forum,0.27640449438202247,0.23571269990640403,0.2753650636802811,0.35277160808580144
2,Synthetic GPT3 Data,0.3333333333333333,0.3448365231259968,0.3866758241758242,0.42467948717948717
2,Health Coach Dialogue Corpus,0.36470588235294116,0.3590016042617804,0.35332012948292013,0.42383412824589295
2,DARN-CT-based Wizard of Oz Dialogues,0.5555555555555556,0.5275075414781297,0.53125,0.7007936507936507
2,Optifast Mock-Chatbot,0.12698412698412698,0.09194060419866872,0.20867176301958912,0.24732142857142858
3,GLoHBCD,0.30718954248366015,0.2812427380491844,0.30941023925194494,0.4084574625123428
