,Sentence,labels
15410," Ich denke, ich habe mich schon immer ein bisschen zu viel gefühlt.",0
5253," Ich finde es wichtig mein Gewicht zu reduzieren, da ich einige gesundheitliche Probleme habe.",0
12741, Ich muss wieder zurück zu meinen Wurzeln gehen.,0
14172, So konnte ich meine Energie aufrechterhalten.,1
6465," Ja, ich habe bereits einige Verhaltensweisen verändert und möchte weitere Verhaltensweisen ändern.",1
5715, Ich werde meinen Körper und meine Gedanken genauer beobachten.,2
5219, Ich esse zu viel und esse auch zu ungesund.,0
18262, Dann habe ich mich wieder aufgefüllt und das Gewicht zurückgeholt.,1
14692, Ich bin sehr gerne in der Natur zu Fuß unterwegs.,0
19130," Ein gesünderes Gewicht ist nur ein Nebeneffekt, nicht das Ziel!",2
1475, Ich möchte mein Gewicht reduzieren.,0
24126," Das Problem ist, dass ich mir selbst nicht traue.",1
21252, Ich werde mich mehr bewegen und aufhören zu rauchen.,2
3605, Ich habe mit einem Diätplan begonnen.,2
14613," Ich habe keine Zeit, mich zu bewegen und das Essen schmeckt mir nicht.",0
10081, Ich würde mich viel besser fühlen und mehr Energie haben.,0
24036, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,1
4428, Ich nehme auch keine Cola mehr zu mir.,1
13397, Ich muss noch mehr Sport treiben.,0
16539, Ich werde meine Ernährung umstellen und mehr Sport treiben.,2
57," Ich bin ziemlich genervt, wenn ich auf meinem Weg in die Arbeit an jeder Ampel stehen bleibe.",0
23840, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,2
9003, Ich muss mehr Sport treiben und auf meine Ernährung achten.,0
14927," Ich fühle mich belastet, wenn ich bei einer Diät scheitere.",0
22560," Es ist wichtig für mich, weil ich mich in meiner Haut nicht wohl fühle.",0
13650, Ich werde mir mehr Zeit für mich selbst nehmen und meinen Körper wieder respektieren.,2
16222, Hallo!,0
4568, Alexa: Dann fange ich jetzt an mit einem gesunden Frühstück.,0
17063, Ich habe seit Jahren Diäten gemacht und erfolglos abgenommen.,0
14928," Das ist zwar nicht immer meine Schuld, aber es ist trotzdem ein Problem.",0
13019," Ich habe keine Zeit, ich bin zu müde, ich habe keinen Bock, ich kann nicht mehr, ich habe keine Lust.",0
5675," Ich denke, dass ich zunächst einmal eine Liste mit meinen Essgewohnheiten anfertige.",2
8956," Ich möchte weniger essen, denn ich bin zu dick.",0
3737, Ich habe mich aber noch nicht darauf eingelassen.,1
25017," Was kannst du tun, um an deinem mit deinen Essgewohnheiten zu arbeiten?",0
17183, Hallo!,0
22350," Ich bin eine junge Frau, die sich nicht wohl fühlt mit ihrem Körper.",0
15823, Hallo!,0
15909, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
12938," Ich arbeite den ganzen Tag, bin müde und habe keine Lust auf Bewegung.",0
