,,accuracy,f1,precision,recall
0,GLoHBCD,0.8317460317460318,0.7560668196525407,0.7671618045629985,0.7461770255887904
0,Instagram Data,0.6776315789473685,0.6402942671270009,0.676096915531135,0.6267999302285017
0,Smoke Stop Forum,0.7891654465592972,0.7012956364854362,0.7295943892239873,0.680818448093729
0,Synthetic GPT3 Data,0.8378378378378378,0.7911466811358293,0.7383040935672515,0.906457739791073
0,Health Coach Dialogue Corpus,0.7460629921259843,0.7479931711521522,0.7681894797711663,0.7481182216476334
0,DARN-CT-based Wizard of Oz Dialogues,0.8,0.8119469165895105,0.8137973137973139,0.8215488215488215
0,Optifast Mock-Chatbot,0.7111111111111111,0.597699214365881,0.5929222566219471,0.6220043572984749
1,GLoHBCD,0.837037037037037,0.7686295963424641,0.7974969938611481,0.7466147439409472
1,Instagram Data,0.6721491228070176,0.631813368712319,0.6791223417651384,0.6155988138845282
1,Smoke Stop Forum,0.7994143484626647,0.7196819713204148,0.7468973332100051,0.7015947613559973
1,Synthetic GPT3 Data,0.8783783783783784,0.8283535636476813,0.7829545454545453,0.9055080721747388
1,Health Coach Dialogue Corpus,0.734251968503937,0.7368143023860744,0.761283472004139,0.7366120807297278
1,DARN-CT-based Wizard of Oz Dialogues,0.775,0.7843676791045212,0.7742547425474254,0.8223905723905723
1,Optifast Mock-Chatbot,0.7333333333333333,0.5975321234788274,0.5950504413619168,0.6045440398381575
2,GLoHBCD,0.8275132275132275,0.7495479420418455,0.7680606445056696,0.7342180497260711
2,Instagram Data,0.6885964912280702,0.6565407786001763,0.697537904288716,0.6422061747776034
2,Smoke Stop Forum,0.780380673499268,0.6884750478298662,0.705317075440483,0.6754681647940076
2,Synthetic GPT3 Data,0.8648648648648649,0.8103703703703703,0.7611408199643493,0.899335232668566
2,Health Coach Dialogue Corpus,0.7283464566929134,0.7290000042121934,0.7490887243808141,0.7294153558859441
2,DARN-CT-based Wizard of Oz Dialogues,0.7375,0.773391812865497,0.7622981956315288,0.7946127946127945
2,Optifast Mock-Chatbot,0.7111111111111111,0.599384216496516,0.588798737885959,0.6220043572984749
