,,accuracy,f1,precision,recall
0,forum,0.6804232804232804,0.4366837251452636,0.3695781147000659,0.5622650769709593
0,synthetic,0.714203010420687,0.44977605302222073,0.4078472151737312,0.5020086106783026
0,mixed_predicted,0.7953099436466097,0.5402387183559529,0.4704967273414364,0.6462557942245638
0,mixed_as_q,0.7089929818834666,0.4478537442378096,0.40118401862834036,0.5088560982348302
1,forum,0.6878306878306878,0.4497086450007113,0.37950757469293683,0.5723143958438076
1,synthetic,0.7400617522192203,0.46799043306857113,0.4387107902125953,0.5042643960962566
1,mixed_predicted,0.7974913652063261,0.5476413148085467,0.4788665209757774,0.6477912857187209
1,mixed_as_q,0.7320058756324466,0.4651517042542564,0.42697731506002734,0.5114907013921479
2,forum,0.6835978835978836,0.44142543702015064,0.37312820512820516,0.5638990638990639
2,synthetic,0.7155538402161328,0.44927475978250025,0.40866298074962654,0.4991102467577271
2,mixed_predicted,0.7967642246864206,0.5447173055951682,0.47589455472036873,0.6459107674505778
2,mixed_as_q,0.7106251020075077,0.44814378164468227,0.4025990160191906,0.5064543696048134
3,forum,0.6952380952380952,0.4556344356347941,0.38405175154173826,0.5854820560702914
3,synthetic,0.7176765727518333,0.45177407424180666,0.41012733477188457,0.5033409027438166
3,mixed_predicted,0.7980367205962552,0.5439192381149037,0.4741977977864071,0.6485601020275982
3,mixed_as_q,0.7142157662803983,0.4523521345177642,0.40570454492001246,0.5126965593052676
4,forum,0.6867724867724868,0.44235944065925303,0.3740677567083761,0.568651392180804
4,synthetic,0.739096873793902,0.46375637224381056,0.43345962699626867,0.5009517996620935
4,mixed_predicted,0.7985820759861844,0.5434095982145821,0.47383784791861255,0.6477891445951235
4,mixed_as_q,0.7310266035580218,0.4602910193027099,0.42090159286312384,0.5081292416174533
5,forum,0.6931216931216931,0.4540289317271268,0.3840511650789391,0.5688010246833777
5,synthetic,0.7205712080277885,0.4573436026629673,0.4195979409239589,0.5026145426193193
5,mixed_predicted,0.7994910016360661,0.5567469000729396,0.4914455740143813,0.6456487856846923
5,mixed_as_q,0.7163375224416517,0.4569000971706343,0.4137114500352417,0.5102146450132728
6,forum,0.6878306878306878,0.4523015897739427,0.3811805333740701,0.5785510785510786
6,synthetic,0.7398687765341567,0.4688747635141501,0.44719642983562796,0.4991940283796028
6,mixed_predicted,0.7998545718960189,0.5555163424322304,0.4888958770844905,0.6478721896032238
6,mixed_as_q,0.7318426636200425,0.46618809620295504,0.43268410455165746,0.5075687102294721
7,forum,0.6793650793650794,0.43665845208757464,0.36971434639481787,0.5679570973688621
7,synthetic,0.7323427248166731,0.4565084503021282,0.42154244773659255,0.4983809801817922
7,mixed_predicted,0.794946373386657,0.5345154759335093,0.46397668693200894,0.6471119377887362
7,mixed_as_q,0.7241716990370491,0.453301193613286,0.41074574003414094,0.505730009786492
8,forum,0.671957671957672,0.43055750728384995,0.365758424581954,0.5672628025569202
8,synthetic,0.7174835970667696,0.45003618953937563,0.40852481658334466,0.5014697798552588
8,mixed_predicted,0.7958552990365388,0.5381649717366105,0.4678603434143238,0.647537868447225
8,mixed_as_q,0.7104618899951036,0.4469230964323409,0.4000895865783017,0.508615541248897
9,forum,0.6835978835978836,0.44317685666399065,0.37466808914177335,0.5607807225454284
9,synthetic,0.7371671169432652,0.4635810640232528,0.4340965332618499,0.5000141531548267
9,mixed_predicted,0.7980367205962552,0.5466882695976764,0.4778003741348112,0.6475335862000302
9,mixed_as_q,0.7289048473967684,0.46044087332635025,0.42255438113783694,0.5064489918837706
