,,accuracy,f1,precision,recall
0,forum,0.6645502645502646,0.4138206340041202,0.35641821946169766,0.4948466566113625
0,synthetic,0.7435353145503667,0.4801687541590509,0.4286000658697608,0.5560736621161747
0,mixed_predicted,0.7411379749136521,0.4712206665979701,0.41037459746347,0.595720689203216
0,mixed_as_q,0.73135302758283,0.4720797712904499,0.4186928781360502,0.5495907026117383
1,forum,0.6518518518518519,0.4097903792560282,0.3488145428169908,0.507020757020757
1,synthetic,0.7464299498263219,0.48312873171852005,0.4315705973012838,0.5571246602295086
1,mixed_predicted,0.7398654790038175,0.47121765437806823,0.4101951453979206,0.5961509021088996
1,mixed_as_q,0.7318426636200425,0.4735135652996581,0.41984705670546146,0.5514315157308424
2,forum,0.6592592592592592,0.40372320343195217,0.34897119341563787,0.47964997964997963
2,synthetic,0.7502894635275955,0.48710173293019904,0.43621150016954463,0.5568671233586447
2,mixed_predicted,0.7473186693328485,0.47704341085662444,0.4149182085558867,0.5939976964568839
2,mixed_as_q,0.7362493879549535,0.4769925469300324,0.4246731369220609,0.5484686795284469
3,forum,0.6529100529100529,0.3941947565543071,0.3413058508339815,0.46702698173286405
3,synthetic,0.7435353145503667,0.48220428391856324,0.4305970225863604,0.5564291337637409
3,mixed_predicted,0.7389565533539356,0.47042163530610975,0.4094158916196528,0.5911056502263551
3,mixed_as_q,0.7295576954463848,0.4718071486571098,0.4189245487884667,0.5467897742250248
4,forum,0.6486772486772486,0.40468422437196083,0.34457875241360286,0.502268428739017
4,synthetic,0.7419915090698572,0.4798829810405647,0.428468420801724,0.5546126016152287
4,mixed_predicted,0.7395019087438648,0.4714839106667131,0.4104074107425973,0.5985468194144241
4,mixed_as_q,0.7275991512975355,0.47003379506573495,0.4165747454281683,0.5487113491905041
5,forum,0.6550264550264551,0.38929185819137974,0.3349486490844691,0.46811630635160045
5,synthetic,0.748166730991895,0.4834151948816074,0.43274307163220316,0.553702882315254
5,mixed_predicted,0.7438647518632976,0.47165300310852726,0.41084067941549773,0.5898128703857065
5,mixed_as_q,0.7338012077688918,0.47183911056257327,0.4197125216759459,0.5443872773491446
6,forum,0.6412698412698413,0.3955701263393572,0.3376290925071413,0.5015741339270751
6,synthetic,0.7421844847549208,0.48144452944424004,0.42947962254872163,0.5579056110940516
6,mixed_predicted,0.7342301399745501,0.46460116894028675,0.4056491622220401,0.5929968741124851
6,mixed_as_q,0.7266198792231108,0.469710286365157,0.41579805926396834,0.5514330522225689
7,forum,0.6338624338624339,0.38716866961141766,0.33086268643184186,0.47593310828604946
7,synthetic,0.7446931686607487,0.48167628614489755,0.4303457975622546,0.5552143634302699
7,mixed_predicted,0.7373204871841483,0.46801911538753643,0.4077619810755932,0.5913654908686431
7,mixed_as_q,0.7275991512975355,0.4693618070321408,0.4163580405525007,0.5461500174823949
8,forum,0.6391534391534391,0.39121715835894744,0.33398692810457514,0.48489310254016144
8,synthetic,0.7398687765341567,0.479388409477286,0.42728337842734954,0.5585577935231626
8,mixed_predicted,0.7291401563352118,0.4610521005873654,0.40289771020518633,0.5906116624249479
8,mixed_as_q,0.7243349110494532,0.4679865136220016,0.4141919425175858,0.5503131418154015
9,forum,0.6296296296296297,0.3913184645367691,0.33457582061950997,0.5049378725849314
9,synthetic,0.7502894635275955,0.48553924378001545,0.4334969064146163,0.5611327831294394
9,mixed_predicted,0.7389565533539356,0.46760948905109484,0.4083156314918013,0.5972647451917629
9,mixed_as_q,0.7316794516076384,0.4720654721217407,0.417976151494487,0.5542330203019533
