,,accuracy,f1,precision,recall
0,forum,0.837037037037037,0.7652648532503313,0.7981841859550838,0.7405728555461176
0,synthetic,0.8054805094558085,0.7218888077798947,0.7601011156887978,0.7087673546689143
0,mixed_predicted,0.9662921348314607,0.9486186054858267,0.9578887195685689,0.9397930419361241
0,mixed_as_q,0.8103476415864208,0.7289865136433015,0.7669606495222735,0.7112269099791502
1,forum,0.834920634920635,0.762660298609619,0.8143858143858145,0.7286756618307422
1,synthetic,0.8056734851408722,0.7209720693601893,0.7602675232630363,0.7070837610818099
1,mixed_predicted,0.9623595505617978,0.9434028395068333,0.9582889657792651,0.9297419295575936
1,mixed_as_q,0.8101844295740166,0.7275179339039709,0.7694219053886625,0.7086969719702032
2,forum,0.8412698412698413,0.7669999334740472,0.8117170253892304,0.7358947251995381
2,synthetic,0.807024314936318,0.7242754360350642,0.7623056330509407,0.7123463037102106
2,mixed_predicted,0.9668539325842697,0.9489163185929032,0.960166520678779,0.9383732295993393
2,mixed_as_q,0.8123061857352701,0.7312020972381067,0.7709471037829064,0.7140314332554737
3,forum,0.8296296296296296,0.7521716399858279,0.7844501631119948,0.7280252921964152
3,synthetic,0.806445387881127,0.7226433422568,0.733765818314113,0.712893365552322
3,mixed_predicted,0.9617977528089887,0.9418089762963975,0.9520037001341647,0.9321614816844344
3,mixed_as_q,0.8100212175616125,0.726238771366177,0.7405552546554813,0.7138924392077133
4,forum,0.8433862433862434,0.7720561652046576,0.8062587623456065,0.7463390738791809
4,synthetic,0.8016209957545349,0.7179115873213902,0.7508164231708302,0.7074578280214774
4,mixed_predicted,0.9646067415730337,0.9456145625288116,0.954463581049259,0.9371702730974253
4,mixed_as_q,0.8080626734127632,0.7264532339230092,0.760350942739625,0.7111858839799523
5,forum,0.8433862433862434,0.7648458295055708,0.7865726227795194,0.7492447639506463
5,synthetic,0.8068313392512544,0.7248921945077837,0.7593811726884822,0.7143853689448812
5,mixed_predicted,0.9655430711610486,0.9456646699935517,0.9518548272462573,0.9397253030321715
5,mixed_as_q,0.8124693977476742,0.7316626940860821,0.763790503859894,0.7167701504282601
6,forum,0.8402116402116402,0.7634045388437167,0.8184665183669013,0.7272352325828262
6,synthetic,0.802778849864917,0.7188634736352579,0.7551002824123237,0.7059751158495051
6,mixed_predicted,0.9659176029962547,0.9485588279514551,0.9623856860967739,0.9356829581557733
6,mixed_as_q,0.8085523094499755,0.7261306124954356,0.7654069830810842,0.7074374913308777
7,forum,0.837037037037037,0.7524743320969737,0.8058778879237857,0.7200025167939607
7,synthetic,0.8087610961018912,0.7270426113175626,0.7660932854935519,0.714046305789919
7,mixed_predicted,0.9649812734082397,0.9446596317940275,0.9580520271797113,0.9324228174357044
7,mixed_as_q,0.8131222457972906,0.7321561951823498,0.773862528508085,0.7146541758573819
8,forum,0.8433862433862434,0.7695609684240643,0.7957266827098374,0.748837318356035
8,synthetic,0.8025858741798534,0.7203801761049519,0.7549221576671125,0.7102697758800384
8,mixed_predicted,0.9662921348314607,0.9477468229916459,0.9546729077479045,0.9410728991575609
8,mixed_as_q,0.8088787334747838,0.7286380339346099,0.7624551024171343,0.71426556870805
9,forum,0.8412698412698413,0.7723099172282223,0.7893831866299319,0.7579357659571563
9,synthetic,0.8049015824006175,0.7243123200217515,0.756060502718123,0.714028430149758
9,mixed_predicted,0.9657303370786516,0.9473757882884444,0.952495780081987,0.9423961275459717
9,mixed_as_q,0.8105108535988249,0.7323841908393879,0.7624961493919895,0.7186917253937395
