,,accuracy,f1,precision,recall
0,forum,0.7841269841269841,0.703860219957552,0.7234091329266038,0.6936021494845024
0,synthetic,0.7722886916248553,0.6999131399528052,0.7106689350076306,0.7172805544027203
0,mixed_predicted,0.8896564261043447,0.8471911478880304,0.8269273869612818,0.8756830504873238
0,mixed_as_q,0.7741145748327077,0.701446992774626,0.7139657661604669,0.7123243157928232
1,forum,0.7724867724867724,0.6637089335372545,0.6980632881606038,0.6409948241499044
1,synthetic,0.7873407950598225,0.699847135228068,0.7039426540747621,0.6970595278736296
1,mixed_predicted,0.8969278313033994,0.8358283414823067,0.8443974025114377,0.8281284500358677
1,mixed_as_q,0.7850497796637833,0.6937661901860258,0.7030426599015431,0.6859162775929332
2,forum,0.7851851851851852,0.6883084128152087,0.7396389156755597,0.6566910016107878
2,synthetic,0.789463527595523,0.7065662556461839,0.7394709903769718,0.6987218231902141
2,mixed_predicted,0.9011088892928558,0.8526581119460784,0.8604181001046501,0.8456335035744801
2,mixed_as_q,0.7888036559490779,0.704831116113603,0.7408469465524301,0.6904638380012641
3,forum,0.7746031746031746,0.6899632400970349,0.7063221662255152,0.6766164119105295
3,synthetic,0.7738324971053647,0.7015312733965732,0.7017368977698814,0.7149712512971673
3,mixed_predicted,0.8820214506453372,0.8288225387710934,0.8041803774679277,0.8594476219780242
3,mixed_as_q,0.7739513628203035,0.7005300597196813,0.7035073808063972,0.7071764881493335
4,forum,0.7756613756613756,0.6830049013345141,0.692189859379346,0.6748754810252137
4,synthetic,0.7495175607873408,0.6778342039693944,0.660965030034541,0.7061255616578185
4,mixed_predicted,0.8811125249954553,0.822856835988285,0.7996673485558362,0.85255531915859
4,mixed_as_q,0.7535498612697895,0.6777361986743359,0.6628519807089466,0.7011510899160428
5,forum,0.7714285714285715,0.6552361441536699,0.7014631025219805,0.6323710454726498
5,synthetic,0.7653415669625627,0.6804692386262636,0.6755586781734411,0.6907737237170957
5,mixed_predicted,0.8958371205235411,0.8402863162321239,0.8476973264332344,0.8338874545331222
5,mixed_as_q,0.7662803982373103,0.678644397843612,0.6790209659325681,0.6828631558006076
6,forum,0.7714285714285715,0.6784437582985677,0.6912519520165056,0.6677003428340327
6,synthetic,0.7776920108066384,0.6920096320067873,0.7153716652459243,0.6932477093168176
6,mixed_predicted,0.893292128703872,0.8393247263345726,0.8341113227967312,0.8452833070416959
6,mixed_as_q,0.7767259670311735,0.6903005927404231,0.7123459373286094,0.6859993441768983
7,forum,0.7883597883597884,0.6930488971955663,0.7447977663948625,0.6624887293336492
7,synthetic,0.7749903512157468,0.6745200778764141,0.6859748238139579,0.6693022312615646
7,mixed_predicted,0.8920196327940374,0.8234342968972026,0.8508918080156777,0.8056053851242062
7,mixed_as_q,0.7770523910559817,0.6753981238605163,0.6917711100182758,0.6658144774170976
8,forum,0.7957671957671958,0.6952620720962983,0.7480960990576375,0.6646180122115951
8,synthetic,0.7605171748359707,0.6914693864464899,0.6803713601362804,0.7114124996302681
8,mixed_predicted,0.863115797127795,0.7999219217442483,0.7814636223015419,0.8397246235405221
8,mixed_as_q,0.765953974212502,0.6907850435716208,0.6856208374424911,0.7026782958882157
9,forum,0.783068783068783,0.6763134603535348,0.7597464147056904,0.6356335781469472
9,synthetic,0.8135854882284832,0.7137652084223403,0.7941142359664628,0.6784520745113055
9,mixed_predicted,0.9080167242319578,0.8569093147596019,0.8991680103186868,0.8250274528974159
9,mixed_as_q,0.8088787334747838,0.7076361245102366,0.7898332131822183,0.6701788362385365
