,,accuracy,f1,precision,recall
0,forum,0.7481481481481481,0.48922241909270014,0.47745056373590655,0.5058247357712599
0,synthetic,0.7622539560015438,0.5078563342139564,0.49503020853634766,0.5287849531574055
0,mixed_predicted,0.8273041265224504,0.553868268444325,0.5441600554772585,0.5679423847605564
0,mixed_as_q,0.760078341765954,0.5040832523233685,0.4910220471247822,0.5246528991079117
1,forum,0.744973544973545,0.48290455134217697,0.48074504374892557,0.4950305190946902
1,synthetic,0.7624469316866075,0.5079160969115852,0.5001344751118643,0.525767002789101
1,mixed_predicted,0.8243955644428286,0.5501453417570449,0.5480067607906073,0.5591975449869119
1,mixed_as_q,0.7597519177411457,0.5029186098091464,0.49621156012801687,0.5197458205118214
2,forum,0.7470899470899471,0.48873909387154413,0.48115919508973654,0.5027818289850375
2,synthetic,0.7371671169432652,0.48581733993541193,0.45587694534067186,0.5205559131326134
2,mixed_predicted,0.8262134157425922,0.5533448514387102,0.5473103597838757,0.5648118977016187
2,mixed_as_q,0.7386975681410152,0.4863149805923765,0.4604181467573328,0.5165472831383782
3,forum,0.7492063492063492,0.4910525346129939,0.6018558179643113,0.49616376889104163
3,synthetic,0.760324199150907,0.5053226275292303,0.49635152549748124,0.5238869420804627
3,mixed_predicted,0.8240319941828759,0.550900223050465,0.6598583795493428,0.5585879323577545
3,mixed_as_q,0.758609433654317,0.501908153199408,0.6064926978256192,0.5177798167189999
4,forum,0.7587301587301587,0.5157764655002927,0.6922882206019968,0.5172953902900427
4,synthetic,0.7620609803164802,0.511688353092753,0.8320009425080098,0.5276397149090272
4,mixed_predicted,0.8262134157425922,0.560971487220586,0.8150683027819557,0.5658223416033666
4,mixed_as_q,0.761547249877591,0.5110011499725683,0.7638176112713175,0.5249132968783135
5,forum,0.7513227513227513,0.5005284354684275,0.6459783331090806,0.5147408048477567
5,synthetic,0.7610961018911617,0.5065353398697839,0.4951900200998174,0.5265250661517556
5,mixed_predicted,0.8263952008725686,0.5540208198572569,0.7106602325071288,0.5668390891664192
5,mixed_as_q,0.7595887057287416,0.5046333424025785,0.6578107367800673,0.5245173078882955
6,forum,0.7407407407407407,0.4824306414803816,0.4760614272809394,0.4961828624930229
6,synthetic,0.7607101505210343,0.5060683493255458,0.49851255202445754,0.5237915881983679
6,mixed_predicted,0.8238502090528995,0.5506527910268186,0.5473847655240164,0.5603707340111374
6,mixed_as_q,0.7576301615798923,0.5013889303343085,0.49375094815133624,0.5187059037051659
7,forum,0.7470899470899471,0.483122413366661,0.4878068521586776,0.4927888510776211
7,synthetic,0.7387109224237746,0.48563604499198026,0.45809955504311534,0.5179114321358474
7,mixed_predicted,0.8249409198327576,0.5498248515735273,0.5511887929549849,0.556833733113254
7,mixed_as_q,0.7400032642402481,0.4851194045659086,0.46307323867618866,0.5120085867842197
8,forum,0.746031746031746,0.49287437507319076,0.8145452047448417,0.5020245153934993
8,synthetic,0.7624469316866075,0.5123781112484515,0.8306910554715113,0.5295245433117701
8,mixed_predicted,0.8269405562624977,0.5604812103069127,0.8815741623314232,0.5677559405713407
8,mixed_as_q,0.7599151297535499,0.5082871843071617,0.8274320982326132,0.5241203585909483
9,forum,0.7428571428571429,0.5219876532376533,0.58805262211624,0.5168149833925234
9,synthetic,0.7630258587417985,0.5105177538218979,0.6670735095657697,0.5286668338572335
9,mixed_predicted,0.8251227049627341,0.5604611777819243,0.6596596524066861,0.5662267143187149
9,mixed_as_q,0.7599151297535499,0.5103118804199568,0.6076321252010645,0.5248720788176499
