,,accuracy,f1,precision,recall
0,GLoHBCD,0.8317460317460318,0.7560668196525407,0.7671618045629985,0.7461770255887904
0,Instagram Data,0.6776315789473685,0.6402942671270009,0.676096915531135,0.6267999302285017
0,Smoke Stop Forum,0.7891654465592972,0.7012956364854362,0.7295943892239873,0.680818448093729
0,Synthetic GPT3 Data,0.8378378378378378,0.7911466811358293,0.7383040935672515,0.906457739791073
0,Health Coach Dialogue Corpus,0.7460629921259843,0.7479931711521522,0.7681894797711663,0.7481182216476334
0,DARN-CT-based Wizard of Oz Dialogues,0.8,0.8119469165895105,0.8137973137973139,0.8215488215488215
0,Optifast Mock-Chatbot,0.7111111111111111,0.597699214365881,0.5929222566219471,0.6220043572984749
1,GLoHBCD,0.837037037037037,0.7686295963424641,0.7974969938611481,0.7466147439409472
1,Instagram Data,0.6721491228070176,0.631813368712319,0.6791223417651384,0.6155988138845282
1,Smoke Stop Forum,0.7994143484626647,0.7196819713204148,0.7468973332100051,0.7015947613559973
1,Synthetic GPT3 Data,0.8783783783783784,0.8283535636476813,0.7829545454545453,0.9055080721747388
1,Health Coach Dialogue Corpus,0.734251968503937,0.7368143023860744,0.761283472004139,0.7366120807297278
1,DARN-CT-based Wizard of Oz Dialogues,0.775,0.7843676791045212,0.7742547425474254,0.8223905723905723
1,Optifast Mock-Chatbot,0.7333333333333333,0.5975321234788274,0.5950504413619168,0.6045440398381575
2,GLoHBCD,0.8275132275132275,0.7495479420418455,0.7680606445056696,0.7342180497260711
2,Instagram Data,0.6885964912280702,0.6565407786001763,0.697537904288716,0.6422061747776034
2,Smoke Stop Forum,0.780380673499268,0.6884750478298662,0.705317075440483,0.6754681647940076
2,Synthetic GPT3 Data,0.8648648648648649,0.8103703703703703,0.7611408199643493,0.899335232668566
2,Health Coach Dialogue Corpus,0.7283464566929134,0.7290000042121934,0.7490887243808141,0.7294153558859441
2,DARN-CT-based Wizard of Oz Dialogues,0.7375,0.773391812865497,0.7622981956315288,0.7946127946127945
2,Optifast Mock-Chatbot,0.7111111111111111,0.599384216496516,0.588798737885959,0.6220043572984749
3,GLoHBCD,0.8232804232804233,0.7555833245876992,0.7699888182835467,0.7434673664620188
3,Instagram Data,0.6776315789473685,0.6524219361742375,0.6829699246941251,0.6393790336647479
3,Smoke Stop Forum,0.7964860907759883,0.7161198578236396,0.7346423271401958,0.7022868049553442
3,Synthetic GPT3 Data,0.8648648648648649,0.8275401069518716,0.7771929824561403,0.9188034188034188
3,Health Coach Dialogue Corpus,0.7303149606299213,0.7319833361511475,0.7551797071659442,0.7312468577174459
3,DARN-CT-based Wizard of Oz Dialogues,0.775,0.7928377583360219,0.7980878552971576,0.8021885521885522
3,Optifast Mock-Chatbot,0.7777777777777778,0.6970441515896061,0.6764367816091954,0.7247432306255835
4,GLoHBCD,0.8486772486772487,0.7851705790586069,0.7939797096923243,0.777552760173081
4,Instagram Data,0.6798245614035088,0.6384146057983228,0.6644640519644519,0.6264015349729636
4,Smoke Stop Forum,0.7657393850658858,0.6914452071929534,0.6929710322567466,0.6904584413713627
4,Synthetic GPT3 Data,0.8378378378378378,0.781492902763822,0.7314814814814815,0.8869895536562202
4,Health Coach Dialogue Corpus,0.7401574803149606,0.7420387814079282,0.7548913232481308,0.741848021259786
4,DARN-CT-based Wizard of Oz Dialogues,0.75,0.7748475475033141,0.7555363245018417,0.8047138047138046
4,Optifast Mock-Chatbot,0.7333333333333333,0.6300653594771243,0.6133040935672515,0.6612200435729848
5,GLoHBCD,0.8338624338624339,0.7541673161949524,0.7751017816456879,0.7374860235822803
5,Instagram Data,0.6798245614035088,0.6416819866678624,0.6692994984134225,0.6300931449502879
5,Smoke Stop Forum,0.7789165446559297,0.6977850518276051,0.7144115144115144,0.6857707913185441
5,Synthetic GPT3 Data,0.8378378378378378,0.7911466811358293,0.7383040935672515,0.906457739791073
5,Health Coach Dialogue Corpus,0.7303149606299213,0.7329923273387018,0.7546228907218718,0.731293543058249
5,DARN-CT-based Wizard of Oz Dialogues,0.775,0.7937793636633957,0.781135531135531,0.8232323232323232
5,Optifast Mock-Chatbot,0.7,0.62549280915098,0.6042510121457491,0.6871148459383752
6,GLoHBCD,0.8232804232804233,0.7511751399432559,0.7684690037631214,0.7370358894423066
6,Instagram Data,0.6864035087719298,0.6358972548822207,0.6924462307757503,0.6190873888016745
6,Smoke Stop Forum,0.7906295754026355,0.7038989411082435,0.7387486788564609,0.685671156246999
6,Synthetic GPT3 Data,0.8513513513513513,0.7930887825624668,0.7434640522875817,0.8931623931623932
6,Health Coach Dialogue Corpus,0.7440944881889764,0.7449607819049145,0.7574040586698815,0.7466027436615672
6,DARN-CT-based Wizard of Oz Dialogues,0.7625,0.7729710584901842,0.7529761904761904,0.8156565656565657
6,Optifast Mock-Chatbot,0.7,0.6256770959657207,0.6062869592281357,0.7008403361344538
7,GLoHBCD,0.8253968253968254,0.7483746806041999,0.7654745370370369,0.7339614732662861
7,Instagram Data,0.6907894736842105,0.6531610186425182,0.6935146134590543,0.6374665968951684
7,Smoke Stop Forum,0.7745241581259151,0.6894590592189553,0.7201556010695795,0.6698033707865169
7,Synthetic GPT3 Data,0.8378378378378378,0.7972161477316116,0.7454545454545455,0.906457739791073
7,Health Coach Dialogue Corpus,0.7440944881889764,0.745648983812471,0.7706378765306493,0.7470265029088559
7,DARN-CT-based Wizard of Oz Dialogues,0.775,0.7773740954068823,0.763157894736842,0.8030303030303031
7,Optifast Mock-Chatbot,0.7,0.5884427845212158,0.5798319327731093,0.6167133520074697
8,GLoHBCD,0.8306878306878307,0.7616337554027064,0.7817976023747235,0.7452070607150821
8,Instagram Data,0.694078947368421,0.6545058491455554,0.6918858411311825,0.6400648874934589
8,Smoke Stop Forum,0.7818448023426061,0.689248252451718,0.7135858250113939,0.673171156246999
8,Synthetic GPT3 Data,0.8243243243243243,0.7797049441786285,0.7277777777777779,0.9002849002849004
8,Health Coach Dialogue Corpus,0.75,0.7511270786088248,0.7579733692353123,0.7517560870502047
8,DARN-CT-based Wizard of Oz Dialogues,0.7625,0.7781962030783051,0.7586014586014586,0.8148148148148148
8,Optifast Mock-Chatbot,0.7666666666666667,0.6811729966398534,0.6642039692887151,0.7051353874883287
9,GLoHBCD,0.8402116402116402,0.7766613544284574,0.7844350626118067,0.7694570234677186
9,Instagram Data,0.6776315789473685,0.6370990406249235,0.6756990678393521,0.622766439909297
9,Smoke Stop Forum,0.7847730600292826,0.7075077675292736,0.7260268506823362,0.693147387880534
9,Synthetic GPT3 Data,0.8243243243243243,0.7641325536062378,0.7164488017429194,0.8613485280151947
9,Health Coach Dialogue Corpus,0.7539370078740157,0.7552727850703489,0.7724138654100567,0.7538353803059685
