,,accuracy,f1,precision,recall
0,GLoHBCD,0.8380952380952381,0.7654896137241188,0.7999329890733976,0.7398773241019231
0,Instagram Data,0.694078947368421,0.654635908449917,0.7011534609136697,0.6374100819815106
0,Smoke Stop Forum,0.7554904831625183,0.6487429057623443,0.6834334334334334,0.6269104724863153
0,Synthetic GPT3 Data,0.918918918918919,0.9097035040431267,0.8982905982905983,0.9240265906932574
0,Health Coach Dialogue Corpus,0.7125984251968503,0.712490551776266,0.7639790764790765,0.7153989801048626
0,DARN-CT-based Wizard of Oz Dialogues,0.825,0.8447832644763592,0.8837868480725625,0.8585858585858586
0,Optifast Mock-Chatbot,0.7222222222222222,0.5884444444444444,0.5958092087124346,0.598661686896981
1,GLoHBCD,0.8317460317460318,0.7454445483282622,0.7893064055838263,0.7162338058059983
1,Instagram Data,0.6918859649122807,0.6499311988731784,0.6860889757822273,0.6367374847374847
1,Smoke Stop Forum,0.7686676427525623,0.6649232645527824,0.6985942525158211,0.6438478344377221
1,Synthetic GPT3 Data,0.9054054054054054,0.8676739926739927,0.8303703703703703,0.9178537511870846
1,Health Coach Dialogue Corpus,0.7244094488188977,0.7227604963454021,0.7670468822976075,0.7265172735760972
1,DARN-CT-based Wizard of Oz Dialogues,0.8,0.8023529411764706,0.8401360544217686,0.8383838383838383
1,Optifast Mock-Chatbot,0.7444444444444445,0.620420866489832,0.632168458781362,0.6372860255213196
2,GLoHBCD,0.8465608465608465,0.7792944071526634,0.8201995524413156,0.7496385571251881
2,Instagram Data,0.6798245614035088,0.625773384614881,0.6784096719994155,0.6117599860457004
2,Smoke Stop Forum,0.7774524158125915,0.6831070855295721,0.7141569752510248,0.6615840775953136
2,Synthetic GPT3 Data,0.9054054054054054,0.8560405643738976,0.8241518829754124,0.8983855650522318
2,Health Coach Dialogue Corpus,0.6988188976377953,0.6949904866161023,0.7435618492704453,0.7017919988508224
2,DARN-CT-based Wizard of Oz Dialogues,0.7625,0.7534643487024439,0.7847222222222222,0.8089225589225589
2,Optifast Mock-Chatbot,0.7444444444444445,0.6397671957671958,0.6699442240239204,0.6516028633675691
3,GLoHBCD,0.834920634920635,0.762875775545424,0.8001373626373626,0.7355324414147945
3,Instagram Data,0.6798245614035088,0.6322654732610808,0.6878898878898879,0.6171037851037852
3,Smoke Stop Forum,0.7701317715959004,0.6673674092500144,0.7025987574598486,0.6436401613367906
3,Synthetic GPT3 Data,0.9054054054054054,0.8560405643738976,0.8241518829754124,0.8983855650522318
3,Health Coach Dialogue Corpus,0.6850393700787402,0.6822831930162643,0.7489862911096861,0.6869640163757812
3,DARN-CT-based Wizard of Oz Dialogues,0.7625,0.7492562659971532,0.8024999999999999,0.8080808080808081
3,Optifast Mock-Chatbot,0.7444444444444445,0.599052540913006,0.6206349206349207,0.6086523498288204
4,GLoHBCD,0.837037037037037,0.7637708659901548,0.8121400068495994,0.7314304827673812
4,Instagram Data,0.6885964912280702,0.6444987991404374,0.705087624506136,0.6259696493982209
4,Smoke Stop Forum,0.7701317715959004,0.681889816849026,0.7148279886186187,0.659072193412081
4,Synthetic GPT3 Data,0.918918918918919,0.880731922398589,0.8479614067849361,0.9240265906932574
4,Health Coach Dialogue Corpus,0.7303149606299213,0.728957227032134,0.7656561632258843,0.7317065287653524
4,DARN-CT-based Wizard of Oz Dialogues,0.775,0.7731623931623931,0.8012254901960784,0.8190235690235691
4,Optifast Mock-Chatbot,0.7777777777777778,0.6746031746031745,0.6849816849816849,0.6817927170868346
5,GLoHBCD,0.834920634920635,0.7597310159126364,0.7863170163170162,0.7388634340505998
5,Instagram Data,0.6864035087719298,0.6447069175323101,0.6713410464242872,0.6339110413396128
5,Smoke Stop Forum,0.7730600292825769,0.6851384998443821,0.7109009155677528,0.6659073994045904
5,Synthetic GPT3 Data,0.918918918918919,0.880731922398589,0.8479614067849361,0.9240265906932574
5,Health Coach Dialogue Corpus,0.6968503937007874,0.6942650431062756,0.7444231392160642,0.6990914314443727
5,DARN-CT-based Wizard of Oz Dialogues,0.8,0.8023529411764706,0.8401360544217686,0.8383838383838383
5,Optifast Mock-Chatbot,0.7333333333333333,0.6364259553048554,0.6382281726249822,0.6606286959228136
6,GLoHBCD,0.8412698412698413,0.758715672810199,0.7864553201989953,0.7379855240817808
