,,accuracy,f1,precision,recall
0,forum,0.7608465608465609,0.6681884042573176,0.6889043010650435,0.6531113469616144
0,synthetic,0.8699343882670784,0.8113229022058467,0.8454883920835073,0.7859608843040208
0,mixed_predicted,0.8747500454462825,0.8201675189645576,0.8128478547515675,0.8286719230989906
0,mixed_as_q,0.8531091888362984,0.7889837502736657,0.820728581366847,0.7655315295429844
1,forum,0.7566137566137566,0.6518844548774126,0.7136736417846244,0.6207768266591795
1,synthetic,0.8699343882670784,0.8108590456043742,0.8455259365259343,0.7863814737430813
1,mixed_predicted,0.8776586075259044,0.824964736047998,0.821782028290787,0.8283841011427698
1,mixed_as_q,0.8524563407866819,0.7874122509491671,0.8258548688405916,0.7610353956797501
2,forum,0.7386243386243386,0.6501480382796873,0.6752432550246757,0.6362695039165628
2,synthetic,0.8720571208027789,0.8127179758311707,0.8532227610907371,0.7845691117205448
2,mixed_predicted,0.8765678967460462,0.8245296235572416,0.8180225016509913,0.8313917722010489
2,mixed_as_q,0.8514770687122573,0.7863861864796405,0.8225761808601418,0.7619684803836707
3,forum,0.762962962962963,0.6552005727453744,0.6930125610574484,0.6319469795405624
3,synthetic,0.8658818988807411,0.8051406858690052,0.8403519231181639,0.7788348115433971
3,mixed_predicted,0.8743864751863297,0.8161923025615846,0.8121897755598457,0.8212998681167992
3,mixed_as_q,0.8500081606006202,0.7829252953540787,0.8184876840146922,0.7568980117584121
4,forum,0.7513227513227513,0.6598231561035205,0.6997161588018964,0.6371888657984914
4,synthetic,0.8668467773060594,0.805217159066264,0.8439618802310104,0.7779319246532129
4,mixed_predicted,0.8783857480458098,0.826940373181105,0.8238109039836155,0.8302646194109128
4,mixed_as_q,0.8490288885261955,0.7825098840713478,0.820367171631335,0.7565714237615415
5,forum,0.7513227513227513,0.6384146510303613,0.6839754575267111,0.6216150160000428
5,synthetic,0.8720571208027789,0.8134920024035962,0.8416615110684021,0.7927300182695212
5,mixed_predicted,0.8752954008362116,0.8192168389053514,0.8095920319275995,0.8296369902813726
5,mixed_as_q,0.8534356128611066,0.7887942759473413,0.8174077863914645,0.7692763273024488
6,forum,0.7523809523809524,0.6422503370555755,0.6711897622715005,0.6252601626933177
6,synthetic,0.8685835584716326,0.8101707746388392,0.8399034122972998,0.7868865366122817
6,mixed_predicted,0.8692964915469914,0.8096276734863391,0.8005322700896604,0.8205815284184673
6,mixed_as_q,0.8506610086502366,0.7852413765600538,0.8137036965142374,0.7635519144375856
7,forum,0.7544973544973544,0.6561395787133434,0.7078189300411523,0.6292551773835197
7,synthetic,0.8681976071015052,0.8069640939811782,0.8475860426647787,0.7795746330144567
7,mixed_predicted,0.8762043264860935,0.821226180416244,0.8208365469156274,0.8216175346718019
7,mixed_as_q,0.8506610086502366,0.7837877411591979,0.8254440721223005,0.7565222476757943
8,forum,0.7587301587301587,0.6703941635397669,0.7180648835473863,0.6495416348357524
8,synthetic,0.8703203396372057,0.8127911682852599,0.8412439274162327,0.7927273152911024
8,mixed_predicted,0.8774768223959281,0.8277757282572722,0.8171857654578324,0.8392735820740403
8,mixed_as_q,0.8531091888362984,0.7908901803102951,0.8197708044474629,0.771907444126637
9,forum,0.7566137566137566,0.6462299666935487,0.6821245273675686,0.6268187150540091
9,synthetic,0.8708992666923968,0.8115778784376593,0.8484604369495276,0.7850804094314071
9,mixed_predicted,0.8763861116160698,0.8196642123924206,0.8154699098960879,0.8241579840503865
9,mixed_as_q,0.8532724008487025,0.7871967665013854,0.8232737107245408,0.7620896920448462
