,,accuracy,f1,precision,recall
0,GLoHBCD,0.8211640211640212,0.7477844340218249,0.7695452192734802,0.7301173277109106
0,Instagram Data,0.6622807017543859,0.6122472128339703,0.6270027303827932,0.6064252572824002
0,Smoke Stop Forum,0.7408491947291361,0.6304585709649001,0.6467190515577612,0.6185639345049457
0,Synthetic GPT3 Data,0.8918918918918919,0.8299106559976125,0.8564745196324144,0.8118301451634785
0,Health Coach Dialogue Corpus,0.6732283464566929,0.6718565392475143,0.7050730974973399,0.6765603677368383
0,DARN-CT-based Wizard of Oz Dialogues,0.7375,0.7521250033203177,0.8117008777386135,0.7887205387205388
0,Optifast Mock-Chatbot,0.7444444444444445,0.60431293454858,0.6570722306016424,0.594926859632742
1,GLoHBCD,0.8158730158730159,0.7319306626513433,0.763961108392059,0.7097293674833782
1,Instagram Data,0.6765350877192983,0.6158138620478181,0.661847648454088,0.603886272457701
1,Smoke Stop Forum,0.7540263543191801,0.6538353949861336,0.6965236789765092,0.6296858494189955
1,Synthetic GPT3 Data,0.9054054054054054,0.8581466842336406,0.8678571428571429,0.8594491927825261
1,Health Coach Dialogue Corpus,0.6968503937007874,0.6976350745200498,0.7132356532356532,0.6997701644760469
1,DARN-CT-based Wizard of Oz Dialogues,0.6875,0.7027879527879527,0.765889665889666,0.7491582491582491
1,Optifast Mock-Chatbot,0.7222222222222222,0.6024896887889014,0.673611111111111,0.6123871770930593
2,GLoHBCD,0.8137566137566138,0.733950407683203,0.7578185939637881,0.7150715198843541
2,Instagram Data,0.6699561403508771,0.6322417128131486,0.6406661740543392,0.6280865166579452
2,Smoke Stop Forum,0.7510980966325037,0.6628998259626692,0.6784330405960701,0.6516253721309901
2,Synthetic GPT3 Data,0.8918918918918919,0.8376623376623377,0.8808611567232257,0.8118301451634785
2,Health Coach Dialogue Corpus,0.6948818897637795,0.6949669147670465,0.7179531391395798,0.6975400416576886
2,DARN-CT-based Wizard of Oz Dialogues,0.7,0.7215488215488216,0.7795735129068463,0.7390572390572391
2,Optifast Mock-Chatbot,0.7444444444444445,0.6144929649340235,0.6338383838383838,0.6092436974789917
3,GLoHBCD,0.8285714285714286,0.7604313173933427,0.7849106999179849,0.7412120460248802
3,Instagram Data,0.6864035087719298,0.6438324433716139,0.6666915237385037,0.6329426129426129
3,Smoke Stop Forum,0.7496339677891655,0.6567630998468003,0.6668155736730249,0.6481069336406415
3,Synthetic GPT3 Data,0.918918918918919,0.8791539245667686,0.8795454545454545,0.8850902184235517
3,Health Coach Dialogue Corpus,0.6673228346456693,0.6682309452299645,0.697403164563362,0.6690691661279896
3,DARN-CT-based Wizard of Oz Dialogues,0.725,0.7491638795986623,0.8253690753690753,0.7786195286195287
3,Optifast Mock-Chatbot,0.7111111111111111,0.59345252783573,0.6364583333333333,0.5933706816059757
4,GLoHBCD,0.8084656084656084,0.7189809010583699,0.7346057202091245,0.7061115256302423
4,Instagram Data,0.6754385964912281,0.6279261636141272,0.6574048275366734,0.6180603523460666
4,Smoke Stop Forum,0.7554904831625183,0.6469508317665162,0.6908243864218707,0.6202391241717085
4,Synthetic GPT3 Data,0.9054054054054054,0.87752970361666,0.904093567251462,0.8594491927825261
4,Health Coach Dialogue Corpus,0.6889763779527559,0.690537833071395,0.7170031416727083,0.6902607196724845
4,DARN-CT-based Wizard of Oz Dialogues,0.6875,0.6890499194847021,0.748338081671415,0.7289562289562289
4,Optifast Mock-Chatbot,0.7444444444444445,0.6020512820512821,0.6569651741293533,0.6086523498288204
5,GLoHBCD,0.816931216931217,0.7416452698847427,0.7782870576367932,0.715252661776726
5,Instagram Data,0.6600877192982456,0.6031811724372749,0.643397299572648,0.592068376068376
5,Smoke Stop Forum,0.746705710102489,0.6316422653875213,0.6732899943470888,0.6078399596658023
5,Synthetic GPT3 Data,0.9054054054054054,0.8852599388379204,0.8924242424242425,0.8789173789173789
5,Health Coach Dialogue Corpus,0.6850393700787402,0.6843246690392256,0.7002647722026917,0.6874308697838108
5,DARN-CT-based Wizard of Oz Dialogues,0.675,0.7067432173815152,0.8065134099616859,0.7188552188552189
5,Optifast Mock-Chatbot,0.7222222222222222,0.5897992446829655,0.6843434343434343,0.570619358854653
6,GLoHBCD,0.8,0.7120016891573443,0.7392677532224324,0.6913538036532688
