,,accuracy,f1,precision,recall
0,forum,0.7534391534391535,0.6199772058023703,0.7315632582783218,0.5792066420408666
0,synthetic,0.9152112676056338,0.8748402046386462,0.8810247788784608,0.8706864564007422
0,mixed_predicted,0.8791128885657153,0.8181542311581843,0.8255708560569467,0.8124611580075798
0,mixed_as_q,0.8812013348164628,0.8274649111807325,0.8522317855777367,0.8077135184517358
1,forum,0.746031746031746,0.6148266983561101,0.7262056355503314,0.5724704588340951
1,synthetic,0.9197183098591549,0.8802503243007149,0.8923324697788532,0.8709833024118737
1,mixed_predicted,0.8811125249954553,0.8229594856985704,0.8313262000280043,0.816974938926923
1,mixed_as_q,0.8832035595105673,0.829756282660625,0.8615887154455079,0.8048353775754524
2,forum,0.7407407407407407,0.6053637452984502,0.7065625160919969,0.5687196048158615
2,synthetic,0.9152112676056338,0.8761220843393618,0.8802783723430762,0.8735064935064935
2,mixed_predicted,0.878931103435739,0.8186567489475235,0.8199449337994005,0.8181649791011791
2,mixed_as_q,0.87853170189099,0.825221635276062,0.8463368218724026,0.8081509660639775
3,forum,0.7608465608465609,0.6399125947130408,0.6924617137495392,0.6108895560767219
3,synthetic,0.9149295774647888,0.8742730155282538,0.8832189959311211,0.8677303648732221
3,mixed_predicted,0.8856571532448646,0.8293275737589166,0.8306184231338024,0.8296030101425623
3,mixed_as_q,0.8825361512791992,0.8278762617928367,0.8480217276591633,0.8116005507680013
4,forum,0.7396825396825397,0.6214842220833073,0.7196174324683055,0.5797977027923552
4,synthetic,0.9174647887323943,0.8782419154511641,0.8904003405853697,0.8684848484848485
4,mixed_predicted,0.8782039629158335,0.819321839110298,0.827728743680573,0.8137809818086893
4,mixed_as_q,0.8800889877641824,0.8260457917565684,0.8558790549037911,0.8022615535449621
5,forum,0.7407407407407407,0.6160352873261236,0.6739706684637848,0.5907785025432084
5,synthetic,0.9177464788732395,0.8785969426234114,0.8830876237529243,0.8761410018552875
5,mixed_predicted,0.8780221777858571,0.8191251538513112,0.8147319253838788,0.8237661802378741
5,mixed_as_q,0.8805339265850946,0.8276982448399548,0.842529074339843,0.816619056504635
6,forum,0.7544973544973544,0.6267779002871442,0.7288579015301547,0.5870333864986271
6,synthetic,0.9152112676056338,0.8740361349216835,0.8871331771815308,0.8636363636363636
6,mixed_predicted,0.8823850209052899,0.8246062430471163,0.8322103951887577,0.8181906611622535
6,mixed_as_q,0.8814238042269188,0.8272944435397077,0.8566411617871971,0.804419380491019
7,forum,0.7428571428571429,0.6107335836361915,0.6916546232818197,0.5747875614185775
7,synthetic,0.916056338028169,0.8737947658444177,0.8875271639944291,0.8631045145330859
7,mixed_predicted,0.8812943101254317,0.821176973320016,0.8315598646669696,0.8133402214142795
7,mixed_as_q,0.8796440489432703,0.8227744776467777,0.8530807339881559,0.7988682783527189
8,forum,0.7481481481481481,0.6172878999459638,0.687379168755878,0.5843855095191993
8,synthetic,0.9152112676056338,0.8758843945684585,0.8798270475263501,0.8735064935064935
8,mixed_predicted,0.8778403926558808,0.8173244648862238,0.8175788166587511,0.8194897062444331
8,mixed_as_q,0.8800889877641824,0.8268239012859149,0.8458737430694244,0.8109833706598334
9,forum,0.7333333333333333,0.6019590312125234,0.703123466213488,0.5655270655270656
9,synthetic,0.9129577464788733,0.8715181911809449,0.8841166810483766,0.8611379097093383
9,mixed_predicted,0.8760225413561171,0.8153352055980504,0.8206950103316474,0.8109969218428977
9,mixed_as_q,0.8751946607341491,0.8188584500833258,0.8460900199254217,0.7975133711191992
