,,accuracy,f1,precision,recall
0,GLoHBCD,0.8074074074074075,0.7128361849924776,0.7389172091809025,0.693093497906332
0,Instagram Data,0.6754385964912281,0.6232598847748385,0.68263351700808,0.607236002093145
0,Smoke Stop Forum,0.7818448023426061,0.6756108679795769,0.7052761983732133,0.6577391241717084
0,Synthetic GPT3 Data,0.8918918918918919,0.8382749326145552,0.8284493284493285,0.8507665174331841
0,Health Coach Dialogue Corpus,0.6909448818897638,0.6885543397779879,0.7355181909718431,0.6941248294189469
0,DARN-CT-based Wizard of Oz Dialogues,0.675,0.6403925292814182,0.6493177387914231,0.68013468013468
0,Optifast Mock-Chatbot,0.7333333333333333,0.6286395129961152,0.6613237639553429,0.6463118580765639
1,GLoHBCD,0.8211640211640212,0.7258787496568582,0.7842815511976973,0.6910317351493823
1,Instagram Data,0.6765350877192983,0.6190765487454479,0.6816792409385998,0.6048547008547008
1,Smoke Stop Forum,0.7789165446559297,0.6910554707943656,0.7456584331584333,0.6609988716028042
1,Synthetic GPT3 Data,0.8918918918918919,0.8632478632478633,0.869281045751634,0.870234703568037
1,Health Coach Dialogue Corpus,0.6791338582677166,0.6737123695312794,0.7139201391653384,0.6812576312576312
1,DARN-CT-based Wizard of Oz Dialogues,0.7625,0.75215206249689,0.7495805910440057,0.8114478114478114
1,Optifast Mock-Chatbot,0.6888888888888889,0.5806627735840099,0.5735195088136265,0.6114223467164644
2,GLoHBCD,0.819047619047619,0.7323967726203034,0.7643674834751412,0.70969785809358
2,Instagram Data,0.6831140350877193,0.6488303336597964,0.6838936308275931,0.6341726844583987
2,Smoke Stop Forum,0.780380673499268,0.6975090996405409,0.7280097260959737,0.6758456976855852
2,Synthetic GPT3 Data,0.9054054054054054,0.8750312797157299,0.8830128205128206,0.8764075430742096
2,Health Coach Dialogue Corpus,0.6929133858267716,0.6896709305498981,0.7300767666621325,0.6934676434676433
2,DARN-CT-based Wizard of Oz Dialogues,0.7375,0.7325130565636894,0.7278599953018556,0.7710437710437711
2,Optifast Mock-Chatbot,0.7666666666666667,0.6707317073170732,0.6609126984126984,0.690818549642079
3,GLoHBCD,0.8243386243386244,0.7397189113082668,0.7690302242541048,0.7180198985011819
3,Instagram Data,0.6655701754385965,0.6212167710084603,0.6656358808455375,0.6073371707657421
3,Smoke Stop Forum,0.7628111273792094,0.6706720910427587,0.694485044438539,0.6526583357341784
3,Synthetic GPT3 Data,0.8378378378378378,0.7728758169934641,0.7377450980392157,0.8260751594084929
3,Health Coach Dialogue Corpus,0.6456692913385826,0.6366532946697318,0.6968290835562766,0.6465416936005172
3,DARN-CT-based Wizard of Oz Dialogues,0.7,0.6939261588632658,0.6931818181818182,0.7415824915824917
3,Optifast Mock-Chatbot,0.7111111111111111,0.5727743083838658,0.5843253968253969,0.5790538437597261
4,GLoHBCD,0.817989417989418,0.7484327845850288,0.7713858695652173,0.7301488371007089
4,Instagram Data,0.6798245614035088,0.6340578258019961,0.6736217857889147,0.6203397871969301
4,Smoke Stop Forum,0.7789165446559297,0.6855095458043419,0.7152098091839515,0.6645233122058966
4,Synthetic GPT3 Data,0.8648648648648649,0.8264805452403322,0.809145880574452,0.8578890245556913
4,Health Coach Dialogue Corpus,0.6771653543307087,0.6737910309026601,0.7220445392087184,0.679120879120879
4,DARN-CT-based Wizard of Oz Dialogues,0.7375,0.7333480695549662,0.7301343101343102,0.7516835016835017
4,Optifast Mock-Chatbot,0.7,0.5592592592592593,0.5509607351712614,0.5749455337690632
5,GLoHBCD,0.817989417989418,0.7222105045726067,0.7503036588336043,0.7014458110714795
5,Instagram Data,0.6765350877192983,0.6243686868686867,0.6600071279941856,0.6133319379033665
5,Smoke Stop Forum,0.7730600292825769,0.6724476770026359,0.7023282618718304,0.6513312686065494
5,Synthetic GPT3 Data,0.8918918918918919,0.8494397759103641,0.8295739348370926,0.8897028897028897
5,Health Coach Dialogue Corpus,0.6988188976377953,0.694512505923969,0.7291398836853382,0.7003124326653737
5,DARN-CT-based Wizard of Oz Dialogues,0.775,0.777612330198537,0.7893939393939394,0.7803030303030303
5,Optifast Mock-Chatbot,0.7555555555555555,0.6574665056638492,0.6468981035036966,0.6712107065048242
6,GLoHBCD,0.8317460317460318,0.7511739513619213,0.7892301508091518,0.7239233335490022
6,Instagram Data,0.6798245614035088,0.6271640948556009,0.6795069824701118,0.6141754753183325
6,Smoke Stop Forum,0.767203513909224,0.67370470254148,0.7279625295657359,0.6411852972246231
6,Synthetic GPT3 Data,0.918918918918919,0.8728937728937729,0.854341736694678,0.9020485687152354
6,Health Coach Dialogue Corpus,0.6830708661417323,0.6799916930811309,0.7298910500321515,0.6824786324786324
6,DARN-CT-based Wizard of Oz Dialogues,0.725,0.7059197012138189,0.7281746031746033,0.7390572390572391
6,Optifast Mock-Chatbot,0.7555555555555555,0.6327651515151514,0.6465811965811966,0.6288515406162465
7,GLoHBCD,0.8116402116402116,0.721959209430647,0.7517393847233595,0.6998433335331731
7,Instagram Data,0.6787280701754386,0.6396296902953815,0.6763524122932032,0.6274153148438862
7,Smoke Stop Forum,0.7730600292825769,0.6812115302048188,0.7269870005783109,0.6521871698837991
7,Synthetic GPT3 Data,0.8918918918918919,0.8442612942612944,0.8280672268907563,0.870234703568037
7,Health Coach Dialogue Corpus,0.7047244094488189,0.7024582694785785,0.7287205852904332,0.7047259929612871
7,DARN-CT-based Wizard of Oz Dialogues,0.7375,0.7219739101754864,0.7274737802097584,0.7710437710437711
7,Optifast Mock-Chatbot,0.7,0.5492916174734357,0.5439700784528371,0.5606286959228135
8,GLoHBCD,0.8211640211640212,0.7333003642891268,0.7640208242612166,0.7105745314301464
8,Instagram Data,0.6633771929824561,0.6150121841734,0.6676055342362596,0.6011840223268795
8,Smoke Stop Forum,0.7789165446559297,0.6804781134951913,0.7239258905195921,0.6539499903966196
8,Synthetic GPT3 Data,0.8918918918918919,0.8442612942612944,0.8280672268907563,0.870234703568037
8,Health Coach Dialogue Corpus,0.6811023622047244,0.677371526889427,0.7142583563861113,0.6836170365582129
8,DARN-CT-based Wizard of Oz Dialogues,0.7125,0.6880341880341879,0.6925647451963242,0.7508417508417509
8,Optifast Mock-Chatbot,0.7333333333333333,0.6079542957591739,0.6,0.6188608776844071
9,GLoHBCD,0.8275132275132275,0.739537336212777,0.7750616185158088,0.7142499508809669
9,Instagram Data,0.6644736842105263,0.6059059999813756,0.6650318243209768,0.592593057735915
9,Smoke Stop Forum,0.7701317715959004,0.6718345477886086,0.7197933210511827,0.6423058916738692
9,Synthetic GPT3 Data,0.8783783783783784,0.830398322851153,0.8631221719457014,0.8226156559489893
9,Health Coach Dialogue Corpus,0.6633858267716536,0.6581414900248018,0.7059758729570049,0.6639050491991668
9,DARN-CT-based Wizard of Oz Dialogues,0.7625,0.7424031007751939,0.7844947209653093,0.7676767676767677
9,Optifast Mock-Chatbot,0.7777777777777778,0.6702463768115942,0.6663909567135374,0.6817927170868346
