,index,Sentence,labels
7881,4637,"Je mehr Wege im Alltag laufen, desto mehr bleibt in meinem Leben erhalten.",1
8397,2973,"Es ist ein Abenteuer, nach Essen zu suchen, das ich mag.",0
9246,2590,Ich will das ohne Operation erledigen.,0
886,3221, ich les viel ..,1
3741,3940," Aber der Januar ist fast schon wieder vorbei, der erste ""Urlaub"" steht in 4 Wochen auf dem Plan und ich bin immer noch so fett wie vor x Monaten und Jahren.",0
759,1625,"und aufhören,wenn ich satt bin.",2
8743,2659,"Es ist mir möglich, ein Fahrrad zu fahren und andere Geräte auf meinem Sitz zu bedienen.",0
7330,1394,"Ich sehe, dass ich das wieder tun kann.",0
5426,1325,Ich will nichts damit zu tun haben.,0
6401,2308,Es ist das Gewicht eines Mannes.,0
1628,1094,"  Ich war gestern bei einer Ernährungsberatung wie ich in meinem eigenen Thread, oder we man das nennt, gesagt habe.",1
8052,3023,Ich bin immer noch nicht in der Gegend.,0
6169,1319,"Ich habe meine Gesundheit zurück und das ist wichtiger als ein fester Magen, also ist es mir egal, wie mein Magen nach der Abnahme aussieht.",0
7189,2419,"Ich entschied mit meinem Mann, dass wir nicht auf die Hüfte kamen, weil wir nicht das hatten, was wir im Haus brauchten.",2
3695,4513," Nicht nur ich bin mächtig stolz auf meine Leistung, sondern auch mein Psychiater.",0
188,4228," Wenn ich keine Lust habe mich zu bewegen, dann verbringe ich eben den kinderfreien Tag auch mal komplett auf dem Sofa, anstatt mich zu bewegen, was für die Abnahme förderlicher wär, ..",1
1634,1435," So kam es wie es kommen mußte,ich habe mein Brötchen gegessen und noch eins von den normalen.",1
2974,3289," Das war am Anfang nicht wirklich einfach, aber wir (also Freund Körper und ich) haben das irgendwann gut hinbekommen.",0
2785,2816, Immer noch das gleiche Gewicht.,0
6901,954,"Es gibt eine erstaunliche 100,4 km auf der Skala.",0
788,2191,"  Das Problem mit dem 1 kg mehr oder weniger kenne ich ja, nur ich stehe bei dem Gewicht (bzw eigentlich weniger, es wurde schon wieder mehr (von 94 auf 96 kg)) seit 10 Monaten, dass hat nur noch wenig mit Geduld zu tun.",0
4743,4389,"Ich will nicht gehen, ich will nicht umziehen.",0
1514,2265, Diese Kontrolle und Aufsicht finde ich eher demotivierend.,0
5,950, Wenn da nicht der verfluchte innere Schweinehund wäre.,0
6536,3247,Fünf Kilo sind weg und mein Weg geht weiter...,0
4983,3908,"Ich kann am Ende des Tages sagen, dass es okay ist, wenn ich etwas ändern muss.",0
2242,2964,das habe ich abgelehnt.,1
3974,2615,Nächstes Mal soll es um Sucht gehen.,2
7154,4596,"In gewisser Weise ist Ablenkung das Einzige, was für mich funktioniert.",1
3945,4317,"Ich mache Intervallfäuste, weil ich Gemüse esse.",1
277,170,"   @Tanja Das werde ich ab morgen auch mal versuchen, das mit dem Brot.",2
5885,2657,"Es ist nicht die gleiche Bewegung, da ich zwei neue Kniegelenke hatte.",0
6328,2800,"Ich würde wieder zunehmen, wenn es so wäre.",0
7707,744,Ich wog mich alle paar Tage.,1
4125,1079,"Ich denke beim nächsten Essen darüber nach, wenn es dir heute gut geht, und wenn ich noch einen Teller nehme.",1
8325,1364,"Sollte mir so etwas noch einmal passieren, werde ich diesen Beitrag aus Elbenelelen lesen.",2
452,4577," Langsam aber stetig, wäre schön, wenn es so weiter gehen würde.",0
8610,3228,Ich habe Hunger und das klingt interessant.,0
3709,239," Leider merke ich jetzt nach 9 Monaten, das ich wieder zum Teil in alte Muster verfalle und habe mir vorgenommen, sollte ich das in der nächsten Woche nicht so in der Griff bekommen, werde ich nochmal genau an dem Punkt anfangen, wo ich letzte Jahr im August war.",2
442,905,"  Ich bin froh, wenn ich an diesen Tagen nicht zunehme und versuche es mit Bewegung auszugleichen.",1
3934,3367,"Ich glaube, ich esse zu viel, wenn ich keine Essattacken habe.",0
472,2286,"   Natürlich kommt jeder anders damit klar und natürlich ist es in der Startphase so das man erst mal viel über die Ernährung spricht, es gehört nun mal zum Abnehmen dazu, aber ich will nicht immer überlegen wieviel Punkte ich schon gegessen hab, sondern mehr einfach von mir aus sagen, ich mag nun lieber ne Gemüse Reis Pfanne und kein fettigen Burger...",0
1835,1078,"   Wenn mein Rücken und die Knie es zulassen, steige ich auf mein Trainingsgerät, racker mich mit kurzen Pausen 30 minuten ab und erlebe ein schönes Glücksgefühl.",1
8363,2578,"Das Wichtigste für mich ist, dass ich am Abend keine Lust habe.",1
4954,1726,Ich habe auch eine Menge von der WEihnachts Leckereien genossen.,1
3672,4093," Aber ich kann jetzt keine Durchfälle und/oder Verstopfung riskieren, da wir morgen mit dem Bus nach Paris ins Disneyland fahren und das wäre echt mega scheiße.",0
7944,3235,"Ich kann es nicht entfernen, weil ich es nicht abnehmen kann.",0
2657,2960, Ich möchte eigentlich bei 68 kg Maximum stehen und das halten.,0
6571,404,"Dank dieses Fadens hat sich mein Essverhalten komplett verändert, das nur Schritt für Schritt funktionierte, da meine Muskeln langsam immer deutlicher werden, aber auch ihre Funktion ausüben, wie z.B. ""eingeführter"" Bauch, gerader Rücken, etc.",1
2590,1261," Nur,wer kann das schon?",0
6307,4093,"Wir fahren morgen mit dem Bus nach Disneyland, also kann ich keine Pannen riskieren.",0
231,3368,so weit bin ich noch nicht.,0
4706,3284,Eine Person geht zu Fuß.,1
2582,494," jetzt allerdings langsam schon, klar, ich fühle mich ja auch gut und finde mich langsam selbst wieder schön...",0
