,index,Sentence,labels
0,1779," Ich bin mir sicher, ich schaffe es ohne OP nicht, für mich ist es eine hilfreiche Krücke.",0
4892,3683,Ich will keine einfache Sprache benutzen.,0
4246,4621,Ich bin gerade über dem Essen.,0
5618,739,"Ich zwingt ihn, Hallo zu sagen.",2
1160,553, Auch verzichte ich auf das Öl mit Knoblauch.,1
1061,2307, Schließlich reden wir hier über ~80kg ...,0
5036,962,Ich mache es am Abend wieder mit einem Licht.,1
5495,1740,Es gibt externe Links.,1
638,624,"  das einzige wo ich leider machtlos oder einfach nur zu schwach bin, ist die jede ca 3-te Woche in Monat..",0
2028,2056,"   ich habe nie behauptet, dass ich diszipliniert bin, weil ich es leider nicht bin, bin ich Übergewichtig, und ich habe kein Problem mich damit konfrontieren zu lassen, dass mein Übergewicht selbstverschuldet ist.....",0
4969,3658,Der Grundumsatz ging nach Angaben des Computers zurück.,0
4980,2881,Ich folge der Bewegung nicht...,0
5149,2735,Habe ich nicht.,1
1249,1809,dann geht´s dir gleich wieder gut !!,0
5066,543,"Es gibt drei davon, eine in der Küche, eine am Schreibtisch und die letzte im Wohnzimmer.",1
3095,3367," Habe keine Fressattacken und bin wohl nur ein ""Zuvielesser"", falls es diesen Ausdruck gibt.",0
649,2410, Das bringt mich ja so zum verzweifeln das ich es nicht mehr schaffe die kleinen Steine aus dem Weg zu räumen.,0
2043,3871,  Heute beginnt ein neuer Tag mit viel Bewegung und ausser der Gemüsesuppe am Abend wieder nur ein Trinktag.,2
4757,4355,Es gibt eine kleine Puppe oder Schnitt.,1
2344,1228,"indem ich mir selbst sachen mitbringe oder mein gegenüber bitte, mir etwas kalorienarmes zu machen.....",1
5236,3901,Ich muss nur an der Achterbahn laufen.,0
1220,288,"  Ich habe schon mit meinem Psychologen gesprochen, daß ich die eigentlich gerade beendete Verh-Therapie doch noch verlängern sollten, mit dem Schwerpunkt auf das Eßverhalten.",1
171,115," In der Wohnung steht an jeder Ecke eine Schale mit Obst, auch für die Kinder von Vorteil.",1
2457,2296," Wenn wir auswärts essen gehen, dann wird geschätzt, wieviel von welchen Lebensmitteln wir essen.",1
436,124, Die knappe Bekleidung bezieht sich jedoch nicht auf mich sondern auf die ganzen Schlanken da draußen!,0
4292,1710,Ich verwende es nicht richtig.,0
2703,3087," Manchmal helfen mir einige der Ablenkungsstrategien aus der Therapie und wenn ich sehr beschäftigt oder unterwegs bin, habe ich tatsächlich weniger Hunger.",1
4679,612,Ich laufe langsamer.,0
3094,4659," Da finde ich das okay, aber meine Situation schätze ich nicht so extrem ein.",0
5134,706,"Das Letzte, was Sie auslassen, sind die Zucker.",2
575,734,"als ich entdeckte,dass ich mich mit meinem Körper doch bewegen kann,wenn auch nur im Wasser,habe ich vor Freude geweint.",0
4221,1103,"Danke, aber irgendwann muss ich müde werden.",2
4972,690,Ein wenig Entschlossenheit.,1
3192,3755," Aber weil ich bisher keine Abnehmversuche gemacht habe, möchte ich auch nicht gleich eine OP in Betracht ziehen, sondern erst mal ganz intensiv an den psychologischen Ursachen arbeiten.",0
156,4573," Ich esse so gegen 12,3 Uhr das letzte Mal eine Kleinigkeit (zb einen Apfel) und dann erst am nächsten Morgen um xx/xx/12,3 Uhr wieder etwas.",1
3797,2551,"Ich glaube nicht, dass es eine gute Idee ist, eine Intervention und eine große Veränderung in meinem Leben zu haben.",0
5357,1180,"Alles war ausgetrocknet, damit es abhängen konnte.",0
3890,2910,Das habe ich nicht erwartet.,0
1748,3830," Oder weil sie vorgelebt hat, dass sie es selbst nicht kontrollieren kann?",0
4391,1582,"Ich weiß nicht, was es ist.",0
3319,70,"und als meine gesundheit so sehr darunter gelitten hat das ich merkte-wenn du so weiter machst schaffst du keine 2 jahre mehr bei dem streß-erst dann habe ich mich entschieden um eine op zu kämpfen,weil ich wusste das ich den willen nie hätte aufbringen können es so zu schaffen.",1
3117,2142,   Ich ess auch so um die 1500 kcal pro Tag.,1
1205,2559," Zuerst wurde ich gewogen - und da kam der Schock: 100,6 kg !!!",0
5193,3339,"Das bedeutet, dass ich nicht fit bin.",0
3202,1984,  Und das kurbelt bei mir auch immer ziemlich an.,0
2383,2739,  Mit der Bewegung hapert es noch...,1
4872,585,Dann rannte ich mit meinem Trainer.,1
5594,2647,Das ist keine Frage mehr für mich.,0
1328,605, Aber ich will es trotzdem weiter versuchen.,2
3464,3895,"  Und in der Anfangsphase, wo ja noch alles drin ist - auch Kohlenhydrate (Birchermüesli zbsp.",0
385,1497," Aber im Kopf war,Ist ja nur Gemüse....",0
99,653," Aber kein Scherz: Ich muss schon Hunger haben, sonst nehme ich nicht ab.",0
4687,4132,Das ist schwer zu bewältigen.,0
363,4086, Und ich kann es seit Tagen halten.,0
1538,882," Jetzt habe ich es erst, wenn es meinen Darm fast sprengt.",0
520,765,"  ahhhh hilfe, durch den Urlaub und alles stolz 5 kg wieder zugenommen  also voll schlimm wie man das auch so langsam mit der vollen Intensität merkt und alles, ""früher"" waren mir ja sogar 10 kg mehr oder weniger egal.",0
2885,4169,  Und dann habe ich mir LC1-Nature-Joghurt bestellt.,1
3059,4211, Also umkehren: mehr Gemüse und weniger Früchte.,2
947,524, Das war wirklich die beste Entscheidung meines Lebens.,0
5308,2565,Ich könnte mich mit meinem Sohn streiten.,0
85,4028,"  Mit dem Frühstück habe ich noch so meine Mühe, da ich eigentlich nie gefrühstückt habe.",0
1647,982," Ich habe gelesen, daß man in unserem Hotel einiges machen kann, und das werde ich tun - auch ein Novum.",2
5348,1180,"Alles war ausgetrocknet, damit es nicht auseinander fällt.",0
830,2527, Nach zich Abnehmversuchen in den letzten Jahren habe ich mich aktuell eigentlich nur noch mit der OP beschäftigt.,1
4566,705,Das werde ich im Moment nicht tun.,2
4130,2791,Ich glaube nicht.,0
2846,1711," essen dient mir nicht nur zum nähren,sondern auch um nicht fühlen zu müssen.",0
1674,1533,"  Guten Morgen zusammen,  hab mich eben im Spiegel angeschaut und gedacht,wow das sieht man aber schon gut,die fehlenden 15 kilo.",0
2731,1654," Wenn ich durch die Strassen laufe und die menschen begucke, denke ich,wie unwichtig doch die Figur und wie unwichtig doch das streben nach perketionismus.",0
5294,3111,Das mag ich an Op.,0
2728,3929," Also lese ich mich hier vor allem auch bei den Rezepten mal besser ein, um noch weitere Denkanstösse zu bekommen.",2
4925,3023,Ich bin nicht im Adi-Bereich.,0
5044,743,Im Moment haue ich ab.,1
1958,883," Hört sich jetzt blöd an - kann ich auch schlecht beschreiben, aber es ist wirklich schlimm, wenn ich mich über(fr)essen habe.",0
888,1611, Aber erst am Abend und ich habe während meine familie schmauste meinen Shake genossen.,1
843,3257," Ich ""schone"" mich und warte noch damit.",2
4445,4458,"Konsistenz ist das, womit ich ziemlich im Einklang stehe.",1
2399,1131," Man muss es doch auch so schaffen, oder?",0
1913,3252," aber sobald ich da mal daneben liege, steigt der Appetit..",0
4067,2037,INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals INR-Deals,1
1788,3882,  Jetzt noch ein wenig mehr Bewegung - das ist das Zauberwort.,0
3423,2757, Ich habe eher ein permanentes Hungergefühl und so dreht sich auch sehr viel in meinen Gedanken ums Essen oder warten aufs Essen.,0
4813,1160,"Wenn ich operiert werde, was kann ich dagegen tun?",0
763,661, ;) ;) ;) So werde ich zwar langsamer abnehmen aber dass ist sowieso besser.,0
2850,1754,"  Ich habe mir außerdem wieder angewöhnt, abends nur leichte Kost ohne KH zu essen oder manchmal lasse ich es auch ausfallen...",1
253,1315, Ich möchte mir nicht den ganzen Bauch verunstalten lassen.,0
5474,3854,"Das ist das Einfachste, was ich tun kann.",0
119,4686," Das waren die Sachen, die wichtig waren aufzuschreiben.",1
5742,220,Im Sport bin ich sehr kalt.,1
358,3262, Letzte Woche habe ich bei der Adipositasgruppe angerufen wegen Treffen.,1
2633,282," Das hat mich bisher auch immer ermutigt, weiter daran zu glauben, mir eine OP ""ersparen"" zu können.",0
2087,3298," Was soll ich sagen, ich habe seit dem xx/xx/2015 bis heute 86   kg abgenommen nur durch reine Ernährungsumstellung, keinen Sport gemacht (dürfen wir nicht, so lange wir abnehmen, da Sport den Körper noch mehr belastet, er ist ja bereits schon durch die Abnahme beschäftigt, kommt mir sehr gelegen   ).",1
4371,3192,Die heutigen Scale-Shows sind 2 Stunden Sport.,2
5579,408,Es gibt einen Angriff auf das Gebäude durch Fresse.,1
4421,568,Es ist alles meins.,0
1034,2947,schon wegen der Belastung der Gelenke.,0
134,384,es ist kein Grund um aufzugeben und um in alte Essverhaltens-Muster zurück zu fallen...,0
