,id,condition,turn_id,seeker_post,response_post,label,value,Empathetic Intent,Empintent_score
3,3,framework,4,4,A 4. That sounds like you're not too confident about this change. Please tell me more about your attitude. Why didn't you give a higher or lower value?,ER_label,0,questioning,0.9998107552528381
4,4,framework,5,I'm still not sure if the time is good.,"You're not sure if the time is good. Is there something that will prevent you, or what will put you down when you think about eating healthier?",ER_label,0,questioning,0.9998548030853271
5,5,framework,6,I'm tied up for work.,You are very tense in your job. Do you remember a time when you have fed yourself healthy despite high workloads?,ER_label,0,questioning,0.9998668432235718
6,6,framework,7,"Yes, there was that time.",So there was a time when you managed to feed yourself healthy despite the high amount of work.,ER_label,0,neutral,0.9996026158332825
7,7,framework,8,I was more motivated.,"So you've been more motivated, and you have the ability to have the necessary motivation to feed yourself healthy, even if you're very tense at work.",ER_label,0,neutral,0.8386214375495911
8,8,framework,9,"Yeah, it used to be a lot easier for me.",It used to be easier for you. Your experience shows that you have the ability to cope with changes in your life. You know what you have to do and you have proven that you can.,ER_label,1,consoling,0.9841158986091614
9,9,framework,10,"Yes, that's right.","Let me sum up our conversation so far. You have indicated that you want to feed yourself healthier to lose weight. This is important to you, but because of your professional tension you are currently feeling unsure whether the time is right. You have a middle confidence that you can implement this change. In the past, there have been phases in which you have been able to maintain a healthy diet despite high workload. You have been more motivated at this time and it has been easier for you to make the necessary changes. You realize that you have the ability to re-implement this behavior. Have I forgotten anything yet?",ER_label,1,questioning,0.9997991919517517
15,15,framework,4,7,A 7. So you're positive about this change overall. Can you tell me a little more about this assessment? Why didn't you give a higher or lower value?,ER_label,0,questioning,0.9998620748519897
16,16,framework,5,"I didn't give a higher value because there are still things that I assign an even higher priority to in my life - for example, to cook healthy. I didn't give a lower value because my procrastination keeps me busy every day and I think I'd be much happier if I could fight it better.","It is clear that you have other priorities in your life, but you also recognize the importance of procrastination. How could your life improve if you procrastinate less?",ER_label,0,questioning,0.9998571872711182
17,17,framework,6,"My self-esteem could improve. I could achieve and learn a lot more professionally, so that I could score points in future applications. I could perhaps find a good rhythm of life. I would no longer have a bad conscience towards colleagues",You have a clear picture of how your life could improve if you procrastinate less. You recognize the value that a good work rhythm has for your self-esteem and professional development. Your ability to see these positive effects shows that you have the motivation and awareness to bring about change.,ER_label,0,agreeing,0.9559175968170166
18,18,framework,7,"Yes, but somehow it doesn't work that way with the practical implementation",It is not unusual that the implementation of a change brings challenges. You have already realized that you have the potential to change and that this change can have a positive impact on different areas of your life. This is an important first step. Acknowledging these difficulties shows that you take the problem seriously and that you do not need to worry about it.,ER_label,1,consoling,0.4116521179676056
19,19,framework,8,What's the second step?,You have already identified the desire for change and acknowledged that implementation can be difficult. What could be the next step to reduce procrastination?,ER_label,0,questioning,0.9997798800468445
20,20,framework,9,I try to go to the library more often (but I don't always work there) and get up at a fixed time (but then often fall asleep again),You have already tried strategies to fight procrastination. It seems that these strategies have not always been successful. What could be the reason for this?,ER_label,0,questioning,0.9998550415039062
21,21,framework,10,That the pressure is not high enough,So you feel that the pressure is not high enough to overcome procrastination. It seems that you lack a stronger incentive. Have I forgotten anything else?,ER_label,0,questioning,0.999852180480957
27,27,framework,4,9,A 9. So you're positive about this change overall. Can you tell me a little more about this assessment? Why didn't you give a higher or lower value?,ER_label,0,questioning,0.9998621940612793
28,28,framework,5,I research a lot on the subject and have been very successful in changing my eating habits for a month now,It sounds like you've made some progress. What could be the next step to make your diet even healthier?,ER_label,0,questioning,0.9996249675750732
29,29,framework,6,"I think I could eat even less red meat and switch to vegetarian products or fish, which is still hard for me.",So you have the desire to eat less red meat and to resort more to vegetarian alternatives or fish. What exactly makes this change difficult for you,ER_label,0,agreeing,0.9979382157325745
30,30,framework,7,"I fucking like to eat burgers, bratwurst and so on",So you're a big fan of burger and bratwurst. That seems to be a strong passion of yours. How could this passion be reconciled with your desire for a healthier diet?,ER_label,0,questioning,0.9998502731323242
31,31,framework,8,"I don't think so at all, maybe with a monthly cheat day or something.",This sounds like a thoughtful and realistic idea. You recognize your preferences and still look for ways to get closer to your goal of a healthier diet.,ER_label,0,acknowledging,0.9995850920677185
32,32,framework,9,Yes sometimes something useful comes from my head,Certainly more often than you admit it. Think back: Can you remember a situation in which you have successfully implemented a change in your life?,ER_label,0,questioning,0.9996964931488037
33,33,framework,10,"Yes, I drive many ways by bike. So shopping or often also the way to work. Before I always took the car",Let me sum up our conversation so far. So you've already successfully implemented a positive change in your life by now riding a lot of ways you used to travel by car. That's a big step towards a healthier lifestyle. Do you think you could use similar strategies to change your eating habits? Have I forgotten anything?,ER_label,0,questioning,0.9998365640640259
39,39,no_system,4,10,A 10. That sounds like you are very confident about this change. Please tell me more about your attitude. Why didn't you say 9 or less?,ER_label,0,questioning,0.9997857213020325
40,40,no_system,5,Because I really want it,"That's a strong motivation! So you're ready to tackle this change because you really want it. Well, what would be the next little steps you could take to make less procrastination?",ER_label,0,questioning,0.9998531341552734
41,41,no_system,6,Create a learning plan or a todo plan,A learning or to-do plan sounds like a great idea! This way you can clearly define and structure your tasks and goals. How would you start with it?,ER_label,0,questioning,0.9998257756233215
42,42,no_system,7,Write down the most important points on a daily basis,Great idea! That sounds like a very practical and feasible approach. How do you feel about implementing this plan?,ER_label,0,questioning,0.9998239874839783
